bin_index,count,mean_pred,observed_rate,bin_lower,bin_upper
0,2465,0.05806963219856893,0.0036511156186612576,0.0,0.09522156313478404
1,2464,0.12641152220882126,0.006087662337662338,0.09522156313478404,0.15823948625675321
2,2464,0.18883339567963153,0.008116883116883116,0.15823948625675321,0.2187750007778078
3,2464,0.24878192792464646,0.015016233766233766,0.2187750007778078,0.2783143482243802
4,2464,0.309206169111753,0.025974025974025976,0.2783143482243802,0.3391539520232545
5,2465,0.36827708464920694,0.03894523326572008,0.3391539520232545,0.39707398212684386
6,2464,0.42675499464932104,0.05154220779220779,0.39707398212684386,0.458831332999635
7,2464,0.49173642914156873,0.07508116883116883,0.458831332999635,0.526510868921019
8,2464,0.5624834870659894,0.09050324675324675,0.526510868921019,0.5989987072467862
9,2465,0.6520969221144204,0.20892494929006086,0.5989987072467862,1.0
