fold,rows,positive_rows,prevalence,mean_constrained_threshold,min_constrained_threshold,max_constrained_threshold,constrained_positive_rate,constrained_precision,constrained_recall,constrained_f1,fallback_rows,calibrated_score_q90
1,1214,129,0.10626029654036244,0.2700000000000001,0.27,0.27,0.009060955518945634,1.0,0.08527131782945736,0.15714285714285714,0,0.0254452926208651
2,957,60,0.06269592476489028,0.14000000000000007,0.14,0.14,0.0,,0.0,,0,0.0349895031490552
3,1206,27,0.022388059701492536,0.11,0.11,0.11,0.004975124378109453,1.0,0.2222222222222222,0.3636363636363636,0,0.022974607013301
4,1110,57,0.051351351351351354,0.77,0.77,0.77,0.0009009009009009009,1.0,0.017543859649122806,0.034482758620689655,0,0.0381909547738693
5,1316,61,0.04635258358662614,0.9900000000000001,0.99,0.99,0.001519756838905775,1.0,0.03278688524590164,0.06349206349206349,0,0.0661478599221789
6,1717,56,0.032615026208503206,0.9900000000000001,0.99,0.99,0.0,,0.0,,0,0.0346320346320346
7,1554,105,0.06756756756756757,0.99,0.99,0.99,0.0,,0.0,,0,0.0401529636711281
8,1487,69,0.04640215198386012,0.8200000000000001,0.8200000000000001,0.8200000000000001,0.0006724949562878278,1.0,0.014492753623188406,0.02857142857142857,0,0.0784615384615384
9,1583,111,0.07012002526847758,0.99,0.99,0.99,0.005685407454200884,1.0,0.08108108108108109,0.15,0,0.0545685279187817
10,1146,60,0.05235602094240838,0.99,0.99,0.99,0.0008726003490401396,1.0,0.016666666666666666,0.03278688524590164,0,0.1212121212121212
11,1553,101,0.06503541532517708,0.99,0.99,0.99,0.000643915003219575,1.0,0.009900990099009901,0.0196078431372549,0,0.0414610069101678
12,938,83,0.08848614072494669,0.99,0.99,0.99,0.0031982942430703624,1.0,0.03614457831325301,0.06976744186046512,0,0.0897435897435897
13,1596,110,0.06892230576441102,0.99,0.99,0.99,0.006892230576441102,0.9090909090909091,0.09090909090909091,0.1652892561983471,0,0.0811403508771929
14,1168,72,0.06164383561643835,0.75,0.75,0.75,0.0017123287671232876,1.0,0.027777777777777776,0.05405405405405406,0,0.0578326782706344
15,1231,44,0.03574329813160033,0.5,0.5,0.5,0.0,,0.0,,0,0.0554722638680659
16,934,38,0.04068522483940043,0.2700000000000001,0.27,0.27,0.007494646680942184,0.42857142857142855,0.07894736842105263,0.13333333333333333,0,0.07807194724767558
17,944,26,0.02754237288135593,0.32999999999999996,0.33,0.33,0.0,,0.0,,0,0.0247349823321554
18,1197,94,0.0785296574770259,0.9900000000000002,0.99,0.99,0.002506265664160401,1.0,0.031914893617021274,0.06185567010309278,0,0.1273885350318471
19,1579,66,0.04179860671310956,0.66,0.66,0.66,0.001266624445851805,1.0,0.030303030303030304,0.05882352941176471,0,0.0439210693825588
20,1456,78,0.05357142857142857,0.99,0.99,0.99,0.0,,0.0,,0,0.0584518167456556
21,1297,95,0.07324595219737856,0.8499999999999999,0.85,0.85,0.002313030069390902,1.0,0.031578947368421054,0.061224489795918366,0,0.1317073170731707
22,877,18,0.020524515393386546,0.8300000000000001,0.8300000000000001,0.8300000000000001,0.011402508551881414,1.0,0.5555555555555556,0.7142857142857143,0,0.0628683693516699
23,1057,22,0.020813623462630087,0.9000000000000001,0.9,0.9,0.017029328287606435,0.9444444444444444,0.7727272727272727,0.85,0,0.0475806451612903
24,790,18,0.02278481012658228,0.99,0.99,0.99,0.0,,0.0,,0,0.0502958579881656
25,1274,195,0.15306122448979592,0.8499999999999998,0.85,0.85,0.006279434850863423,1.0,0.041025641025641026,0.07881773399014778,0,0.2615384615384615
26,1071,95,0.08870214752567694,0.75,0.75,0.75,0.0018674136321195146,1.0,0.021052631578947368,0.041237113402061855,0,0.1022364217252396
27,1274,85,0.06671899529042387,0.8300000000000001,0.8300000000000001,0.8300000000000001,0.0,,0.0,,0,0.0526315789473684
28,1079,98,0.09082483781278962,0.75,0.75,0.75,0.0018535681186283596,1.0,0.02040816326530612,0.039999999999999994,0,0.1619047619047619
29,835,21,0.025149700598802394,0.83,0.8300000000000001,0.8300000000000001,0.0011976047904191617,1.0,0.047619047619047616,0.0909090909090909,0,0.1683168316831683
30,1322,102,0.07715582450832073,0.7599999999999999,0.76,0.76,0.0007564296520423601,1.0,0.00980392156862745,0.01941747572815534,0,0.0919732441471571
31,1409,71,0.050390347764371894,0.75,0.75,0.75,0.0035486160397444995,0.8,0.056338028169014086,0.10526315789473684,0,0.4285714285714285
32,1752,64,0.0365296803652968,0.75,0.75,0.75,0.0005707762557077625,1.0,0.015625,0.03076923076923077,0,0.0675182481751824
33,1529,100,0.06540222367560497,0.8,0.8,0.8,0.0013080444735120995,1.0,0.02,0.0392156862745098,0,0.1195652173913043
34,1557,161,0.10340398201669879,0.83,0.8300000000000001,0.8300000000000001,0.033397559409120106,0.6730769230769231,0.21739130434782608,0.3286384976525822,0,0.3418803418803419
