scope,score_type,bin_index,bin_lower,bin_upper,count,weight,mean_pred,observed_rate,abs_gap
overall,raw,0,0.0,0.1,26162,0.2539630150948891,0.041079569344669706,0.026679917437504776,0.01439965190716493
overall,raw,1,0.1,0.2,14495,0.14070766393243703,0.1475380140096823,0.035322525008623665,0.11221548900105864
overall,raw,2,0.2,0.30000000000000004,11889,0.11541037712954424,0.24867569931482525,0.03524266128353941,0.21343303803128583
overall,raw,3,0.30000000000000004,0.4,10637,0.10325680726107848,0.3495362535549127,0.04014289743348688,0.3093933561214258
overall,raw,4,0.4,0.5,10020,0.09726738824443042,0.4491421238272014,0.0408183632734531,0.4083237605537483
overall,raw,5,0.5,0.6000000000000001,9240,0.08969567538707955,0.5495661799848338,0.05303030303030303,0.4965358769545308
overall,raw,6,0.6000000000000001,0.7000000000000001,8305,0.0806193272824346,0.648726490138167,0.08717639975918122,0.5615500903789857
overall,raw,7,0.7000000000000001,0.8,6715,0.06518468184245013,0.7472694807414767,0.18749069247952346,0.5597787882619533
overall,raw,8,0.8,0.9,4397,0.042683104402271514,0.8450734170697238,0.4227882647259495,0.42228515234377434
overall,raw,9,0.9,1.0,1155,0.011211959423384944,0.9255572405212369,0.8034632034632034,0.12209403705803346
overall,calibrated,0,0.0,0.1,87751,0.8518274037761491,0.03381376977723809,0.038404120750760676,0.004590350973522589
overall,calibrated,1,0.1,0.2,7322,0.07107702761733728,0.13907986864530383,0.14572521169079486,0.006645343045491026
overall,calibrated,2,0.2,0.30000000000000004,2629,0.02552055525894287,0.24548281742852845,0.24381894256371245,0.0016638748648160062
overall,calibrated,3,0.30000000000000004,0.4,1642,0.015939426297141193,0.3404644917126071,0.35322777101096225,0.012763279298355135
overall,calibrated,4,0.4,0.5,1179,0.011444935203611124,0.4402914819140681,0.3799830364715861,0.060308445442481984
overall,calibrated,5,0.5,0.6000000000000001,877,0.008513323302431685,0.5414107998962295,0.49372862029646525,0.047682179599764285
overall,calibrated,6,0.6000000000000001,0.7000000000000001,479,0.004649808280347522,0.646542454730616,0.6033402922755741,0.04320216245504194
overall,calibrated,7,0.7000000000000001,0.8,431,0.0041838567198951605,0.7519507654252631,0.7262180974477959,0.025732667977467205
overall,calibrated,8,0.8,0.9,286,0.002776294714361986,0.8431456862998192,0.7517482517482518,0.09139743455156746
overall,calibrated,9,0.9,1.0,419,0.00406736882978207,0.9798408774663702,0.8806682577565632,0.09917261970980695
