feature,class,n,mean,median,std,p10,p90
tire_life_ratio,TP,561,0.6265399088928502,0.5333333333333333,0.37350634053414383,0.3,1.0
tire_life_ratio,FP,34,0.5418137254901962,0.5444444444444445,0.15422512928027168,0.43333333333333335,0.7241666666666666
pace_drop_ratio,TP,561,1.0124840106218678,1.0083178849084256,0.02478509023580796,1.0005379425900613,1.0243959797999802
pace_drop_ratio,FP,34,1.0106557728727967,1.0081987185727002,0.008762486274969786,1.0036495607481817,1.0193479296103414
lapTime,TP,561,90.7161568627451,92.115,14.015665133614046,71.786,112.962
lapTime,FP,34,91.29170588235294,92.193,14.588204152125202,71.54140000000001,113.5056
trackTemp,TP,561,32.15080213903743,31.5,7.691465990901428,23.5,42.2
trackTemp,FP,34,32.14117647058824,31.8,7.070199167136367,23.5,44.39999999999999
airTemp,TP,561,22.22263814616756,22.0,4.6502874952897155,17.0,29.6
airTemp,FP,34,22.47647058823529,22.3,4.24091130769357,18.2,28.47
humidity,TP,561,55.618538324420676,57.0,13.128350837956269,38.0,71.0
humidity,FP,34,52.911764705882355,54.5,11.917282672554924,35.1,64.0
speedTrap,TP,561,298.93939393939394,300.0,16.581884505397376,286.0,317.0
speedTrap,FP,34,301.70588235294116,301.5,12.465315200386339,290.6,309.4
gapAhead,TP,561,132.2937878787879,4.245,307.4973806554809,0.401,999.0
gapAhead,FP,34,74.14579411764706,2.5214999999999996,233.69205880889487,0.3871,88.048
gapBehind,TP,561,45.29824420677362,3.927,145.52745247851652,0.361,104.014
gapBehind,FP,34,20.263323529411764,3.907,45.21934422002874,0.867,70.32979999999995
position,TP,561,7.686274509803922,7.0,5.313820864625459,1.0,16.0
position,FP,34,7.117647058823529,6.0,4.529411764705882,2.0,12.0
pitLoss,TP,561,22.328877005347593,22.5,0.9182951270201948,21.0,23.5
pitLoss,FP,34,22.38235294117647,22.5,0.9397967828629681,21.0,23.5
