race,driver,suggestion_lap,suggestion_label,totalScore,matched_pit_lap,match_distance,nearest_future_pit_lap,nearest_future_pit_distance,pit_in_window_before_consumption,outcome_class,exclusion_reason
2022 :: Abu Dhabi Grand Prix,LEC,16,PIT_NOW,0.9111111111111112,,,21.0,5.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Austrian Grand Prix,RIC,42,PIT_NOW,0.7857142857142857,44.0,2.0,44.0,2.0,True,1,
2022 :: Bahrain Grand Prix,ALB,10,PIT_NOW,0.8,,,13.0,3.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Bahrain Grand Prix,LAT,30,PIT_NOW,0.8333333333333334,32.0,2.0,32.0,2.0,True,1,
2022 :: Bahrain Grand Prix,PER,13,PIT_NOW,0.8,15.0,2.0,15.0,2.0,True,1,
2022 :: Bahrain Grand Prix,RUS,12,PIT_NOW,0.9285714285714286,,,15.0,3.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Bahrain Grand Prix,SAI,12,PIT_NOW,0.9285714285714286,14.0,2.0,14.0,2.0,True,1,
2022 :: Bahrain Grand Prix,SAI,13,PIT_NOW,0.8,,,14.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Bahrain Grand Prix,VER,12,PIT_NOW,0.9285714285714286,14.0,2.0,14.0,2.0,True,1,
2022 :: Bahrain Grand Prix,VER,13,PIT_NOW,0.8333333333333334,,,14.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Belgian Grand Prix,VER,13,PIT_NOW,0.8928571428571429,15.0,2.0,15.0,2.0,True,0,
2022 :: French Grand Prix,BOT,17,PIT_NOW,0.7804878048780488,18.0,1.0,18.0,1.0,True,1,
2022 :: French Grand Prix,HAM,17,PIT_NOW,0.7804878048780488,18.0,1.0,18.0,1.0,True,1,
2022 :: United States Grand Prix,HAM,12,PIT_NOW,0.75,12.0,0.0,12.0,0.0,True,0,
2023 :: Abu Dhabi Grand Prix,HAM,16,PIT_NOW,0.7662337662337663,18.0,2.0,18.0,2.0,True,1,
2023 :: Abu Dhabi Grand Prix,HAM,17,PIT_NOW,0.7662337662337663,,,18.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Abu Dhabi Grand Prix,LEC,15,PIT_NOW,0.7662337662337663,17.0,2.0,17.0,2.0,True,1,
2023 :: Abu Dhabi Grand Prix,LEC,16,PIT_NOW,0.7662337662337663,,,17.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Abu Dhabi Grand Prix,PER,14,PIT_NOW,1.0,15.0,1.0,15.0,1.0,True,1,
2023 :: Australian Grand Prix,PER,19,PIT_NOW,0.9361702127659576,20.0,1.0,20.0,1.0,True,1,
2023 :: Austrian Grand Prix,ALB,12,PIT_NOW,0.7522935779816514,14.0,2.0,14.0,2.0,True,1,
2023 :: Austrian Grand Prix,ALO,42,PIT_NOW,1.0,44.0,2.0,44.0,2.0,True,1,
2023 :: Austrian Grand Prix,ALO,43,PIT_NOW,1.0,,,44.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Austrian Grand Prix,GAS,12,PIT_NOW,0.7522935779816514,12.0,0.0,12.0,0.0,True,1,
2023 :: Austrian Grand Prix,LEC,14,PIT_NOW,0.7522935779816514,15.0,1.0,15.0,1.0,True,1,
2023 :: Austrian Grand Prix,LEC,40,PIT_NOW,0.7522935779816514,,,47.0,7.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Austrian Grand Prix,LEC,46,PIT_NOW,1.0,47.0,1.0,47.0,1.0,True,1,
2023 :: Austrian Grand Prix,MSC,41,PIT_NOW,0.7522935779816514,43.0,2.0,43.0,2.0,True,1,
2023 :: Austrian Grand Prix,MSC,42,PIT_NOW,0.7522935779816514,,,43.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Austrian Grand Prix,NOR,13,PIT_NOW,0.7522935779816514,14.0,1.0,14.0,1.0,True,1,
2023 :: Austrian Grand Prix,RIC,11,PIT_NOW,0.7522935779816514,12.0,1.0,12.0,1.0,True,1,
2023 :: Austrian Grand Prix,RIC,40,PIT_NOW,0.7522935779816514,,,44.0,4.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Austrian Grand Prix,RIC,41,PIT_NOW,0.8461538461538461,,,44.0,3.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Austrian Grand Prix,RIC,42,PIT_NOW,1.0,44.0,2.0,44.0,2.0,True,1,
2023 :: Austrian Grand Prix,RIC,43,PIT_NOW,1.0,,,44.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Austrian Grand Prix,SAI,44,PIT_NOW,0.75,45.0,1.0,45.0,1.0,True,1,
2023 :: Austrian Grand Prix,VER,21,PIT_NOW,0.7522935779816514,,,24.0,3.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Austrian Grand Prix,VER,22,PIT_NOW,0.7522935779816514,24.0,2.0,24.0,2.0,True,1,
2023 :: Austrian Grand Prix,VER,23,PIT_NOW,0.7522935779816514,,,24.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Belgian Grand Prix,ALB,22,PIT_NOW,0.8846153846153846,23.0,1.0,23.0,1.0,True,1,
2023 :: Belgian Grand Prix,ALO,22,PIT_NOW,0.7547169811320755,,,25.0,3.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Belgian Grand Prix,ALO,23,PIT_NOW,0.8846153846153846,25.0,2.0,25.0,2.0,True,0,
2023 :: Belgian Grand Prix,BOT,22,PIT_NOW,0.8846153846153846,24.0,2.0,24.0,2.0,True,1,
2023 :: Belgian Grand Prix,LAT,13,PIT_NOW,0.7547169811320755,15.0,2.0,15.0,2.0,True,1,
2023 :: Belgian Grand Prix,LAT,14,PIT_NOW,0.7547169811320755,,,15.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Belgian Grand Prix,LEC,10,PIT_NOW,0.875,,,13.0,3.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Belgian Grand Prix,MAG,23,PIT_NOW,0.8846153846153846,25.0,2.0,25.0,2.0,True,1,
2023 :: Belgian Grand Prix,OCO,23,PIT_NOW,1.0,25.0,2.0,25.0,2.0,True,1,
2023 :: Belgian Grand Prix,OCO,24,PIT_NOW,1.0,,,25.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Belgian Grand Prix,PER,10,PIT_NOW,1.0,,,13.0,3.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Belgian Grand Prix,PER,12,PIT_NOW,1.0,13.0,1.0,13.0,1.0,True,1,
2023 :: Belgian Grand Prix,PER,27,PIT_NOW,0.8846153846153846,27.0,0.0,27.0,0.0,True,1,
2023 :: Belgian Grand Prix,SAR,7,PIT_NOW,0.7547169811320755,8.0,1.0,8.0,1.0,True,1,
2023 :: Belgian Grand Prix,VER,10,PIT_NOW,0.7547169811320755,,,14.0,4.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Belgian Grand Prix,VER,13,PIT_NOW,1.0,14.0,1.0,14.0,1.0,True,1,
2023 :: Belgian Grand Prix,VER,26,PIT_NOW,0.875,,,30.0,4.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Belgian Grand Prix,VER,27,PIT_NOW,0.8846153846153846,,,30.0,3.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Belgian Grand Prix,ZHO,23,PIT_NOW,1.0,25.0,2.0,25.0,2.0,True,1,
2023 :: British Grand Prix,GAS,31,PIT_NOW,0.8571428571428571,31.0,0.0,31.0,0.0,True,1,
2023 :: British Grand Prix,LAT,37,PIT_NOW,0.8571428571428571,39.0,2.0,39.0,2.0,True,1,
2023 :: British Grand Prix,NOR,31,PIT_NOW,0.8888888888888888,33.0,2.0,33.0,2.0,True,1,
2023 :: British Grand Prix,NOR,32,PIT_NOW,0.75,34.0,2.0,33.0,1.0,True,EXCLUDED,UNRESOLVED_INCIDENT_FILTER
2023 :: British Grand Prix,RUS,27,PIT_NOW,1.0,28.0,1.0,28.0,1.0,True,1,
2023 :: Canadian Grand Prix,VER,39,PIT_NOW,0.8173913043478261,,,42.0,3.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Canadian Grand Prix,VER,40,PIT_NOW,0.8173913043478261,42.0,2.0,42.0,2.0,True,1,
2023 :: Dutch Grand Prix,ALO,45,PIT_NOW,0.847457627118644,47.0,2.0,47.0,2.0,True,1,
2023 :: Dutch Grand Prix,ALO,46,PIT_NOW,0.8048780487804879,48.0,2.0,47.0,1.0,True,1,
2023 :: Dutch Grand Prix,TSU,9,PIT_NOW,0.8048780487804879,10.0,1.0,10.0,1.0,True,1,
2023 :: Dutch Grand Prix,VER,46,PIT_NOW,0.847457627118644,48.0,2.0,48.0,2.0,True,1,
2023 :: Emilia Romagna Grand Prix,MAG,16,PIT_NOW,0.875,18.0,2.0,18.0,2.0,True,1,
2023 :: Emilia Romagna Grand Prix,RUS,16,PIT_NOW,0.8333333333333334,18.0,2.0,18.0,2.0,True,1,
2023 :: Emilia Romagna Grand Prix,RUS,17,PIT_NOW,0.875,,,18.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Emilia Romagna Grand Prix,STR,16,PIT_NOW,0.8333333333333334,18.0,2.0,18.0,2.0,True,1,
2023 :: Emilia Romagna Grand Prix,TSU,16,PIT_NOW,0.8333333333333334,18.0,2.0,18.0,2.0,True,1,
2023 :: Emilia Romagna Grand Prix,TSU,17,PIT_NOW,1.0,,,18.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Emilia Romagna Grand Prix,VET,15,PIT_NOW,1.0,17.0,2.0,17.0,2.0,True,1,
