race,driver,suggestion_lap,suggestion_label,totalScore,matched_pit_lap,match_distance,nearest_future_pit_lap,nearest_future_pit_distance,pit_in_window_before_consumption,outcome_class,exclusion_reason
2022 :: Abu Dhabi Grand Prix,ALB,11,PIT_NOW,0.107361963190184,12.0,1.0,12.0,1.0,True,1,
2022 :: Abu Dhabi Grand Prix,ALB,30,PIT_NOW,0.0620592383638928,,,35.0,5.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,ALB,31,PIT_NOW,0.0620592383638928,,,35.0,4.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,ALB,32,PIT_NOW,0.0620592383638928,,,35.0,3.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,ALB,33,PIT_NOW,0.0620592383638928,35.0,2.0,35.0,2.0,True,0,
2022 :: Abu Dhabi Grand Prix,ALB,34,PIT_NOW,0.0723981900452488,,,35.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,ALB,47,PIT_NOW,0.0620592383638928,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,ALB,48,PIT_NOW,0.0620592383638928,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,ALB,49,PIT_NOW,0.065989847715736,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,ALB,50,PIT_NOW,0.0620592383638928,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,ALB,51,PIT_NOW,0.065989847715736,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,ALB,52,PIT_NOW,0.0620592383638928,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,ALO,11,PIT_NOW,0.0620592383638928,,,19.0,8.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,ALO,12,PIT_NOW,0.1197301854974704,,,19.0,7.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,ALO,13,PIT_NOW,0.0620592383638928,,,19.0,6.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,ALO,16,PIT_NOW,0.218978102189781,,,19.0,3.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,ALO,18,PIT_NOW,0.0620592383638928,19.0,1.0,19.0,1.0,True,EXCLUDED,UNRESOLVED_INCIDENT_FILTER
2022 :: Abu Dhabi Grand Prix,BOT,16,PIT_NOW,0.0620592383638928,,,30.0,14.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,BOT,17,PIT_NOW,0.218978102189781,,,30.0,13.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,BOT,18,PIT_NOW,0.1197301854974704,,,30.0,12.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,BOT,19,PIT_NOW,0.065989847715736,,,30.0,11.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,BOT,20,PIT_NOW,0.1197301854974704,,,30.0,10.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,BOT,21,PIT_NOW,0.2610837438423645,,,30.0,9.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,BOT,22,PIT_NOW,0.1762711864406779,,,30.0,8.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,BOT,23,PIT_NOW,0.1388367729831144,,,30.0,7.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,BOT,24,PIT_NOW,0.107361963190184,,,30.0,6.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,BOT,25,PIT_NOW,0.1197301854974704,,,30.0,5.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,BOT,26,PIT_NOW,0.218978102189781,,,30.0,4.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,BOT,27,PIT_NOW,0.2610837438423645,,,30.0,3.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,BOT,28,PIT_NOW,0.5634920634920635,30.0,2.0,30.0,2.0,True,EXCLUDED,UNRESOLVED_INCIDENT_FILTER
2022 :: Abu Dhabi Grand Prix,BOT,29,PIT_NOW,0.1529745042492918,,,30.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,BOT,43,PIT_NOW,0.0620592383638928,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,BOT,48,PIT_NOW,0.0620592383638928,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,BOT,52,PIT_NOW,0.0620592383638928,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,BOT,57,PIT_NOW,0.0620592383638928,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,GAS,11,PIT_NOW,0.0620592383638928,,,14.0,3.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,GAS,12,PIT_NOW,0.0723981900452488,14.0,2.0,14.0,2.0,True,0,
2022 :: Abu Dhabi Grand Prix,GAS,13,PIT_NOW,0.065989847715736,,,14.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,GAS,29,PIT_NOW,0.065989847715736,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,GAS,30,PIT_NOW,0.1197301854974704,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,GAS,31,PIT_NOW,0.0723981900452488,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,GAS,38,PIT_NOW,0.0620592383638928,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,GAS,40,PIT_NOW,0.0620592383638928,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,GAS,41,PIT_NOW,0.0620592383638928,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
