learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.284277689,-7.354284145144953E-14,1000.0,94.8,21.133254466587786,-92.5925925925926,-100.0,1000.0,-1.0,42.0,21.0,2153.809523809523,2644.2130115856385,-5.333333333333335,4.159424600606444,1.3809523809523816,1.1884070287446982,1.1904761904761905,0.5942035143723492,1.1904761904761905,0.5942035143723492,0.16666666666666674,0.48973196584865036,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.447243877,-1.1570231083573568E-13,2000.0,94.65,20.08245697896751,-118.36734693877577,-122.91666666666643,2000.0,-1.0,42.0,48.0,6031.166666666667,9826.682376698674,-9.761904761904763,10.971825389649272,2.6428571428571432,3.1376659693459463,1.8095238095238093,1.5809551796009542,1.8095238095238093,1.5809551796009542,0.7857142857142859,1.4404557931384296,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.611306455,-1.581454170971281E-13,3000.0,93.76666666666667,21.288345624137133,-120.00000000000016,-122.61904761904749,3000.0,-1.0,42.0,75.0,12600.380952380952,18331.05311593255,-14.428571428571427,15.916156628151368,3.9761904761904767,4.5504655094921675,2.4761904761904767,2.2871656251745858,2.4761904761904767,2.2871656251745858,1.2619047619047619,1.808644874869416,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.762795894,-1.973358433072766E-13,4000.0,93.975,20.553160978745492,-99.17355371900835,-102.52100840336107,4000.0,-1.0,42.0,104.0,20818.35714285714,41020.4844983466,-22.428571428571434,27.83062259467022,6.26190476190476,7.954319347586657,3.619047619047618,3.987494971033642,3.619047619047618,3.987494971033642,1.8095238095238098,2.1666890019397336,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.914401357,-2.3655628500920204E-13,5000.0,93.64,22.00147167034591,-88.16568047337246,-91.5662650602409,5000.0,-1.0,42.0,130.0,31210.285714285717,85125.65152711829,-30.76190476190476,48.142476313040696,8.642857142857144,13.75716474719748,4.80952380952381,6.886671804885126,4.80952380952381,6.886671804885126,2.261904761904762,2.6874552639228297,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,1.046898143,-2.708332983052565E-13,6000.0,93.81666666666668,22.290482783466878,-80.97560975609738,-84.57711442786072,6000.0,-1.0,42.0,154.0,41284.7857142857,142775.0474627039,-36.761904761904766,75.17939829494985,10.357142857142858,21.481496778221775,5.666666666666666,10.746903505631266,5.666666666666666,10.746903505631266,2.3809523809523805,3.0279380487297645,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,1.175617946,-3.0413320339802243E-13,7000.0,94.34285714285714,21.265053584925308,-85.91549295774634,-89.47368421052676,7000.0,-1.0,42.0,180.0,54719.02380952381,178747.22576615555,-40.595238095238095,85.9012647976988,11.452380952380954,24.544834418504912,6.214285714285714,12.278348411787896,6.214285714285714,12.278348411787896,2.4761904761904767,3.1794929434531003,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,1.355579306,-3.5068933593316216E-13,8000.0,94.55,21.333718244803716,-75.10040160642592,-78.68852459016408,8000.0,-1.0,42.0,208.0,71149.73809523809,204502.8543700921,-52.095238095238095,94.01966829101072,14.738095238095239,26.864664909014508,7.857142857142858,13.439242553734882,7.857142857142858,13.439242553734882,3.142857142857143,3.585685828003181,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.606597142,-4.1562782962703047E-13,9000.0,94.45555555555556,20.029687487201407,-73.8675958188154,-80.14440433212975,9000.0,-1.0,42.0,237.0,91179.42857142858,246659.03117670625,-64.83333333333333,108.9985268789841,18.38095238095238,31.142436251138314,9.69047619047619,15.571218125569157,9.69047619047619,15.571218125569157,3.738095238095238,3.882792079441274,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.780715409,-4.606723498242597E-13,10000.0,94.78,21.01231345400881,-70.03257328990263,-75.75757575757615,10000.0,-1.0,42.0,264.0,108795.35714285714,266211.8489879837,-71.59523809523809,116.5585918867625,20.309523809523814,33.30457237724464,10.642857142857144,16.65989990391186,10.642857142857144,16.65989990391186,3.9761904761904763,4.009063483111038,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,1.973188355,-5.104652386055225E-13,11000.0,94.96363636363637,20.706990731409746,-69.41896024464847,-74.76340694006296,11000.0,-1.0,42.0,294.0,129224.64285714286,326506.02255729743,-75.92857142857142,128.82137242333414,21.547619047619047,36.80813959621245,11.261904761904763,18.41136913313516,11.261904761904763,18.41136913313516,3.9761904761904763,4.081415914272024,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,2.169706362,-5.613045875603955E-13,12000.0,95.04166666666667,20.149680207297852,-66.6666666666663,-71.46974063400549,12000.0,-1.0,42.0,325.0,153268.42857142858,358847.70434213,-84.76190476190476,139.8824959017318,24.071428571428577,39.96851984246117,12.523809523809526,19.99175207397351,12.523809523809526,19.99175207397351,4.214285714285714,4.176214380335694,0.0,0.0,0.0,0.0,1.0,0.0
