bin_index,count,mean_pred,observed_rate,bin_lower,bin_upper
0,2464,0.07798306732230634,0.004464285714285714,0.0,0.12189813830377709
1,2464,0.15402550469290166,0.012175324675324676,0.12189813830377709,0.18584322303898163
2,2463,0.21398602369324304,0.017458384084449857,0.18584322303898163,0.24340717029660386
3,2464,0.2727965552646864,0.01948051948051948,0.24340717029660386,0.30149599122177106
4,2463,0.33003861565466336,0.029232643118148598,0.30149599122177106,0.3584010743262338
5,2464,0.38879223191947854,0.04748376623376623,0.3584010743262338,0.41839100808506147
6,2464,0.44958138479438353,0.05113636363636364,0.41839100808506147,0.4800405035116974
7,2463,0.5090065373438726,0.0775477060495331,0.4800405035116974,0.5382174384009312
8,2463,0.5699227478762172,0.12099066179455949,0.5382174384009312,0.6021829435542237
9,2465,0.6554238854198575,0.19797160243407708,0.6021829435542237,1.0
