fold,rows,positive_rows,prevalence,mean_constrained_threshold,min_constrained_threshold,max_constrained_threshold,constrained_positive_rate,constrained_precision,constrained_recall,constrained_f1,fallback_rows,calibrated_score_q90
1,1214,129,0.10626029654036244,0.75,0.75,0.75,0.004118616144975288,1.0,0.03875968992248062,0.07462686567164178,0,0.0342465753424657
2,957,60,0.06269592476489028,0.06999999999999987,0.0699999999999999,0.0699999999999999,0.0438871473354232,0.2619047619047619,0.18333333333333332,0.2156862745098039,957,0.032233307751343
3,1206,27,0.022388059701492536,0.17999999999999994,0.18,0.18,0.003316749585406302,1.0,0.14814814814814814,0.25806451612903225,0,0.0298953662182361
4,1110,57,0.051351351351351354,0.75,0.75,0.75,0.0018018018018018018,1.0,0.03508771929824561,0.06779661016949151,0,0.0449438202247191
5,1316,61,0.04635258358662614,0.9900000000000001,0.99,0.99,0.0007598784194528875,1.0,0.01639344262295082,0.03225806451612903,0,0.0544090056285178
6,1717,56,0.032615026208503206,0.9900000000000001,0.99,0.99,0.0,,0.0,,0,0.0255795363709032
7,1554,105,0.06756756756756757,0.7999999999999999,0.8,0.8,0.0,,0.0,,0,0.0467479674796747
8,1487,69,0.04640215198386012,0.8699999999999999,0.87,0.87,0.0026899798251513113,0.75,0.043478260869565216,0.0821917808219178,0,0.0557515878616796
9,1583,111,0.07012002526847758,0.9000000000000001,0.9,0.9,0.005685407454200884,1.0,0.08108108108108109,0.15,0,0.0548086866597724
10,1146,60,0.05235602094240838,0.99,0.99,0.99,0.0,,0.0,,0,0.0921985815602836
11,1553,101,0.06503541532517708,0.99,0.99,0.99,0.0,,0.0,,0,0.0335570469798657
12,938,83,0.08848614072494669,0.84,0.8400000000000001,0.8400000000000001,0.007462686567164179,0.5714285714285714,0.04819277108433735,0.08888888888888889,0,0.1278195488721804
13,1596,110,0.06892230576441102,0.99,0.99,0.99,0.002506265664160401,1.0,0.03636363636363636,0.07017543859649122,0,0.060253164556962
