scope,score_type,bin_index,bin_lower,bin_upper,count,weight,mean_pred,observed_rate,abs_gap
overall,raw,0,0.0,0.1,32920,0.3195651118769111,0.03780591803844491,0.025880923450789795,0.011924994587655113
overall,raw,1,0.1,0.2,15179,0.14734747366888318,0.1472192624468123,0.03524606364055603,0.11197319880625627
overall,raw,2,0.2,0.30000000000000004,12065,0.11711886618453624,0.24826583634433635,0.04119353501864898,0.20707230132568738
overall,raw,3,0.30000000000000004,0.4,10483,0.10176187933796049,0.34872534425615936,0.038633978822856054,0.3100913654333033
overall,raw,4,0.4,0.5,9046,0.08781245449691792,0.44873984100714265,0.04543444616405041,0.40330539484309225
overall,raw,5,0.5,0.6000000000000001,7433,0.07215454060088336,0.5491814955188916,0.06430781649401318,0.48487367902487843
overall,raw,6,0.6000000000000001,0.7000000000000001,6347,0.06161238654564869,0.6483421423443851,0.12242004096423507,0.52592210138015
overall,raw,7,0.7000000000000001,0.8,4935,0.0479056448090084,0.7474326936669625,0.2281661600810537,0.5192665335859088
overall,raw,8,0.8,0.9,3593,0.03487841576469446,0.8464699496208975,0.4954077372669079,0.3510622123539896
overall,raw,9,0.9,1.0,1014,0.009843226714556133,0.9249119315391932,0.8520710059171598,0.07284092562203337
overall,calibrated,0,0.0,0.1,92811,0.9009464641071688,0.02909090299250611,0.04203165573046298,0.012940752737956873
overall,calibrated,1,0.1,0.2,4687,0.045498228413337866,0.14300246742317646,0.21186259867719223,0.06886013125401577
overall,calibrated,2,0.2,0.30000000000000004,2335,0.02266660195117216,0.25056634690617985,0.3374732334047109,0.08690688649853107
overall,calibrated,3,0.30000000000000004,0.4,929,0.00901810415958841,0.3546579663901068,0.48331539289558667,0.12865742650547984
overall,calibrated,4,0.4,0.5,657,0.006377711983691695,0.4388369071841789,0.6012176560121766,0.1623807488279977
overall,calibrated,5,0.5,0.6000000000000001,648,0.006290346066106877,0.5299663011005844,0.6311728395061729,0.10120653840558846
overall,calibrated,6,0.6000000000000001,0.7000000000000001,355,0.0034461000825122554,0.6441904362831989,0.780281690140845,0.1360912538576461
overall,calibrated,7,0.7000000000000001,0.8,247,0.0023977090714944423,0.7418339099454536,0.8421052631578947,0.10027135321244107
overall,calibrated,8,0.8,0.9,186,0.0018055622967529002,0.8431274066434741,0.8118279569892473,0.03129944965422682
overall,calibrated,9,0.9,1.0,160,0.0015531718681745378,0.9920162738497857,0.9625,0.029516273849785724
