feature,class,n,mean,median,std,p10,p90
tire_life_ratio,TP,300,0.6623518518518519,0.6,0.38745452363795824,0.3333333333333333,1.0666666666666667
tire_life_ratio,FP,11,0.6085858585858586,0.6111111111111112,0.1729150878004043,0.43333333333333335,0.8
pace_drop_ratio,TP,300,1.0124379514917932,1.0092835033416403,0.012520729842392522,1.0008827369693765,1.0288968445028681
pace_drop_ratio,FP,11,1.0091877155153492,1.0065516624955309,0.006060483806137324,1.0024112737878657,1.0181125566017395
lapTime,TP,300,90.77271,91.467,15.230161422406747,71.42830000000001,114.764
lapTime,FP,11,91.86690909090909,93.507,16.463572253778093,71.116,114.11
trackTemp,TP,300,31.296666666666667,31.0,7.795775921755462,23.5,41.6
trackTemp,FP,11,33.21818181818182,31.4,7.377092083152125,25.3,46.8
airTemp,TP,300,21.787000000000003,22.0,4.861213600189428,16.77,30.1
airTemp,FP,11,22.79090909090909,22.4,3.6688998959198917,18.0,26.3
humidity,TP,300,55.25666666666667,55.5,13.705380533044515,36.0,71.0
humidity,FP,11,49.09090909090909,54.0,12.10900900873204,33.0,59.0
speedTrap,TP,300,294.77,297.0,18.18342926952999,279.0,309.0
speedTrap,FP,11,299.1818181818182,300.0,8.568633940325947,289.0,307.0
gapAhead,TP,300,147.78091666666668,5.1975,319.6351727583961,0.4181,999.0
gapAhead,FP,11,7.791545454545456,6.291,7.222194634516781,0.296,16.941
gapBehind,TP,300,57.95282333333333,4.454,167.2063967030133,0.36,142.28920000000016
gapBehind,FP,11,43.49645454545455,8.955,77.29220279546446,3.528,199.065
position,TP,300,7.52,7.0,5.214364774351714,1.0,16.0
position,FP,11,5.0,4.0,3.1333978072025612,2.0,10.0
pitLoss,TP,300,22.246666666666666,22.0,0.9429504523332897,21.0,23.5
pitLoss,FP,11,22.454545454545453,22.0,1.195722403451446,21.0,24.0
