model,case_origin,subtype_auto,race,driver,suggestion_lap,outcome_class,exclusion_reason,nearest_future_pit_distance,failure_type_manual,context_source,notes
MOA,excluded_no_match,no_future,2023 :: Hungarian Grand Prix,RUS,62,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
MOA,excluded_no_match,far_miss_6_plus,2023 :: São Paulo Grand Prix,HUL,34,EXCLUDED,NO_MATCH_WITHIN_HORIZON,12.0,,,
MOA,excluded_no_match,far_miss_6_plus,2023 :: United States Grand Prix,TSU,26,EXCLUDED,NO_MATCH_WITHIN_HORIZON,7.0,,,
MOA,excluded_no_match,far_miss_6_plus,2024 :: British Grand Prix,ALO,7,EXCLUDED,NO_MATCH_WITHIN_HORIZON,20.0,,,
MOA,excluded_no_match,far_miss_6_plus,2024 :: Canadian Grand Prix,TSU,24,EXCLUDED,NO_MATCH_WITHIN_HORIZON,10.0,,,
MOA,excluded_no_match,no_future,2024 :: Japanese Grand Prix,HUL,51,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
MOA,excluded_no_match,near_miss_3_5,2024 :: Mexico City Grand Prix,PER,17,EXCLUDED,NO_MATCH_WITHIN_HORIZON,3.0,,,
MOA,scored_fp,fp_scored,2024 :: Qatar Grand Prix,OCO,9,0,nan,1.0,,,
MOA,excluded_no_match,no_future,2025 :: Abu Dhabi Grand Prix,VER,55,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
MOA,excluded_no_match,near_miss_3_5,2025 :: Belgian Grand Prix,ANT,26,EXCLUDED,NO_MATCH_WITHIN_HORIZON,4.0,,,
MOA,excluded_no_match,near_miss_3_5,2025 :: Emilia Romagna Grand Prix,LEC,6,EXCLUDED,NO_MATCH_WITHIN_HORIZON,4.0,,,
MOA,excluded_no_match,far_miss_6_plus,2025 :: Hungarian Grand Prix,LAT,46,EXCLUDED,NO_MATCH_WITHIN_HORIZON,10.0,,,
MOA,excluded_no_match,far_miss_6_plus,2025 :: Italian Grand Prix,BOT,9,EXCLUDED,NO_MATCH_WITHIN_HORIZON,16.0,,,
MOA,scored_fp,fp_scored,2025 :: Mexico City Grand Prix,OCO,25,0,nan,2.0,,,
MOA,excluded_no_match,unexpected_within_horizon,2025 :: Mexico City Grand Prix,PER,68,EXCLUDED,NO_MATCH_WITHIN_HORIZON,0.0,,,
MOA,excluded_no_match,far_miss_6_plus,2025 :: Singapore Grand Prix,HUL,35,EXCLUDED,NO_MATCH_WITHIN_HORIZON,9.0,,,
MOA,excluded_no_match,far_miss_6_plus,2025 :: United States Grand Prix,LEC,10,EXCLUDED,NO_MATCH_WITHIN_HORIZON,8.0,,,
MOA,excluded_no_match,no_future,2025 :: United States Grand Prix,RUS,55,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
SDE,excluded_no_match,unexpected_within_horizon,2022 :: Abu Dhabi Grand Prix,PER,14,EXCLUDED,NO_MATCH_WITHIN_HORIZON,1.0,,,
SDE,excluded_no_match,no_future,2022 :: Australian Grand Prix,NOR,41,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
SDE,excluded_no_match,no_future,2022 :: Monaco Grand Prix,SAI,52,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
SDE,excluded_no_match,far_miss_6_plus,2023 :: Australian Grand Prix,NOR,43,EXCLUDED,NO_MATCH_WITHIN_HORIZON,12.0,,,
SDE,excluded_no_match,near_miss_3_5,2023 :: Canadian Grand Prix,LEC,34,EXCLUDED,NO_MATCH_WITHIN_HORIZON,5.0,,,
SDE,excluded_no_match,unexpected_within_horizon,2024 :: Canadian Grand Prix,ALO,25,EXCLUDED,NO_MATCH_WITHIN_HORIZON,0.0,,,
SDE,excluded_no_match,no_future,2024 :: French Grand Prix,NOR,42,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
SDE,excluded_no_match,far_miss_6_plus,2024 :: Hungarian Grand Prix,MSC,8,EXCLUDED,NO_MATCH_WITHIN_HORIZON,13.0,,,
SDE,excluded_no_match,near_miss_3_5,2025 :: Australian Grand Prix,ALB,41,EXCLUDED,NO_MATCH_WITHIN_HORIZON,3.0,,,
SDE,excluded_no_match,no_future,2025 :: Azerbaijan Grand Prix,BOR,31,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
SDE,excluded_no_match,far_miss_6_plus,2025 :: Azerbaijan Grand Prix,LAW,14,EXCLUDED,NO_MATCH_WITHIN_HORIZON,6.0,,,
SDE,excluded_no_match,far_miss_6_plus,2025 :: British Grand Prix,MAG,15,EXCLUDED,NO_MATCH_WITHIN_HORIZON,7.0,,,
