threshold,actionable,scored,excluded,tp,fp,precision,scored_rate,tp_per_actionable,meets_precision_floor,precision_delta_vs_floor,scored_vs_sde_ratio,no_match_count,no_match_rate,no_match_one_lap_beyond,no_match_two_to_three_laps_beyond,no_match_four_plus_laps_beyond,no_match_pit_in_window_but_consumed,excluded_incident,excluded_missing_post_gap,excluded_weather
0.05,26693,3589,23104,3030,559,0.844246308163834,0.13445472595811636,0.11351290600531974,1,0.12932754893192844,5.301329394387001,22497,0.9737274930747922,2133,3140,6526,4132,198,322,83
0.075,14616,2913,11703,2540,373,0.871953312736011,0.19930213464696223,0.17378215654077722,1,0.15703455350410545,4.302806499261448,11335,0.9685550713492267,1348,1773,3105,2829,116,186,66
0.1,10957,2596,8361,2296,300,0.884437596302003,0.23692616592132884,0.20954640868850963,1,0.16951883707009752,3.8345642540620384,8072,0.9654347566080612,1073,1304,1991,2350,89,148,52
0.125,9096,2382,6714,2131,251,0.8946263643996641,0.26187335092348285,0.23427880386983288,1,0.17970760516775863,3.518463810930576,6485,0.9658921656240691,922,1074,1538,2094,72,120,37
0.15,7603,2204,5399,1994,210,0.9047186932849365,0.28988557148494015,0.2622648954360121,1,0.18979993405303097,3.2555391432791727,5212,0.9653639562882015,761,855,1172,1858,53,98,36
0.175,6463,2056,4407,1869,187,0.9090466926070039,0.31811852081076897,0.2891845892000619,1,0.19412793337509837,3.0369276218611523,4251,0.9646017699115044,627,684,878,1678,46,76,34
0.2,5570,1908,3662,1751,157,0.9177148846960168,0.34254937163375226,0.3143626570915619,1,0.2027961254641113,2.8183161004431314,3529,0.9636810486073184,530,549,683,1477,37,68,28
0.22499999999999998,5019,1808,3211,1667,141,0.9220132743362832,0.3602311217373979,0.3321378760709305,1,0.2070945151043777,2.6706056129985227,3092,0.9629398941139832,464,490,581,1345,32,61,26
0.25,4435,1682,2753,1555,127,0.9244946492271106,0.3792559188275085,0.3506200676437429,1,0.20957588999520504,2.4844903988183162,2647,0.9614965492190338,409,421,465,1210,30,53,23
0.27499999999999997,3828,1558,2270,1449,109,0.9300385109114249,0.4070010449320794,0.3785266457680251,1,0.21511975167951936,2.3013293943870017,2177,0.9590308370044053,347,343,353,1051,25,46,22
0.3,3285,1432,1853,1337,95,0.9336592178770949,0.4359208523592085,0.4070015220700152,1,0.21874045864518943,2.1152141802067947,1772,0.956287101996762,297,262,236,922,21,40,20
0.32499999999999996,3081,1373,1708,1281,92,0.932993445010925,0.4456345342421292,0.4157740993184031,1,0.21807468577901945,2.0280649926144756,1637,0.9584309133489461,270,241,208,865,17,39,15
0.35,2862,1301,1561,1222,79,0.9392774788624135,0.45457721872816215,0.42697414395527605,1,0.22435871963050802,1.9217134416543575,1495,0.9577194106342088,243,221,188,799,16,35,15
0.37499999999999994,2506,1198,1308,1128,70,0.9415692821368948,0.47805267358339987,0.4501197126895451,1,0.22665052290498933,1.7695716395864107,1249,0.9548929663608563,195,190,137,694,15,34,10
0.39999999999999997,2277,1135,1142,1071,64,0.9436123348017621,0.49846288976723757,0.47035573122529645,1,0.2286935755698566,1.6765140324963073,1088,0.9527145359019265,175,153,105,628,13,31,10
0.42499999999999993,2033,1034,999,981,53,0.9487427466150871,0.5086079685194295,0.4825381210034432,1,0.23382398738318155,1.5273264401772526,951,0.9519519519519519,149,138,83,559,11,28,9
0.44999999999999996,1888,973,915,923,50,0.9486125385405961,0.5153601694915254,0.4888771186440678,1,0.23369377930869062,1.4372230428360413,870,0.9508196721311475,141,119,70,519,9,28,8
0.475,1653,880,773,837,43,0.9511363636363637,0.5323653962492438,0.5063520871143375,1,0.23621760440445816,1.2998522895125555,734,0.9495472186287193,115,103,50,448,7,24,8
0.49999999999999994,1618,865,753,823,42,0.9514450867052023,0.534610630407911,0.5086526576019778,1,0.23652632747329683,1.2776957163958642,715,0.949535192563081,112,99,48,439,6,24,8
0.525,1255,729,526,693,36,0.9506172839506173,0.5808764940239044,0.552191235059761,1,0.23569852471871178,1.0768094534711965,496,0.9429657794676806,70,58,19,335,5,21,4
0.5499999999999999,1091,649,442,620,29,0.9553158705701078,0.5948670944087993,0.5682859761686526,1,0.2403971113382023,0.9586410635155096,413,0.9343891402714932,58,45,15,287,5,20,4
0.575,1034,620,414,593,27,0.9564516129032258,0.5996131528046421,0.5735009671179884,1,0.24153285367132027,0.9158050221565731,386,0.9323671497584541,56,40,14,269,5,20,3
0.6,966,580,386,555,25,0.9568965517241379,0.6004140786749482,0.5745341614906833,1,0.2419777924922324,0.8567208271787297,361,0.9352331606217616,50,36,14,254,5,18,2
0.625,919,556,363,532,24,0.9568345323741008,0.6050054406964092,0.5788900979325353,1,0.24191577314219526,0.8212703101920237,339,0.9338842975206612,45,36,13,238,5,17,2
0.65,722,464,258,445,19,0.959051724137931,0.6426592797783933,0.6163434903047091,1,0.24413296490602554,0.6853766617429837,241,0.9341085271317829,27,18,11,180,3,12,2
