threshold,year,actionable,scored,tp,fp,precision,scored_rate,tp_per_actionable
0.05,2023,4572,496,401,95,0.8084677419354839,0.1084864391951006,0.08770778652668416
0.05,2024,7744,1156,993,163,0.8589965397923875,0.14927685950413222,0.12822830578512398
0.05,2025,10576,1735,1510,225,0.8703170028818443,0.16405068078668683,0.14277609682299547
0.075,2023,1207,252,215,37,0.8531746031746031,0.2087821043910522,0.17812758906379453
0.075,2024,4563,958,848,110,0.8851774530271399,0.2099495945649792,0.18584264738110892
0.075,2025,7432,1574,1394,180,0.8856416772554002,0.21178686759956944,0.18756727664155004
0.1,2023,836,194,169,25,0.8711340206185567,0.23205741626794257,0.2021531100478469
0.1,2024,3530,857,769,88,0.897316219369895,0.24277620396600566,0.21784702549575072
0.1,2025,5838,1451,1298,153,0.8945554789800138,0.24854402192531688,0.2223364165810209
0.125,2023,738,177,159,18,0.8983050847457628,0.23983739837398374,0.21544715447154472
0.125,2024,2935,789,712,77,0.9024081115335868,0.26882453151618396,0.24258943781942077
0.125,2025,4969,1353,1220,133,0.90169992609017,0.27228818675789895,0.2455222378748239
0.15,2023,549,152,144,8,0.9473684210526315,0.2768670309653916,0.26229508196721313
0.15,2024,2460,749,679,70,0.9065420560747663,0.30447154471544713,0.2760162601626016
0.15,2025,4375,1272,1150,122,0.9040880503144654,0.29074285714285714,0.26285714285714284
0.175,2023,385,136,129,7,0.9485294117647058,0.35324675324675325,0.33506493506493507
0.175,2024,2272,717,653,64,0.9107391910739191,0.31558098591549294,0.28741197183098594
0.175,2025,3745,1190,1081,109,0.9084033613445378,0.3177570093457944,0.28865153538050736
0.2,2023,335,124,118,6,0.9516129032258065,0.3701492537313433,0.3522388059701492
0.2,2024,1879,671,614,57,0.9150521609538003,0.3571048430015966,0.32676955827567855
0.2,2025,3303,1103,1014,89,0.9193109700815957,0.33393884347562824,0.3069936421435059
0.22499999999999998,2023,276,112,107,5,0.9553571428571429,0.4057971014492754,0.38768115942028986
0.22499999999999998,2024,1692,632,586,46,0.9272151898734177,0.3735224586288416,0.3463356973995272
0.22499999999999998,2025,2999,1054,969,85,0.9193548387096774,0.35145048349449814,0.3231077025675225
0.25,2023,223,104,99,5,0.9519230769230769,0.4663677130044843,0.4439461883408072
0.25,2024,1575,595,554,41,0.9310924369747899,0.37777777777777777,0.35174603174603175
0.25,2025,2588,973,897,76,0.9218910585817061,0.3759659969088099,0.3465996908809892
0.27499999999999997,2023,195,93,89,4,0.956989247311828,0.47692307692307695,0.4564102564102564
0.27499999999999997,2024,1284,535,501,34,0.9364485981308411,0.4166666666666667,0.3901869158878505
0.27499999999999997,2025,2309,920,854,66,0.9282608695652174,0.39844088349935036,0.36985708098744047
0.3,2023,190,91,87,4,0.9560439560439561,0.4789473684210526,0.45789473684210524
0.3,2024,1121,488,459,29,0.9405737704918032,0.43532560214094557,0.4094558429973238
0.3,2025,1936,844,787,57,0.9324644549763034,0.4359504132231405,0.4065082644628099
0.32499999999999996,2023,189,91,87,4,0.9560439560439561,0.48148148148148145,0.4603174603174603
0.32499999999999996,2024,1009,463,434,29,0.937365010799136,0.4588701684836472,0.4301288404360753
0.32499999999999996,2025,1845,810,756,54,0.9333333333333333,0.43902439024390244,0.4097560975609756
0.35,2023,178,88,84,4,0.9545454545454546,0.4943820224719101,0.47191011235955055
0.35,2024,958,439,414,25,0.9430523917995444,0.4582463465553236,0.4321503131524008
0.35,2025,1694,765,720,45,0.9411764705882353,0.45159386068476975,0.42502951593860683
0.37499999999999994,2023,164,82,80,2,0.975609756097561,0.5,0.4878048780487805
0.37499999999999994,2024,807,386,365,21,0.9455958549222798,0.47831474597273854,0.45229244114002476
0.37499999999999994,2025,1504,721,679,42,0.941747572815534,0.47938829787234044,0.45146276595744683
0.39999999999999997,2023,162,82,80,2,0.975609756097561,0.5061728395061729,0.49382716049382713
0.39999999999999997,2024,674,350,332,18,0.9485714285714286,0.5192878338278932,0.49258160237388726
0.39999999999999997,2025,1417,695,655,40,0.9424460431654677,0.49047282992237123,0.46224417784050814
0.42499999999999993,2023,156,80,78,2,0.975,0.5128205128205128,0.5
0.42499999999999993,2024,621,331,314,17,0.9486404833836858,0.533011272141707,0.5056360708534622
0.42499999999999993,2025,1232,615,585,30,0.9512195121951219,0.4991883116883117,0.47483766233766234
0.44999999999999996,2023,148,75,73,2,0.9733333333333334,0.5067567567567568,0.49324324324324326
0.44999999999999996,2024,584,313,298,15,0.952076677316294,0.535958904109589,0.5102739726027398
0.44999999999999996,2025,1132,577,548,29,0.949740034662045,0.5097173144876325,0.4840989399293286
0.475,2023,137,72,70,2,0.9722222222222222,0.5255474452554745,0.5109489051094891
0.475,2024,516,280,267,13,0.9535714285714286,0.5426356589147286,0.5174418604651163
0.475,2025,977,521,496,25,0.9520153550863724,0.5332650972364381,0.5076765609007164
0.49999999999999994,2023,135,71,69,2,0.971830985915493,0.5259259259259259,0.5111111111111111
0.49999999999999994,2024,498,273,261,12,0.9560439560439561,0.5481927710843374,0.5240963855421686
0.49999999999999994,2025,963,514,489,25,0.9513618677042801,0.5337487019730011,0.5077881619937694
0.525,2023,125,67,66,1,0.9850746268656716,0.536,0.528
0.525,2024,369,225,213,12,0.9466666666666667,0.6097560975609756,0.5772357723577236
0.525,2025,744,432,411,21,0.9513888888888888,0.5806451612903226,0.5524193548387096
0.5499999999999999,2023,89,52,51,1,0.9807692307692307,0.5842696629213483,0.5730337078651685
0.5499999999999999,2024,336,207,196,11,0.9468599033816425,0.6160714285714286,0.5833333333333334
0.5499999999999999,2025,650,385,370,15,0.961038961038961,0.5923076923076923,0.5692307692307692
0.575,2023,84,49,48,1,0.9795918367346939,0.5833333333333334,0.5714285714285714
0.575,2024,306,191,182,9,0.9528795811518325,0.6241830065359477,0.5947712418300654
0.575,2025,628,375,360,15,0.96,0.5971337579617835,0.5732484076433121
0.6,2023,83,48,47,1,0.9791666666666666,0.5783132530120482,0.5662650602409639
0.6,2024,302,189,180,9,0.9523809523809523,0.6258278145695364,0.5960264900662252
0.6,2025,566,338,325,13,0.9615384615384616,0.5971731448763251,0.5742049469964664
0.625,2023,83,48,47,1,0.9791666666666666,0.5783132530120482,0.5662650602409639
0.625,2024,288,179,171,8,0.9553072625698324,0.6215277777777778,0.59375
0.625,2025,533,324,311,13,0.9598765432098766,0.6078799249530957,0.5834896810506567
0.65,2023,76,43,42,1,0.9767441860465116,0.5657894736842105,0.5526315789473685
0.65,2024,275,172,164,8,0.9534883720930233,0.6254545454545455,0.5963636363636363
0.65,2025,357,244,236,8,0.9672131147540983,0.6834733893557423,0.6610644257703081
0.675,2023,75,42,41,1,0.9761904761904762,0.56,0.5466666666666666
0.675,2024,234,148,141,7,0.9527027027027027,0.6324786324786325,0.6025641025641025
0.675,2025,325,221,214,7,0.9683257918552036,0.68,0.6584615384615384
0.7,2023,75,42,41,1,0.9761904761904762,0.56,0.5466666666666666
0.7,2024,228,143,136,7,0.951048951048951,0.6271929824561403,0.5964912280701754
0.7,2025,290,194,190,4,0.979381443298969,0.6689655172413793,0.6551724137931034
0.725,2023,73,41,40,1,0.975609756097561,0.5616438356164384,0.547945205479452
0.725,2024,205,129,122,7,0.9457364341085271,0.6292682926829268,0.5951219512195122
0.725,2025,245,167,163,4,0.9760479041916168,0.6816326530612244,0.6653061224489796
0.75,2023,67,40,39,1,0.975,0.5970149253731343,0.582089552238806
0.75,2024,163,106,101,5,0.9528301886792453,0.6503067484662577,0.6196319018404908
0.75,2025,224,156,152,4,0.9743589743589743,0.6964285714285714,0.6785714285714286
0.775,2023,50,29,28,1,0.9655172413793104,0.58,0.56
0.775,2024,135,92,87,5,0.9456521739130435,0.6814814814814815,0.6444444444444445
0.775,2025,197,138,134,4,0.9710144927536232,0.700507614213198,0.6802030456852792
0.7999999999999999,2023,47,27,26,1,0.9629629629629629,0.574468085106383,0.5531914893617021
0.7999999999999999,2024,112,80,76,4,0.95,0.7142857142857143,0.6785714285714286
0.7999999999999999,2025,187,130,127,3,0.9769230769230769,0.6951871657754011,0.679144385026738
0.825,2023,43,26,25,1,0.9615384615384616,0.6046511627906976,0.5813953488372093
0.825,2024,105,78,74,4,0.9487179487179487,0.7428571428571429,0.7047619047619048
0.825,2025,131,94,92,2,0.9787234042553191,0.7175572519083969,0.7022900763358778
0.85,2023,38,24,24,0,1.0,0.631578947368421,0.631578947368421
0.85,2024,100,74,70,4,0.9459459459459459,0.74,0.7
0.85,2025,102,78,76,2,0.9743589743589743,0.7647058823529411,0.7450980392156863
0.875,2023,38,24,24,0,1.0,0.631578947368421,0.631578947368421
0.875,2024,59,45,44,1,0.9777777777777777,0.7627118644067796,0.7457627118644068
0.875,2025,101,77,75,2,0.974025974025974,0.7623762376237624,0.7425742574257426
0.9,2023,34,22,22,0,1.0,0.6470588235294118,0.6470588235294118
0.9,2024,53,40,39,1,0.975,0.7547169811320755,0.7358490566037735
0.9,2025,73,58,58,0,1.0,0.7945205479452054,0.7945205479452054
0.9249999999999999,2023,29,21,21,0,1.0,0.7241379310344828,0.7241379310344828
0.9249999999999999,2024,51,38,37,1,0.9736842105263158,0.7450980392156863,0.7254901960784313
0.9249999999999999,2025,72,57,57,0,1.0,0.7916666666666666,0.7916666666666666
0.95,2023,29,21,21,0,1.0,0.7241379310344828,0.7241379310344828
0.95,2024,49,36,35,1,0.9722222222222222,0.7346938775510204,0.7142857142857143
0.95,2025,68,53,53,0,1.0,0.7794117647058824,0.7794117647058824
