metric_group,protocol,score_type,ece,mce,rows,prevalence,n_points,best_net_benefit,best_threshold,mean_precision,std_precision,mean_coverage,std_coverage,n_races
batch_calibration,ml_pretrain,raw_proba,0.22633247368896584,0.5210493193958676,103015.0,,,,,,,,,
batch_calibration,ml_pretrain,calibrated_proba,0.01918330863192209,0.07304866382213365,103015.0,,,,,,,,,
batch_calibration,ml_racewise,raw_proba,0.19565279890015777,0.5013054697497896,123129.0,,,,,,,,,
batch_calibration,ml_racewise,calibrated_proba,0.014917709128872891,0.05809150979536537,123129.0,,,,,,,,,
moa_surrogate_calibration,moa_surrogate,y_score,0.26344098014292056,0.5087069849322283,24628.0,,,,,,,,,
batch_pr_gain,ml_pretrain,raw_proba,,,,0.07498907926030189,102829.0,,,,,,,
batch_pr_gain,ml_pretrain,calibrated_proba,,,,0.07498907926030189,1795.0,,,,,,,
batch_pr_gain,ml_racewise,raw_proba,,,,0.06701102096175555,122895.0,,,,,,,
batch_pr_gain,ml_racewise,calibrated_proba,,,,0.06701102096175555,4120.0,,,,,,,
batch_decision_curve,ml_pretrain,raw_proba,,,,,,0.06476403112815285,0.01,,,,,
batch_decision_curve,ml_pretrain,calibrated_proba,,,,,,0.0649977913386155,0.01,,,,,
batch_decision_curve,ml_racewise,raw_proba,,,,,,0.05631278881284972,0.01,,,,,
batch_decision_curve,ml_racewise,calibrated_proba,,,,,,0.05714143440430505,0.01,,,,,
moa_surrogate_decision_curve,moa_surrogate,y_score,,,,,,0.032519855038939005,0.01,,,,,
temporal_drift,Batch ML,comparator,,,,,,,,0.959228996091241,0.11032830483976863,0.6887244348762368,0.22069059593552307,50.0
temporal_drift,MOA,comparator,,,,,,,,0.8862749006374258,0.15147346721403745,0.30366162439233996,0.16963164547129855,95.0
temporal_drift,SDE,comparator,,,,,,,,0.7332782223813278,0.14226949618281481,0.16253218587301585,0.11059509133045584,96.0
