fold,rows,positive_rows,prevalence,mean_constrained_threshold,min_constrained_threshold,max_constrained_threshold,constrained_positive_rate,constrained_precision,constrained_recall,constrained_f1,fallback_rows,calibrated_score_q90
1,1214,129,0.10626029654036244,0.13,0.13,0.13,0.011532125205930808,0.9285714285714286,0.10077519379844961,0.18181818181818182,0,0.0726495726495726
2,957,60,0.06269592476489028,0.09000000000000001,0.09,0.09,0.027168234064785787,0.4230769230769231,0.18333333333333332,0.25581395348837205,957,0.0355731225296442
3,1206,27,0.022388059701492536,0.13,0.13,0.13,0.006633499170812604,1.0,0.2962962962962963,0.45714285714285713,0,0.0154761904761904
4,1110,57,0.051351351351351354,0.8600000000000001,0.86,0.86,0.0018018018018018018,1.0,0.03508771929824561,0.06779661016949151,0,0.0507497116493656
5,1316,61,0.04635258358662614,0.9900000000000001,0.99,0.99,0.0,,0.0,,0,0.0575396825396825
6,1717,56,0.032615026208503206,0.9900000000000001,0.99,0.99,0.0017472335468841002,1.0,0.05357142857142857,0.10169491525423728,0,0.0377358490566037
7,1554,105,0.06756756756756757,0.99,0.99,0.99,0.0,,0.0,,0,0.0343691148775894
8,1487,69,0.04640215198386012,0.9900000000000001,0.99,0.99,0.0006724949562878278,1.0,0.014492753623188406,0.02857142857142857,0,0.0785714285714285
9,1583,111,0.07012002526847758,0.8,0.8,0.8,0.006948831332912192,0.9090909090909091,0.09009009009009009,0.1639344262295082,0,0.05294825511432
10,1146,60,0.05235602094240838,0.99,0.99,0.99,0.0,,0.0,,0,0.0619469026548672
11,1553,101,0.06503541532517708,0.99,0.99,0.99,0.000643915003219575,1.0,0.009900990099009901,0.0196078431372549,0,0.0363416111447607
12,938,83,0.08848614072494669,0.99,0.99,0.99,0.0031982942430703624,0.6666666666666666,0.024096385542168676,0.046511627906976744,0,0.1022727272727272
13,1596,110,0.06892230576441102,0.7699999999999999,0.77,0.77,0.003132832080200501,1.0,0.045454545454545456,0.08695652173913045,0,0.0520530229550598
14,1168,72,0.06164383561643835,0.7800000000000001,0.78,0.78,0.0017123287671232876,1.0,0.027777777777777776,0.05405405405405406,0,0.0511756569847856
15,1231,44,0.03574329813160033,0.75,0.75,0.75,0.0016246953696181965,1.0,0.045454545454545456,0.08695652173913045,0,0.0370165745856353
16,934,38,0.04068522483940043,0.5199999999999998,0.52,0.52,0.007494646680942184,0.2857142857142857,0.05263157894736842,0.08888888888888889,0,0.0396039603960396
17,944,26,0.02754237288135593,0.5499999999999998,0.55,0.55,0.0,,0.0,,0,0.0417690417690417
18,1197,94,0.0785296574770259,0.9900000000000002,0.99,0.99,0.001670843776106934,1.0,0.02127659574468085,0.04166666666666667,0,0.0573580533024333
19,1579,66,0.04179860671310956,0.99,0.99,0.99,0.0,,0.0,,0,0.0340136054421768
20,1456,78,0.05357142857142857,0.99,0.99,0.99,0.0,,0.0,,0,0.0642458100558659
21,1297,95,0.07324595219737856,0.8300000000000002,0.8300000000000001,0.8300000000000001,0.0,,0.0,,0,0.152317880794702
22,877,18,0.020524515393386546,0.75,0.75,0.75,0.0,,0.0,,0,0.0529801324503311
23,1057,22,0.020813623462630087,0.7699999999999999,0.77,0.77,0.01229895931882687,1.0,0.5909090909090909,0.7428571428571429,0,0.0385208012326656
24,790,18,0.02278481012658228,0.99,0.99,0.99,0.0,,0.0,,0,0.032200365337303805
