scope,score_type,bin_index,bin_lower,bin_upper,count,weight,mean_pred,observed_rate,abs_gap
overall,raw,0,0.0,0.1,32254,0.31310003397563463,0.037402767552647875,0.026322316611893097,0.011080450940754778
overall,raw,1,0.1,0.2,14950,0.14512449643255837,0.14742041900554628,0.03498327759197324,0.11243714141357304
overall,raw,2,0.2,0.30000000000000004,12055,0.11702179294277533,0.24880691287009263,0.03782662795520531,0.21098028491488732
overall,raw,3,0.30000000000000004,0.4,10249,0.09949036548075522,0.34888567678439164,0.03941847985169285,0.3094671969326988
overall,raw,4,0.4,0.5,8983,0.0872008930738242,0.44848808333349033,0.046087053322943335,0.402401030010547
overall,raw,5,0.5,0.6000000000000001,7827,0.07597922632626317,0.5495582290333594,0.06413696179890124,0.4854212672344581
overall,raw,6,0.6000000000000001,0.7000000000000001,6553,0.0636120953259234,0.6491938805045308,0.11780863726537463,0.5313852432391561
overall,raw,7,0.7000000000000001,0.8,5154,0.050031548803572294,0.7475025334305481,0.23302289483896002,0.5144796385915881
overall,raw,8,0.8,0.9,3857,0.03744114934718245,0.8467521289484717,0.44568317345086855,0.4010689554976032
overall,raw,9,0.9,1.0,1133,0.010998398291510945,0.926150268721349,0.7811120917917035,0.1450381769296455
overall,calibrated,0,0.0,0.1,92523,0.8981507547444547,0.02968737436814477,0.042735319866411596,0.013047945498266825
overall,calibrated,1,0.1,0.2,4956,0.048109498616706305,0.1439612054082444,0.21448748991121871,0.07052628450297432
overall,calibrated,2,0.2,0.30000000000000004,2141,0.020783381061010534,0.2499126885980123,0.3288183092013078,0.07890562060329548
overall,calibrated,3,0.30000000000000004,0.4,1099,0.010668349269523855,0.34581426750404015,0.467697907188353,0.12188363968431287
overall,calibrated,4,0.4,0.5,799,0.007756152016696598,0.44648285844142943,0.5356695869837297,0.08918672854230025
overall,calibrated,5,0.5,0.6000000000000001,617,0.005989419016648061,0.5389156141614213,0.6207455429497569,0.08182992878833562
overall,calibrated,6,0.6000000000000001,0.7000000000000001,245,0.002378294423142261,0.6403891266961386,0.726530612244898,0.08614148554875944
overall,calibrated,7,0.7000000000000001,0.8,305,0.0029607338737077126,0.7405090487068048,0.7278688524590164,0.012640196247788338
overall,calibrated,8,0.8,0.9,158,0.001533757219822356,0.8473315164880048,0.7911392405063291,0.05619227598167564
overall,calibrated,9,0.9,1.0,172,0.001669659758287628,0.9744309825965732,0.8953488372093024,0.07908214538727087
