scope,score_type,bin_index,bin_lower,bin_upper,count,weight,mean_pred,observed_rate,abs_gap
overall,raw,0,0.0,0.1,49766,0.4041777322970218,0.027993258953370098,0.02423341236989109,0.003759846583479009
overall,raw,1,0.1,0.2,16014,0.1300587189045635,0.14720067924717414,0.03634319970026227,0.11085747954691187
overall,raw,2,0.2,0.30000000000000004,12668,0.10288396722136946,0.2486809061638444,0.03875907799179034,0.20992182817205404
overall,raw,3,0.30000000000000004,0.4,10618,0.08623476191636414,0.34879260820775726,0.04012055000941797,0.3086720581983393
overall,raw,4,0.4,0.5,9206,0.07476711416481902,0.4485135966608013,0.04714316749945688,0.40137042916134447
overall,raw,5,0.5,0.6000000000000001,7961,0.06465576752836456,0.5495538740822334,0.06456475317171209,0.4849891209105214
overall,raw,6,0.6000000000000001,0.7000000000000001,6669,0.0541627074044295,0.6490882063022814,0.11755885440095966,0.5315293519013217
overall,raw,7,0.7000000000000001,0.8,5207,0.042288981474713515,0.7474577150006932,0.2318033416554638,0.5156543733452295
overall,raw,8,0.8,0.9,3880,0.03151166662605885,0.8467453555501614,0.4438144329896907,0.4029309225604707
overall,raw,9,0.9,1.0,1140,0.00925858246229564,0.9261875084094834,0.7763157894736842,0.1498717189357992
overall,calibrated,0,0.0,0.1,111772,0.9077634026102706,0.029068732640846435,0.03931217120566868,0.010243438564822249
overall,calibrated,1,0.1,0.2,5725,0.04649595140056364,0.14218806521512165,0.19860262008733626,0.05641455487221461
overall,calibrated,2,0.2,0.30000000000000004,2170,0.017623792932615387,0.2498590435501491,0.3258064516129032,0.07594740806275413
overall,calibrated,3,0.30000000000000004,0.4,1110,0.009014935555393124,0.34577130653248683,0.4657657657657658,0.11999445923327895
overall,calibrated,4,0.4,0.5,800,0.006497250850733783,0.44642901335012936,0.535,0.08857098664987068
overall,calibrated,5,0.5,0.6000000000000001,621,0.005043490972882099,0.5388245063748558,0.6167471819645732,0.07792267558971744
overall,calibrated,6,0.6000000000000001,0.7000000000000001,247,0.0020060262001640556,0.6403207513391013,0.7206477732793523,0.08032702194025099
overall,calibrated,7,0.7000000000000001,0.8,306,0.002485198450405672,0.7404605927303416,0.7254901960784313,0.014970396651910245
overall,calibrated,8,0.8,0.9,163,0.0013238148608370084,0.847189581694009,0.7791411042944786,0.06804847739953046
overall,calibrated,9,0.9,1.0,215,0.0017461361661347042,0.979138427514475,0.7348837209302326,0.24425470658424242
