feature,class,n,mean,median,std,p10,p90
tire_life_ratio,TP,302,0.6648215599705666,0.6,0.4065307555102727,0.2677777777777778,1.0633333333333346
tire_life_ratio,FP,13,0.5215384615384615,0.43333333333333335,0.23954274994773675,0.3106666666666667,0.928888888888889
pace_drop_ratio,TP,302,1.011852327313139,1.00855674357393,0.011864254491980968,1.0,1.0288774813847363
pace_drop_ratio,FP,13,1.0163604007331872,1.0181125566017395,0.011827889607426511,1.0050680505969027,1.0269883933566926
lapTime,TP,302,91.08102317880795,92.0525,14.60995902837243,71.9635,112.9719
lapTime,FP,13,98.21807692307692,96.17,14.63785193605179,84.9644,115.2484
trackTemp,TP,302,30.87748344370861,30.65,7.510484258647692,23.5,41.6
trackTemp,FP,13,32.307692307692314,31.5,7.29999594714972,24.34,44.42000000000001
airTemp,TP,302,21.541059602649007,21.6,4.781584036395238,16.5,29.9
airTemp,FP,13,21.576923076923077,21.9,3.5730086107570993,17.3,26.1
humidity,TP,302,55.115894039735096,56.0,13.95794816281837,36.0,71.0
humidity,FP,13,50.84615384615385,56.0,15.44143354169182,25.6,65.0
speedTrap,TP,302,295.4933774834437,298.0,17.133241648541222,278.0,311.0
speedTrap,FP,13,301.2307692307692,301.0,12.071287269026486,287.0,317.6
gapAhead,TP,302,127.95806622516555,4.854,294.57588442974276,0.4504000000000001,261.99710000000016
gapAhead,FP,13,11.23146153846154,5.743,24.745583980908854,0.15520000000000003,10.462
gapBehind,TP,302,53.87382781456953,4.3975,156.8109083696414,0.3762,117.71210000000032
gapBehind,FP,13,13.95369230769231,4.443,25.64012657890457,1.0080000000000005,14.579
position,TP,302,7.645695364238411,7.0,5.228262916661719,2.0,16.0
position,FP,13,6.769230769230769,5.0,4.281513861561768,3.0,11.600000000000001
pitLoss,TP,302,22.251655629139073,22.0,0.9931456683159842,21.0,23.5
pitLoss,FP,13,22.807692307692307,23.5,0.9714869954088527,21.6,23.9
