model,subtype,count,rate_within_no_match
SDE,far_miss_6_plus,1718,0.35255489431561665
SDE,near_miss_3_5,1236,0.25364252000820847
SDE,no_future,1622,0.3328545044120665
SDE,unexpected_within_horizon,297,0.060948081264108354
Batch,far_miss_6_plus,5,0.029585798816568046
Batch,near_miss_3_5,34,0.20118343195266272
Batch,no_future,11,0.0650887573964497
Batch,unexpected_within_horizon,119,0.7041420118343196
MOA,far_miss_6_plus,1351,0.3706447187928669
MOA,near_miss_3_5,915,0.25102880658436216
MOA,no_future,973,0.26694101508916324
MOA,unexpected_within_horizon,406,0.11138545953360768
