model,case_origin,subtype_auto,race,driver,suggestion_lap,outcome_class,exclusion_reason,nearest_future_pit_distance,failure_type_manual,context_source,notes
MOA,excluded_no_match,no_future,2022 :: Singapore Grand Prix,SAI,52,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
MOA,excluded_no_match,far_miss_6_plus,2023 :: Bahrain Grand Prix,HAM,35,EXCLUDED,NO_MATCH_WITHIN_HORIZON,9.0,,,
MOA,excluded_no_match,near_miss_3_5,2024 :: Bahrain Grand Prix,ZHO,4,EXCLUDED,NO_MATCH_WITHIN_HORIZON,5.0,,,
MOA,excluded_no_match,far_miss_6_plus,2024 :: Canadian Grand Prix,PER,45,EXCLUDED,NO_MATCH_WITHIN_HORIZON,7.0,,,
MOA,excluded_no_match,no_future,2024 :: Emilia Romagna Grand Prix,LEC,52,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
MOA,excluded_no_match,near_miss_3_5,2024 :: Mexico City Grand Prix,LAW,34,EXCLUDED,NO_MATCH_WITHIN_HORIZON,5.0,,,
MOA,excluded_no_match,no_future,2024 :: Mexico City Grand Prix,SAI,34,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
MOA,excluded_no_match,unexpected_within_horizon,2025 :: Bahrain Grand Prix,TSU,15,EXCLUDED,NO_MATCH_WITHIN_HORIZON,0.0,,,
MOA,excluded_no_match,far_miss_6_plus,2025 :: Emilia Romagna Grand Prix,MAG,19,EXCLUDED,NO_MATCH_WITHIN_HORIZON,18.0,,,
MOA,excluded_no_match,unexpected_within_horizon,2025 :: Monaco Grand Prix,PIA,48,EXCLUDED,NO_MATCH_WITHIN_HORIZON,0.0,,,
MOA,excluded_no_match,no_future,2025 :: Qatar Grand Prix,BOT,54,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
SDE,excluded_no_match,far_miss_6_plus,2022 :: Emilia Romagna Grand Prix,VER,12,EXCLUDED,NO_MATCH_WITHIN_HORIZON,7.0,,,
SDE,excluded_no_match,no_future,2022 :: Hungarian Grand Prix,ALO,57,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
SDE,excluded_no_match,far_miss_6_plus,2022 :: Mexico City Grand Prix,RIC,31,EXCLUDED,NO_MATCH_WITHIN_HORIZON,13.0,,,
SDE,excluded_no_match,no_future,2022 :: Singapore Grand Prix,VET,49,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
SDE,excluded_no_match,near_miss_3_5,2022 :: São Paulo Grand Prix,STR,44,EXCLUDED,NO_MATCH_WITHIN_HORIZON,4.0,,,
SDE,excluded_no_match,no_future,2023 :: Emilia Romagna Grand Prix,OCO,41,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
SDE,excluded_no_match,far_miss_6_plus,2023 :: Hungarian Grand Prix,LAT,11,EXCLUDED,NO_MATCH_WITHIN_HORIZON,7.0,,,
SDE,excluded_no_match,far_miss_6_plus,2023 :: Italian Grand Prix,BOT,16,EXCLUDED,NO_MATCH_WITHIN_HORIZON,9.0,,,
SDE,excluded_no_match,far_miss_6_plus,2023 :: Spanish Grand Prix,STR,7,EXCLUDED,NO_MATCH_WITHIN_HORIZON,7.0,,,
SDE,excluded_no_match,far_miss_6_plus,2024 :: Emilia Romagna Grand Prix,VER,40,EXCLUDED,NO_MATCH_WITHIN_HORIZON,11.0,,,
SDE,excluded_no_match,far_miss_6_plus,2024 :: Hungarian Grand Prix,OCO,9,EXCLUDED,NO_MATCH_WITHIN_HORIZON,14.0,,,
SDE,excluded_no_match,no_future,2024 :: Las Vegas Grand Prix,RIC,41,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
SDE,excluded_no_match,far_miss_6_plus,2024 :: Monaco Grand Prix,ALB,42,EXCLUDED,NO_MATCH_WITHIN_HORIZON,7.0,,,
SDE,excluded_no_match,no_future,2024 :: São Paulo Grand Prix,LEC,51,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
SDE,excluded_no_match,far_miss_6_plus,2025 :: Emilia Romagna Grand Prix,PER,44,EXCLUDED,NO_MATCH_WITHIN_HORIZON,6.0,,,
SDE,excluded_no_match,near_miss_3_5,2025 :: Hungarian Grand Prix,NOR,38,EXCLUDED,NO_MATCH_WITHIN_HORIZON,4.0,,,
SDE,excluded_no_match,no_future,2025 :: Japanese Grand Prix,HAM,49,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
SDE,excluded_no_match,near_miss_3_5,2025 :: Las Vegas Grand Prix,HAM,10,EXCLUDED,NO_MATCH_WITHIN_HORIZON,3.0,,,
SDE,excluded_no_match,far_miss_6_plus,2025 :: Monaco Grand Prix,PER,57,EXCLUDED,NO_MATCH_WITHIN_HORIZON,13.0,,,
