race,driver,suggestion_lap,suggestion_label,totalScore,matched_pit_lap,match_distance,nearest_future_pit_lap,nearest_future_pit_distance,pit_in_window_before_consumption,outcome_class,exclusion_reason
2023 :: Abu Dhabi Grand Prix,ALB,4,PIT_NOW,0.0519693654266958,,,12.0,8.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Abu Dhabi Grand Prix,ALB,5,PIT_NOW,0.0519693654266958,,,12.0,7.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Abu Dhabi Grand Prix,ALB,6,PIT_NOW,0.0519693654266958,,,12.0,6.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Abu Dhabi Grand Prix,ALB,7,PIT_NOW,0.0519693654266958,,,12.0,5.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Abu Dhabi Grand Prix,ALB,8,PIT_NOW,0.0519693654266958,,,12.0,4.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Abu Dhabi Grand Prix,ALB,9,PIT_NOW,0.0780711825487944,,,12.0,3.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Abu Dhabi Grand Prix,ALB,10,PIT_NOW,0.152317880794702,12.0,2.0,12.0,2.0,True,1,
2023 :: Abu Dhabi Grand Prix,ALB,11,PIT_NOW,0.24,,,12.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Abu Dhabi Grand Prix,ALB,12,PIT_NOW,0.0519693654266958,,,12.0,0.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Abu Dhabi Grand Prix,ALB,26,PIT_NOW,0.0780711825487944,,,35.0,9.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Abu Dhabi Grand Prix,ALB,27,PIT_NOW,0.0519693654266958,,,35.0,8.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Abu Dhabi Grand Prix,ALB,28,PIT_NOW,0.0780711825487944,,,35.0,7.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Abu Dhabi Grand Prix,ALB,29,PIT_NOW,0.0519693654266958,,,35.0,6.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Abu Dhabi Grand Prix,ALB,30,PIT_NOW,0.0780711825487944,,,35.0,5.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Abu Dhabi Grand Prix,ALB,31,PIT_NOW,0.0519693654266958,,,35.0,4.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Abu Dhabi Grand Prix,ALB,32,PIT_NOW,0.0519693654266958,,,35.0,3.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Abu Dhabi Grand Prix,ALB,33,PIT_NOW,0.0780711825487944,35.0,2.0,35.0,2.0,True,0,
2023 :: Abu Dhabi Grand Prix,ALB,34,PIT_NOW,0.0780711825487944,,,35.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Abu Dhabi Grand Prix,ALB,40,PIT_NOW,0.0519693654266958,,,43.0,3.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Abu Dhabi Grand Prix,ALB,42,PIT_NOW,0.0519693654266958,43.0,1.0,43.0,1.0,True,1,
2023 :: Abu Dhabi Grand Prix,ALB,43,PIT_NOW,0.0780711825487944,,,43.0,0.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Abu Dhabi Grand Prix,ALB,44,PIT_NOW,0.0519693654266958,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Abu Dhabi Grand Prix,ALB,45,PIT_NOW,0.0519693654266958,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Abu Dhabi Grand Prix,ALB,46,PIT_NOW,0.0780711825487944,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Abu Dhabi Grand Prix,ALB,47,PIT_NOW,0.0780711825487944,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Abu Dhabi Grand Prix,ALB,48,PIT_NOW,0.152317880794702,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Abu Dhabi Grand Prix,ALB,49,PIT_NOW,0.1111111111111111,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Abu Dhabi Grand Prix,ALB,50,PIT_NOW,0.1111111111111111,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Abu Dhabi Grand Prix,ALB,51,PIT_NOW,0.0780711825487944,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Abu Dhabi Grand Prix,ALB,52,PIT_NOW,0.1111111111111111,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Abu Dhabi Grand Prix,ALB,53,PIT_NOW,0.0583657587548638,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Abu Dhabi Grand Prix,ALB,54,PIT_NOW,0.0780711825487944,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Abu Dhabi Grand Prix,ALB,55,PIT_NOW,0.152317880794702,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Abu Dhabi Grand Prix,ALB,56,PIT_NOW,0.0780711825487944,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Abu Dhabi Grand Prix,ALB,57,PIT_NOW,0.0787401574803149,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Abu Dhabi Grand Prix,ALO,9,PIT_NOW,0.0519693654266958,,,12.0,3.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Abu Dhabi Grand Prix,ALO,11,PIT_NOW,0.0780711825487944,12.0,1.0,12.0,1.0,True,1,
2023 :: Abu Dhabi Grand Prix,ALO,13,PIT_NOW,0.0780711825487944,,,19.0,6.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Abu Dhabi Grand Prix,ALO,14,PIT_NOW,0.0519693654266958,,,19.0,5.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Abu Dhabi Grand Prix,ALO,15,PIT_NOW,0.0519693654266958,,,19.0,4.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Abu Dhabi Grand Prix,ALO,16,PIT_NOW,0.3620689655172414,,,19.0,3.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Abu Dhabi Grand Prix,ALO,17,PIT_NOW,0.0519693654266958,19.0,2.0,19.0,2.0,True,EXCLUDED,UNRESOLVED_INCIDENT_FILTER
