learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.240184528,-6.213590916660097E-14,1000.0,82.39999999999999,18.85661595205165,-274.4680851063828,-291.11111111111086,1000.0,-1.0,42.0,20.0,2175.404761904762,3152.2084636054055,-5.42857142857143,5.292161055855631,1.4047619047619047,1.515119311240486,1.1904761904761907,0.7726449737860468,1.1904761904761907,0.7726449737860468,0.21428571428571427,0.7501451659744554,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.35826966,-9.268461726605893E-14,2000.0,89.2,19.330141396335492,-195.89041095890425,-204.22535211267623,2000.0,-1.0,42.0,49.0,6565.166666666666,11722.761490858058,-13.166666666666666,15.803544935245549,3.6190476190476195,4.515298552927299,2.309523809523809,2.25764927646365,2.309523809523809,2.25764927646365,0.9999999999999998,1.4979661007594232,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.450800723,-1.1662246943968867E-13,3000.0,90.26666666666667,16.8356535806238,-228.08988764045014,-235.63218390804585,3000.0,-1.0,42.0,73.0,12285.238095238092,21611.78993818355,-17.428571428571438,21.60639342726587,4.833333333333332,6.1759433629822285,2.904761904761904,3.098461646700558,2.904761904761904,3.098461646700558,1.4285714285714284,2.073560119201816,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.536598943,-1.3881853031408456E-13,4000.0,91.975,18.45832896729755,-169.74789915966352,-174.3589743589745,4000.0,-1.0,42.0,103.0,19255.666666666668,29502.16965949939,-25.928571428571427,29.006637471820184,7.261904761904763,8.290633927362718,4.119047619047619,4.156701207027802,4.119047619047619,4.156701207027802,2.214285714285715,2.311537491565493,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.638059602,-1.650664753591021E-13,5000.0,92.36,17.601309405788996,-163.4482758620688,-169.01408450704253,5000.0,-1.0,42.0,131.0,28883.119047619042,43451.97417570311,-32.92857142857143,34.30806835143839,9.261904761904761,9.805572143627275,5.119047619047619,4.914897120489319,5.119047619047619,4.914897120489319,2.595238095238095,2.460017091052307,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.706389132,-1.8274337363739808E-13,6000.0,92.58333333333333,15.59201924122599,-140.54054054054032,-144.50549450549474,6000.0,-1.0,42.0,157.0,39704.21428571428,88590.72985488524,-39.26190476190476,49.333143029422324,11.071428571428573,14.097903073866673,6.023809523809525,7.058943800073068,6.023809523809525,7.058943800073068,2.9523809523809526,3.1231033733458053,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.7599721,-1.9660532577998107E-13,7000.0,93.22857142857143,14.857582755966147,-143.07692307692358,-146.8749999999997,7000.0,-1.0,42.0,182.0,51571.45238095238,151012.1182273862,-43.42857142857143,59.564329994263396,12.261904761904765,17.020876025446967,6.6190476190476195,8.519568238666023,6.6190476190476195,8.519568238666023,3.1904761904761907,3.416160269545935,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.861580022,-2.2289136786841682E-13,8000.0,93.55,14.304042117238133,-127.31277533039618,-131.39013452914813,8000.0,-1.0,42.0,210.0,68786.30952380954,191898.14351807145,-56.00000000000001,86.05415198100978,15.857142857142858,24.586900566002797,8.428571428571429,12.293450283001398,8.428571428571429,12.293450283001398,3.3571428571428577,3.7011628269743824,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.968265751,-2.504910422592527E-13,9000.0,93.91111111111111,14.35867462234986,-114.90196078431379,-120.08032128514093,9000.0,-1.0,42.0,236.0,89900.07142857143,244855.9786746121,-69.09523809523812,101.91646735554863,19.59523809523809,29.121326963039806,10.285714285714285,14.569071340385918,10.285714285714285,14.569071340385918,3.833333333333333,3.7671019246323962,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.054079225,-2.726910493543578E-13,10000.0,94.07,13.847271406519413,-111.03202846975087,-115.63636363636395,10000.0,-1.0,42.0,263.0,110722.30952380953,334814.83159694716,-80.26190476190474,125.95799910187047,22.785714285714292,35.990199014274815,11.880952380952381,18.00298400869115,11.880952380952381,18.00298400869115,4.023809523809524,3.9291784981279467,0.0,0.0,0.0,0.0,1.0,0.0
