feature,importance_drop_f1,importance_std
tire_life_ratio,0.020752176867756468,0.0032476804672604592
gapBehind,0.014998059535702424,0.002718460820585753
gap_to_physical_car,0.013396283184584306,0.0012903277216452568
trackTemp,0.011925960174565537,0.0029532054716047574
position,0.010363867838372325,0.002296815026044331
lapTime,0.008896158699610513,0.002918336055487994
humidity,0.006891373639195742,0.003082966761063305
tyreLife,0.006291859661139371,0.002588006203081898
pace_drop_ratio,0.005711156731132866,0.001702667564341182
gapAhead,0.0039301856173030725,0.005000308576163306
gapAhead_trend,0.0018276169069975424,0.00433465687420742
positions_lost,0.00033406298549716883,0.002430109705461715
speedTrap,-5.2413105796123016e-05,0.0025216449317862237
airTemp,-0.0006859136675559596,0.0014805164570526291
