threshold,actionable,scored,excluded,tp,fp,precision,scored_rate,tp_per_actionable,meets_precision_floor,precision_delta_vs_floor,scored_vs_sde_ratio,no_match_count,no_match_rate,no_match_one_lap_beyond,no_match_two_to_three_laps_beyond,no_match_four_plus_laps_beyond,no_match_pit_in_window_but_consumed,excluded_incident,excluded_missing_post_gap,excluded_weather
0.05,24903,3507,21396,2990,517,0.8525805531793555,0.14082640645705335,0.12006585551941533,1,0.13766179394745004,5.180206794682422,20823,0.9732192933258553,2069,3014,6125,4122,158,320,91
0.075,14696,2882,11814,2516,366,0.8730048577376822,0.19610778443113772,0.17120304844855744,1,0.1580860985057767,4.257016248153619,11454,0.9695276790248857,1309,1761,3078,2926,112,189,58
0.1,10492,2516,7976,2232,284,0.8871224165341812,0.23980175371711782,0.21273351124666412,1,0.17220365730227571,3.7163958641063517,7722,0.9681544633901705,970,1208,1970,2341,80,127,46
0.125,9047,2362,6685,2111,251,0.8937341236240475,0.26108102133303857,0.23333701779595445,1,0.17881536439214196,3.488921713441654,6464,0.9669409124906507,865,1036,1574,2103,68,111,42
0.15,7749,2200,5549,1987,213,0.9031818181818182,0.2839076009807717,0.25642018324945154,1,0.1882630589499127,3.2496307237813884,5358,0.9655793836727338,742,861,1268,1851,62,96,33
0.175,6206,1976,4230,1796,180,0.9089068825910931,0.31840154689010636,0.2893973573960683,1,0.19398812335918758,2.918759231905465,4072,0.9626477541371158,605,656,902,1565,49,80,29
0.2,5536,1847,3689,1683,164,0.9112073632918246,0.33363439306358383,0.3040101156069364,1,0.1962886040599191,2.7282127031019203,3545,0.9609650311737599,536,568,751,1421,43,74,27
0.22499999999999998,5007,1746,3261,1598,148,0.9152348224513173,0.3487118034751348,0.31915318554024363,1,0.20031606321941176,2.5790251107828657,3132,0.9604415823367065,461,498,654,1295,36,66,27
0.25,4535,1641,2894,1512,129,0.9213893967093236,0.36185226019845645,0.33340683572216095,1,0.20647063747741812,2.4239290989660267,2778,0.9599170697995854,403,437,571,1179,31,59,26
0.27499999999999997,3918,1521,2397,1407,114,0.9250493096646942,0.388208269525268,0.35911179173047475,1,0.21013055043278872,2.2466765140324965,2299,0.9591155611180643,348,358,433,1046,28,47,23
0.3,3405,1394,2011,1290,104,0.9253945480631277,0.4093979441997063,0.3788546255506608,1,0.2104757888312222,2.0590841949778436,1925,0.9572352063649925,308,303,311,919,24,41,21
0.32499999999999996,3091,1291,1800,1198,93,0.9279628195197521,0.4176641863474604,0.3875768359754125,1,0.21304406028784661,1.9069423929098965,1727,0.9594444444444444,284,264,256,847,23,35,15
0.35,2753,1211,1542,1131,80,0.9339388934764657,0.4398837631674537,0.4108245550308754,1,0.21902013424456024,1.7887740029542099,1480,0.959792477302205,245,224,211,754,22,32,8
0.37499999999999994,2547,1137,1410,1064,73,0.9357959542656112,0.4464075382803298,0.4177463682764036,1,0.22087719503370573,1.6794682422451994,1356,0.9617021276595744,223,206,194,695,19,31,4
0.39999999999999997,2296,1055,1241,987,68,0.9355450236966825,0.4594947735191638,0.4298780487804878,1,0.22062626446477696,1.5583456425406204,1194,0.9621273166800967,193,180,171,617,16,28,3
0.42499999999999993,2040,966,1074,910,56,0.9420289855072463,0.47352941176470587,0.44607843137254904,1,0.22711022627534083,1.4268833087149189,1031,0.9599627560521415,171,159,139,542,13,27,3
0.44999999999999996,1870,921,949,868,53,0.9424538545059717,0.4925133689839572,0.4641711229946524,1,0.22753509527406623,1.3604135893648448,914,0.9631190727081138,157,136,110,494,12,20,3
0.475,1737,867,870,821,46,0.9469434832756632,0.4991364421416235,0.4726540011514105,1,0.23202472404375774,1.2806499261447564,837,0.9620689655172414,145,129,102,445,11,19,3
0.49999999999999994,1497,783,714,740,43,0.9450830140485313,0.5230460921843687,0.49432197728790916,1,0.23016425481662584,1.1565731166912852,686,0.9607843137254902,127,106,60,380,9,16,3
0.525,1214,664,550,635,29,0.9563253012048193,0.5469522240527183,0.5230642504118617,1,0.24140654197291378,0.9807976366322009,530,0.9636363636363636,91,79,41,308,3,14,3
0.5499999999999999,1076,612,464,584,28,0.954248366013072,0.5687732342007435,0.5427509293680297,1,0.23932960678116644,0.9039881831610044,444,0.9568965517241379,80,65,30,259,3,14,3
0.575,1002,583,419,556,27,0.9536878216123499,0.5818363273453094,0.5548902195608783,1,0.23876906238044437,0.8611521418020679,400,0.954653937947494,69,61,25,239,3,13,3
0.6,899,526,373,502,24,0.9543726235741445,0.5850945494994438,0.5583982202447163,1,0.23945386434223903,0.7769571639586411,356,0.9544235924932976,60,53,22,217,3,12,2
0.625,836,492,344,468,24,0.9512195121951219,0.5885167464114832,0.5598086124401914,1,0.2363007529632164,0.7267355982274741,327,0.9505813953488372,56,46,18,204,3,12,2
0.65,709,426,283,407,19,0.9553990610328639,0.6008462623413258,0.5740479548660085,1,0.24048030180095836,0.6292466765140325,269,0.950530035335689,47,35,11,175,3,9,2
0.675,669,409,260,391,18,0.9559902200488998,0.6113602391629297,0.5844544095665172,1,0.24107146081699427,0.604135893648449,246,0.9461538461538461,40,32,9,164,3,9,2
0.7,635,386,249,368,18,0.9533678756476683,0.6078740157480315,0.5795275590551181,1,0.23844911641576283,0.5701624815361891,235,0.9437751004016064,39,30,9,156,3,9,2
0.725,503,317,186,302,15,0.9526813880126183,0.6302186878727635,0.6003976143141153,1,0.23776262878071275,0.46824224519940916,174,0.9354838709677419,20,22,9,123,2,8,2
0.75,445,294,151,282,12,0.9591836734693877,0.6606741573033708,0.6337078651685393,1,0.2442649142374822,0.4342688330871492,140,0.9271523178807947,15,14,2,109,1,8,2
0.775,410,272,138,262,10,0.9632352941176471,0.6634146341463415,0.6390243902439025,1,0.24831653488574157,0.4017725258493353,127,0.9202898550724637,13,13,2,99,1,8,2
0.7999999999999999,330,220,110,212,8,0.9636363636363636,0.6666666666666666,0.6424242424242425,1,0.24871760440445811,0.3249630723781389,101,0.9181818181818182,11,12,2,76,1,6,2
