threshold,actionable,scored,excluded,tp,fp,precision,scored_rate,tp_per_actionable,meets_precision_floor,precision_delta_vs_floor,scored_vs_sde_ratio,no_match_count,no_match_rate,no_match_one_lap_beyond,no_match_two_to_three_laps_beyond,no_match_four_plus_laps_beyond,no_match_pit_in_window_but_consumed,excluded_incident,excluded_missing_post_gap,excluded_weather
0.05,28669,3718,24951,3124,594,0.8402366863905325,0.12968711849035544,0.10896787470787261,1,0.125317927158627,5.4918759231905465,24290,0.9735080758286241,2287,3390,7197,4368,198,363,96
0.075,16205,3010,13195,2596,414,0.8624584717607974,0.1857451403887689,0.16019746991669237,1,0.14753971252889186,4.4460856720827175,12779,0.9684729064039409,1414,1933,3600,3032,142,210,63
0.1,11357,2615,8742,2295,320,0.8776290630975143,0.23025446860966806,0.202078013559919,1,0.1627103038656088,3.862629246676514,8454,0.9670555936856554,1041,1313,2227,2410,95,141,51
0.125,9518,2429,7089,2152,277,0.8859613009468917,0.2552006724101702,0.22609791973103593,1,0.17104254171498623,3.587887740029542,6843,0.9652983495556496,909,1108,1709,2142,79,120,47
0.15,8021,2243,5778,2010,233,0.896121266161391,0.2796409425258696,0.250592195486847,1,0.18120250692948547,3.3131462333825703,5571,0.9641744548286605,769,904,1331,1873,68,103,36
0.175,6370,1999,4371,1810,189,0.9054527263631816,0.3138147566718995,0.28414442700156983,1,0.19053396713127613,2.952732644017725,4205,0.9620224204987418,625,679,946,1579,52,85,29
0.2,5632,1863,3769,1692,171,0.9082125603864735,0.3307883522727273,0.30042613636363635,1,0.19329380115456796,2.7518463810930576,3621,0.9607322897320244,550,582,773,1429,44,77,27
0.22499999999999998,5095,1762,3333,1607,155,0.9120317820658342,0.34582924435721296,0.3154072620215898,1,0.19711302283392873,2.602658788774003,3200,0.9600960096009601,472,511,673,1303,37,69,27
0.25,4623,1657,2966,1521,136,0.9179239589619795,0.3584252649794506,0.32900713822193384,1,0.20300519973007403,2.447562776957164,2846,0.959541469993257,414,450,590,1187,32,62,26
0.27499999999999997,3992,1531,2461,1413,118,0.9229261920313521,0.38351703406813625,0.3539579158316633,1,0.20800743279944656,2.261447562776957,2359,0.958553433563592,355,371,452,1052,29,50,23
0.3,3472,1404,2068,1296,108,0.9230769230769231,0.4043778801843318,0.37327188940092165,1,0.20815816384501762,2.073855243722304,1979,0.956963249516441,315,314,327,925,24,44,21
0.32499999999999996,3156,1301,1855,1204,97,0.9254419677171407,0.4122306717363752,0.38149556400506973,1,0.2105232084852352,1.9217134416543575,1779,0.9590296495956874,291,275,272,853,23,38,15
0.35,2813,1219,1594,1135,84,0.9310910582444627,0.4333451830785638,0.4034838250977604,1,0.2161722990125572,1.8005908419497785,1529,0.9592220828105396,251,234,227,759,22,35,8
0.37499999999999994,2604,1145,1459,1068,77,0.9327510917030568,0.4397081413210445,0.41013824884792627,1,0.2178323324711513,1.691285081240768,1402,0.9609321453050035,229,215,209,700,19,34,4
0.39999999999999997,2352,1063,1289,991,72,0.9322671683913453,0.45195578231292516,0.421343537414966,1,0.21734840915943976,1.570162481536189,1239,0.9612102404965089,199,189,186,622,16,31,3
0.42499999999999993,2095,974,1121,914,60,0.9383983572895277,0.4649164677804296,0.43627684964200475,1,0.2234795980576222,1.4387001477104875,1075,0.9589652096342551,177,168,154,547,13,30,3
0.44999999999999996,1925,929,996,872,57,0.9386437029063509,0.4825974025974026,0.452987012987013,1,0.2237249436744454,1.3722304283604136,958,0.9618473895582329,163,145,125,499,12,23,3
0.475,1792,875,917,825,50,0.9428571428571428,0.48828125,0.4603794642857143,1,0.22793838362523733,1.292466765140325,881,0.960741548527808,151,138,117,450,11,22,3
0.49999999999999994,1552,791,761,744,47,0.9405815423514539,0.5096649484536082,0.4793814432989691,1,0.22566278311954835,1.1683899556868538,730,0.9592641261498029,133,115,75,385,9,19,3
0.525,1266,672,594,639,33,0.9508928571428571,0.5308056872037915,0.504739336492891,1,0.23597409791095159,0.9926144756277696,571,0.9612794612794613,97,87,55,312,3,17,3
0.5499999999999999,1128,620,508,588,32,0.9483870967741935,0.549645390070922,0.5212765957446809,1,0.23346833754228802,0.9158050221565731,485,0.9547244094488189,86,73,44,263,3,17,3
0.575,1054,591,463,560,31,0.9475465313028765,0.5607210626185958,0.5313092979127134,1,0.23262777207097096,0.8729689807976366,441,0.9524838012958964,75,69,39,243,3,16,3
0.6,950,534,416,506,28,0.947565543071161,0.5621052631578948,0.5326315789473685,1,0.23264678383925552,0.7887740029542097,396,0.9519230769230769,66,61,36,221,3,15,2
0.625,887,500,387,472,28,0.944,0.5636978579481398,0.532130777903044,1,0.22908124076809444,0.7385524372230429,367,0.9483204134366925,62,54,32,208,3,15,2
0.65,758,434,324,411,23,0.9470046082949308,0.5725593667546174,0.5422163588390502,1,0.23208584906302532,0.6410635155096012,307,0.9475308641975309,52,43,25,179,3,12,2
0.675,718,417,301,395,22,0.947242206235012,0.5807799442896936,0.5501392757660167,1,0.23232344700310648,0.6159527326440177,284,0.9435215946843853,45,40,23,168,3,12,2
0.7,684,394,290,372,22,0.9441624365482234,0.5760233918128655,0.543859649122807,1,0.2292436773163179,0.5819793205317577,273,0.9413793103448276,44,38,23,160,3,12,2
0.725,552,325,227,306,19,0.9415384615384615,0.5887681159420289,0.5543478260869565,1,0.22661970230655604,0.48005908419497784,212,0.933920704845815,25,30,23,127,2,11,2
