threshold,year,actionable,scored,tp,fp,precision,scored_rate,tp_per_actionable
0.05,2022,3766,211,134,77,0.6350710900473934,0.05602761550716941,0.03558151885289432
0.05,2023,5387,547,449,98,0.8208409506398537,0.10154074624095044,0.08334880267310191
0.05,2024,8070,1159,991,168,0.8550474547023296,0.1436183395291202,0.12280049566294919
0.05,2025,11446,1801,1550,251,0.8606329816768462,0.15734754499388431,0.1354184868076184
0.075,2022,1509,128,80,48,0.625,0.08482438701126574,0.053015241882041084
0.075,2023,1555,270,231,39,0.8555555555555555,0.17363344051446947,0.14855305466237942
0.075,2024,5212,1004,880,124,0.8764940239043825,0.19263238679969302,0.1688411358403684
0.075,2025,7929,1608,1405,203,0.8737562189054726,0.20279984865682937,0.1771976289569933
0.1,2022,865,99,63,36,0.6363636363636364,0.11445086705202312,0.07283236994219654
0.1,2023,817,192,169,23,0.8802083333333334,0.2350061199510404,0.20685434516523868
0.1,2024,3518,855,764,91,0.8935672514619883,0.24303581580443434,0.21716884593519045
0.1,2025,6157,1469,1299,170,0.8842750170183798,0.23859022251096312,0.21097937307130096
0.125,2022,471,67,41,26,0.6119402985074627,0.14225053078556263,0.0870488322717622
0.125,2023,610,166,145,21,0.8734939759036144,0.2721311475409836,0.23770491803278687
0.125,2024,3094,821,737,84,0.8976857490864799,0.26535229476405947,0.23820297349709113
0.125,2025,5343,1375,1229,146,0.8938181818181818,0.2573460602657683,0.23002058768482125
0.15,2022,272,43,23,20,0.5348837209302325,0.15808823529411764,0.08455882352941177
0.15,2023,521,144,128,16,0.8888888888888888,0.2763915547024952,0.2456813819577735
0.15,2024,2584,772,701,71,0.9080310880829016,0.29876160990712075,0.27128482972136225
0.15,2025,4644,1284,1158,126,0.9018691588785047,0.27648578811369506,0.24935400516795866
0.175,2022,164,23,14,9,0.6086956521739131,0.1402439024390244,0.08536585365853659
0.175,2023,316,118,106,12,0.8983050847457628,0.37341772151898733,0.33544303797468356
0.175,2024,2069,689,634,55,0.9201741654571843,0.333011116481392,0.30642822619623006
0.175,2025,3821,1169,1056,113,0.9033361847733106,0.30594085317979586,0.27636744307772837
0.2,2022,96,16,9,7,0.5625,0.16666666666666666,0.09375
0.2,2023,302,114,103,11,0.9035087719298246,0.37748344370860926,0.34105960264900664
0.2,2024,1883,650,600,50,0.9230769230769231,0.34519383961763145,0.3186404673393521
0.2,2025,3351,1083,980,103,0.9048938134810711,0.3231871083258729,0.29245001492091915
0.22499999999999998,2022,88,16,9,7,0.5625,0.18181818181818182,0.10227272727272728
0.22499999999999998,2023,286,112,101,11,0.9017857142857143,0.3916083916083916,0.3531468531468531
0.22499999999999998,2024,1653,613,566,47,0.9233278955954323,0.37084089534180276,0.3424077434966727
0.22499999999999998,2025,3068,1021,931,90,0.9118511263467189,0.3327900912646675,0.30345501955671444
0.25,2022,88,16,9,7,0.5625,0.18181818181818182,0.10227272727272728
0.25,2023,254,102,95,7,0.9313725490196079,0.4015748031496063,0.37401574803149606
0.25,2024,1524,576,533,43,0.9253472222222222,0.3779527559055118,0.349737532808399
0.25,2025,2757,963,884,79,0.9179646936656283,0.34929270946681173,0.32063837504533915
0.27499999999999997,2022,74,10,6,4,0.6,0.13513513513513514,0.08108108108108109
0.27499999999999997,2023,246,99,93,6,0.9393939393939394,0.4024390243902439,0.3780487804878049
0.27499999999999997,2024,1356,540,500,40,0.9259259259259259,0.39823008849557523,0.3687315634218289
0.27499999999999997,2025,2316,882,814,68,0.9229024943310657,0.38082901554404147,0.35146804835924006
0.3,2022,67,10,6,4,0.6,0.14925373134328357,0.08955223880597014
0.3,2023,244,98,93,5,0.9489795918367347,0.4016393442622951,0.38114754098360654
0.3,2024,1179,504,468,36,0.9285714285714286,0.42748091603053434,0.3969465648854962
0.3,2025,1982,792,729,63,0.9204545454545454,0.39959636730575177,0.36781029263370335
0.32499999999999996,2022,65,10,6,4,0.6,0.15384615384615385,0.09230769230769231
0.32499999999999996,2023,217,92,88,4,0.9565217391304348,0.423963133640553,0.4055299539170507
0.32499999999999996,2024,1038,454,423,31,0.9317180616740088,0.4373795761078998,0.407514450867052
