bin_index,count,mean_pred,observed_rate,bin_lower,bin_upper
0,2457,0.03109594833147417,0.001221001221001221,0.0,0.056000445056185295
1,2457,0.08202058132714224,0.005698005698005698,0.056000445056185295,0.1094005529390408
2,2456,0.13916271950173914,0.015472312703583062,0.1094005529390408,0.17042426369452124
3,2457,0.2046652320372515,0.015059015059015059,0.17042426369452124,0.24153504642478207
4,2456,0.28376278769396596,0.025244299674267102,0.24153504642478207,0.3243327915930016
5,2457,0.36768116254229066,0.04721204721204721,0.3243327915930016,0.41094877527358525
6,2457,0.45132793512711494,0.05698005698005698,0.41094877527358525,0.4910720499100147
7,2456,0.527622098144256,0.08754071661237785,0.4910720499100147,0.5614181940663575
8,2457,0.5960820676294568,0.12047212047212047,0.5614181940663575,0.6313645898082749
9,2457,0.6743199596042128,0.2153032153032153,0.6313645898082749,1.0
