section,name,value,note
heuristic,rows_total,6323.0,all comparator rows
heuristic,rows_scored,1020.0,"outcome_class in {0,1}"
heuristic,rows_excluded,5303.0,outcome_class == EXCLUDED
heuristic,rows_matched,1450.0,matched_pit_lap not null
heuristic,max_match_distance,2.0,expected <= horizon
heuristic,min_match_distance,0.0,expected >= 0
ml,rows_total,313.0,all comparator rows
ml,rows_scored,193.0,"outcome_class in {0,1}"
ml,rows_excluded,120.0,outcome_class == EXCLUDED
ml,rows_matched,205.0,matched_pit_lap not null
ml,max_match_distance,2.0,expected <= horizon
ml,min_match_distance,0.0,expected >= 0
