feature,tp_mean,fp_mean,delta_fp_minus_tp,cohens_d_fp_vs_tp,n_tp,n_fp
gapAhead,154.9596559139785,4.672714285714285,-150.28694162826423,-0.6305044627135986,186,7
airTemp,23.29731182795699,20.37142857142857,-2.9258832565284187,-0.5472036546143474,186,7
pitLoss,22.661290322580644,23.071428571428573,0.4101382488479288,0.5123767993838397,186,7
pace_drop_ratio,1.0127499324431328,1.017848804741577,0.00509887229844419,0.419145961691342,186,7
lapTime,95.1798440860215,100.07042857142858,4.890584485407075,0.3876489698035909,186,7
gapBehind,35.786134408602145,8.904571428571428,-26.881562980030715,-0.32832273901181097,186,7
position,5.736559139784946,4.571428571428571,-1.1651305683563749,-0.3226657224262626,186,7
trackTemp,33.792473118279574,31.02857142857143,-2.7639016897081454,-0.26979036828521535,186,7
speedTrap,297.1290322580645,291.85714285714283,-5.27188940092168,-0.21959737394728016,186,7
tire_life_ratio,0.6834318996415771,0.62,-0.06343189964157714,-0.2128303649016648,186,7
humidity,55.94086021505376,53.57142857142857,-2.369431643625191,-0.13682536023688796,186,7
