feature,class,n,mean,median,std,p10,p90
tire_life_ratio,TP,186,0.6834318996415771,0.6,0.3526112579484402,0.4,1.0333333333333334
tire_life_ratio,FP,7,0.62,0.5,0.2309126131692137,0.42000000000000004,0.9666666666666667
pace_drop_ratio,TP,186,1.0127499324431328,1.0102242675949213,0.010462988257020444,1.00332972972973,1.0256344001710742
pace_drop_ratio,FP,7,1.017848804741577,1.0181125566017395,0.013656349344399136,1.0020275853301976,1.0301594094044677
lapTime,TP,186,95.1798440860215,97.136,13.077774371761489,74.5745,112.84100000000001
lapTime,FP,7,100.07042857142858,95.859,12.136696053788315,84.99,114.11
trackTemp,TP,186,33.792473118279574,31.65,9.743122598515708,23.5,47.3
trackTemp,FP,7,31.02857142857143,25.3,10.722701456751103,21.68,46.8
airTemp,TP,186,23.29731182795699,22.5,5.708232432628673,16.9,30.4
airTemp,FP,7,20.37142857142857,17.3,4.959468371772547,15.520000000000001,25.94
humidity,TP,186,55.94086021505376,59.0,12.987245493043904,39.0,72.0
humidity,FP,7,53.57142857142857,65.0,20.76299691317047,22.0,71.60000000000001
speedTrap,TP,186,297.1290322580645,299.0,15.34318931002484,283.5,313.5
speedTrap,FP,7,291.85714285714283,300.0,30.286388132665294,261.8,319.0
gapAhead,TP,186,154.9596559139785,4.854,337.0646199638683,0.8734999999999999,999.0
gapAhead,FP,7,4.672714285714285,5.091,4.27396399190279,0.12,10.462
gapBehind,TP,186,35.786134408602145,3.685,115.6557949814146,0.5975,100.297
gapBehind,FP,7,8.904571428571428,12.42,5.559380665843553,1.5030000000000001,14.579
position,TP,186,5.736559139784946,5.0,4.256614964520506,1.0,11.0
position,FP,7,4.571428571428571,3.0,2.821202522590214,2.6,7.400000000000002
pitLoss,TP,186,22.661290322580644,23.0,0.8665259097522352,21.25,23.5
pitLoss,FP,7,23.071428571428573,23.5,0.7284313590846835,22.0,23.7
