model,subtype,count,rate_within_no_match
SDE,far_miss_6_plus,1718,0.35255489431561665
SDE,near_miss_3_5,1236,0.25364252000820847
SDE,no_future,1622,0.3328545044120665
SDE,unexpected_within_horizon,297,0.060948081264108354
Batch,far_miss_6_plus,2,0.018518518518518517
Batch,near_miss_3_5,33,0.3055555555555556
Batch,no_future,4,0.037037037037037035
Batch,unexpected_within_horizon,69,0.6388888888888888
MOA,far_miss_6_plus,2170,0.393187171589056
MOA,near_miss_3_5,1321,0.2393549556079
MOA,no_future,1473,0.2668961768436311
MOA,unexpected_within_horizon,555,0.10056169595941293
