race,driver,suggestion_lap,suggestion_label,totalScore,matched_pit_lap,match_distance,nearest_future_pit_lap,nearest_future_pit_distance,pit_in_window_before_consumption,outcome_class,exclusion_reason
2023 :: Abu Dhabi Grand Prix,LAT,13,PIT_NOW,1.0,15.0,2.0,15.0,2.0,True,EXCLUDED,UNRESOLVED_INCIDENT_FILTER
2023 :: Abu Dhabi Grand Prix,LEC,17,PIT_NOW,1.0,17.0,0.0,17.0,0.0,True,1,
2023 :: Abu Dhabi Grand Prix,MSC,13,PIT_NOW,1.0,14.0,1.0,14.0,1.0,True,1,
2023 :: Abu Dhabi Grand Prix,NOR,13,PIT_NOW,1.0,14.0,1.0,14.0,1.0,True,1,
2023 :: Abu Dhabi Grand Prix,PER,13,PIT_NOW,1.0,15.0,2.0,15.0,2.0,True,1,
2023 :: Abu Dhabi Grand Prix,PER,14,PIT_NOW,1.0,,,15.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Abu Dhabi Grand Prix,RIC,13,PIT_NOW,1.0,,,19.0,6.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Abu Dhabi Grand Prix,RIC,16,PIT_NOW,1.0,,,19.0,3.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Abu Dhabi Grand Prix,VER,15,PIT_NOW,1.0,16.0,1.0,16.0,1.0,True,1,
2023 :: Abu Dhabi Grand Prix,VER,17,PIT_NOW,1.0,,,20.0,3.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,ALB,50,PIT_NOW,0.13,,,57.0,7.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,ALB,54,PIT_NOW,0.13,,,57.0,3.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,ALB,55,PIT_NOW,0.13,57.0,2.0,57.0,2.0,True,1,
2023 :: Australian Grand Prix,ALB,56,PIT_NOW,0.13,,,57.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,LEC,19,PIT_NOW,0.13,,,22.0,3.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,LEC,20,PIT_NOW,0.13,22.0,2.0,22.0,2.0,True,1,
2023 :: Australian Grand Prix,LEC,21,PIT_NOW,0.13,,,22.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,NOR,18,PIT_NOW,0.13,20.0,2.0,20.0,2.0,True,1,
2023 :: Australian Grand Prix,NOR,19,PIT_NOW,0.13,,,20.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,RIC,18,PIT_NOW,0.13,,,21.0,3.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,RIC,19,PIT_NOW,0.13,21.0,2.0,21.0,2.0,True,1,
2023 :: Australian Grand Prix,RIC,20,PIT_NOW,0.13,,,21.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,RIC,51,PIT_NOW,0.13,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,RUS,22,PIT_NOW,0.13,23.0,1.0,23.0,1.0,True,EXCLUDED,UNRESOLVED_MISSING_POST_GAP
2023 :: Australian Grand Prix,TSU,18,PIT_NOW,0.13,18.0,0.0,18.0,0.0,True,EXCLUDED,UNRESOLVED_INCIDENT_FILTER
2023 :: Australian Grand Prix,VER,18,PIT_NOW,0.13,18.0,0.0,18.0,0.0,True,1,
2023 :: British Grand Prix,NOR,28,PIT_NOW,0.4,,,33.0,5.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: British Grand Prix,NOR,29,PIT_NOW,0.4,,,33.0,4.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: British Grand Prix,NOR,31,PIT_NOW,0.4,33.0,2.0,33.0,2.0,True,1,
2023 :: British Grand Prix,NOR,32,PIT_NOW,0.4,34.0,2.0,33.0,1.0,True,EXCLUDED,UNRESOLVED_INCIDENT_FILTER
2023 :: British Grand Prix,PER,28,PIT_NOW,0.4,28.0,0.0,28.0,0.0,True,1,
2023 :: British Grand Prix,RUS,25,PIT_NOW,0.4,,,28.0,3.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: British Grand Prix,RUS,26,PIT_NOW,0.4,28.0,2.0,28.0,2.0,True,1,
2023 :: Emilia Romagna Grand Prix,ALB,16,PIT_NOW,1.0,17.0,1.0,17.0,1.0,True,EXCLUDED,UNRESOLVED_MISSING_POST_GAP
2023 :: Emilia Romagna Grand Prix,GAS,16,PIT_NOW,1.0,17.0,1.0,17.0,1.0,True,1,
2023 :: Emilia Romagna Grand Prix,HAM,16,PIT_NOW,1.0,18.0,2.0,18.0,2.0,True,0,
2023 :: Emilia Romagna Grand Prix,MAG,16,PIT_NOW,1.0,18.0,2.0,18.0,2.0,True,1,
2023 :: Emilia Romagna Grand Prix,MAG,17,PIT_NOW,1.0,,,18.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Emilia Romagna Grand Prix,NOR,16,PIT_NOW,1.0,,,19.0,3.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Emilia Romagna Grand Prix,NOR,17,PIT_NOW,1.0,19.0,2.0,19.0,2.0,True,1,
2023 :: Emilia Romagna Grand Prix,NOR,18,PIT_NOW,1.0,,,19.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Emilia Romagna Grand Prix,OCO,16,PIT_NOW,1.0,18.0,2.0,18.0,2.0,True,1,
2023 :: Emilia Romagna Grand Prix,OCO,17,PIT_NOW,1.0,,,18.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Emilia Romagna Grand Prix,PER,16,PIT_NOW,1.0,18.0,2.0,18.0,2.0,True,1,
2023 :: Emilia Romagna Grand Prix,PER,17,PIT_NOW,1.0,,,18.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Emilia Romagna Grand Prix,PER,49,PIT_NOW,1.0,50.0,1.0,50.0,1.0,True,1,
2023 :: Emilia Romagna Grand Prix,RUS,16,PIT_NOW,1.0,18.0,2.0,18.0,2.0,True,1,
2023 :: Emilia Romagna Grand Prix,RUS,17,PIT_NOW,1.0,,,18.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Emilia Romagna Grand Prix,STR,16,PIT_NOW,1.0,18.0,2.0,18.0,2.0,True,1,
2023 :: Emilia Romagna Grand Prix,STR,17,PIT_NOW,1.0,,,18.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Emilia Romagna Grand Prix,TSU,16,PIT_NOW,1.0,18.0,2.0,18.0,2.0,True,1,
2023 :: Emilia Romagna Grand Prix,TSU,17,PIT_NOW,1.0,,,18.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Emilia Romagna Grand Prix,VER,17,PIT_NOW,1.0,19.0,2.0,19.0,2.0,True,1,
2023 :: Emilia Romagna Grand Prix,VER,18,PIT_NOW,1.0,,,19.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Emilia Romagna Grand Prix,VET,16,PIT_NOW,1.0,17.0,1.0,17.0,1.0,True,1,
