learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.215967908,-5.587105225357744E-14,1000.0,86.2,19.32655208698701,-193.6170212765955,-206.66666666666643,1000.0,-1.0,42.0,20.0,1955.047619047619,3724.0493627520173,-4.833333333333334,3.1693399071659183,1.2380952380952388,0.905525687761691,1.1190476190476188,0.4527628438808455,1.1190476190476188,0.4527628438808455,0.11904761904761905,0.4527628438808455,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.333807292,-8.635618516968355E-14,2000.0,90.14999999999999,18.499564572546774,-169.8630136986304,-177.46478873239465,2000.0,-1.0,42.0,47.0,6169.047619047617,10899.287515206694,-8.595238095238097,12.372391617313601,2.3095238095238098,3.537176049033792,1.6428571428571428,1.7782072168122995,1.6428571428571428,1.7782072168122995,0.5238095238095238,1.21450773402422,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.414839003,-1.073191467569106E-13,3000.0,92.83333333333333,19.9484691540974,-141.5730337078655,-147.12643678160896,3000.0,-1.0,42.0,72.0,10888.738095238095,23366.003157662184,-11.928571428571427,17.433347434943652,3.2619047619047628,4.983188928100911,2.1190476190476186,2.500754822169488,2.1190476190476186,2.500754822169488,0.7857142857142857,1.4234227777372344,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.534239934,-1.382082529986898E-13,4000.0,93.8,21.76026778179314,-108.40336134453763,-111.96581196581216,4000.0,-1.0,42.0,98.0,19767.14285714286,33495.87119993312,-20.499999999999993,25.01633612603436,5.714285714285715,7.147524607438388,3.3571428571428577,3.573762303719194,3.3571428571428577,3.573762303719194,1.547619047619047,1.8767171772887836,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.645501856,-1.6699179179138606E-13,5000.0,94.19999999999999,19.58071046282683,-100.0,-104.22535211267639,5000.0,-1.0,42.0,126.0,30179.047619047622,61463.44832379108,-28.261904761904766,36.18587483738379,7.928571428571432,10.341469577935182,4.452380952380954,5.1806505898644115,4.452380952380954,5.1806505898644115,2.1190476190476186,2.401243386780101,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.741645176,-1.9186413743429712E-13,6000.0,93.5,20.6225902680583,-110.81081081081032,-114.28571428571419,6000.0,-1.0,42.0,150.0,40094.50000000001,93444.82990729042,-35.261904761904766,54.578678729822215,9.928571428571429,15.596110924143495,5.452380952380953,7.80619635353046,5.452380952380953,7.80619635353046,2.4047619047619047,2.88866180351711,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.822934066,-2.1289363141275113E-13,7000.0,94.15714285714286,20.566130707696757,-109.74358974359,-113.02083333333286,7000.0,-1.0,42.0,173.0,52001.30952380953,110035.44741725955,-39.76190476190475,61.15147507297321,11.214285714285715,17.474072380956677,6.095238095238097,8.745199446356963,6.095238095238097,8.745199446356963,2.595238095238096,3.0368430640364887,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.939285196,-2.429937519547012E-13,8000.0,94.2625,18.92752955711957,-102.20264317180572,-105.829596412556,8000.0,-1.0,42.0,203.0,68594.66666666667,146373.5837049086,-49.0952380952381,70.1885299238327,13.880952380952383,20.05626522263315,7.428571428571426,10.036865843388968,7.428571428571426,10.036865843388968,3.0714285714285725,3.4879084314931257,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.047304571,-2.70938441519522E-13,9000.0,94.28888888888889,17.41326786379929,-101.56862745098047,-106.42570281124534,9000.0,-1.0,42.0,230.0,85993.66666666666,210758.64167737236,-57.26190476190476,83.24693198003317,16.21428571428571,23.787202661367346,8.595238095238095,11.902161156102299,8.595238095238095,11.902161156102299,3.428571428571429,3.6900846519661252,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.13360055,-2.9326327300320067E-13,10000.0,94.43,17.444484380037014,-98.22064056939482,-102.54545454545467,10000.0,-1.0,42.0,250.0,99152.30952380953,224956.64808498896,-63.59523809523807,91.66057735027546,18.02380952380952,26.19112500516167,9.499999999999998,13.104179188149176,9.499999999999998,13.104179188149176,3.595238095238095,3.7744941435229395,0.0,0.0,0.0,0.0,1.0,0.0
