rank,feature,mean_abs_shap,mean_signed_shap
1,humidity_expanding_z,0.05068646006437055,-0.016323592094964336
2,airTemp_expanding_z,0.04434824571284675,-0.016730646212799946
3,lapTime_expanding_z,0.030787898621650565,-0.014646869433816831
4,tyreLife,0.02511620363955085,-0.007829074548082812
5,tire_life_ratio,0.02326532871896168,-0.00845429740734438
6,trackTemp_expanding_z,0.02325165675748664,-0.010206102960453668
7,gapBehind,0.01937975217230372,-0.008342528926315257
8,gap_to_physical_car,0.017344948414333684,-0.0063414540300633995
9,pace_drop_ratio,0.016095590146580425,-0.0065043218964751705
10,humidity,0.01484174097873599,-0.006947314194265304
11,gapAhead,0.014308152558558166,-0.006261019087570038
12,position,0.012243052800741238,-0.004596487354993649
13,trackTemp,0.01170457028393406,-0.008405032538408047
14,speedTrap,0.011657825745494227,-0.006589086554299182
15,lapTime,0.010261455483752402,-0.007132602889805772
16,speedTrap_expanding_z,0.007980453426600267,-0.005990756246618809
17,pace_trend,0.007719145245146767,-0.005246927871012155
18,airTemp,0.0076699778860809375,-0.006577705256508444
19,positions_lost,0.006844186753434309,-0.0022428151245221847
20,gapAhead_trend,0.004509547824102628,-0.004412534330826987
21,pitLoss,0.0044886428109193206,-0.002837444385969139
22,has_drop_zone_data,0.0017606979378596236,-0.00014066375193877903
