feature,importance_drop_f1,importance_std
humidity_expanding_z,0.02498449717827906,0.003340461327871996
lapTime_expanding_z,0.015396509762626487,0.0026804047731328047
airTemp_expanding_z,0.015065242827605518,0.0027027491392702073
gapBehind,0.013037679293455857,0.0022735557496544505
tyreLife,0.009618602557136374,0.001984135227867636
gap_to_physical_car,0.009040049807391315,0.0010296462305059634
trackTemp,0.008231032062869847,0.0011079810519057443
trackTemp_expanding_z,0.007590866363573523,0.0024031330340590308
tire_life_ratio,0.006716929348800948,0.0018505198024712328
gapAhead,0.00653510277475205,0.0008833242660266831
lapTime,0.005810186652240734,0.0009721086014398249
humidity,0.0056538313167107,0.0016175541417775697
position,0.005072762448328233,0.0010068649375137857
speedTrap,0.004506923730185147,0.0005911752497957455
pace_drop_ratio,0.004301262559414515,0.0008891763289095673
positions_lost,0.003988130068090151,0.0016158387513462292
speedTrap_expanding_z,0.003826520872756323,0.00124541048532222
pitLoss,0.0033670778458661176,0.00044149803029910764
airTemp,0.0033234053899138917,0.0008879600693089158
pace_trend,0.0013401295195637707,0.0015318848661886348
gapAhead_trend,0.0012250727477470969,0.0006996746386421631
has_drop_zone_data,0.0010393282306279616,0.0005424708266827653
