protocol,year,score_type,point_label,requested_threshold,effective_threshold,precision,recall
ml_pretrain,overall,raw_proba,threshold_0.50,0.5,0.5000160932540894,0.19739047163035672,0.6403883495145631
ml_pretrain,overall,raw_proba,threshold_0.10,0.1,0.1000032648444175,0.0975864502470007,0.8950161812297734
ml_pretrain,overall,raw_proba,threshold_0.05,0.05,0.0499995835125446,0.08926966776222657,0.9387702265372169
ml_pretrain,overall,raw_proba,constrained_median,0.81,0.8099963665008545,0.4980285855101035,0.26161812297734627
ml_pretrain,overall,calibrated_proba,threshold_0.50,0.5,0.5,0.6852425180598555,0.08595469255663431
ml_pretrain,overall,calibrated_proba,threshold_0.10,0.1,0.1,0.2822353811991118,0.4935922330097087
ml_pretrain,overall,calibrated_proba,threshold_0.05,0.05,0.05,0.17640275443972192,0.693074433656958
ml_pretrain,overall,calibrated_proba,constrained_median,0.81,0.8076923076923077,0.8191489361702128,0.01993527508090615
ml_racewise,overall,raw_proba,threshold_0.50,0.5,0.5000151991844177,0.19682238558216741,0.6035632044600654
ml_racewise,overall,raw_proba,threshold_0.10,0.1,0.1000032648444175,0.09685667017596632,0.8585625984729124
ml_racewise,overall,raw_proba,threshold_0.05,0.05,0.0499995835125446,0.08818564902796303,0.9054660041207127
ml_racewise,overall,raw_proba,constrained_median,0.79,0.7900020480155945,0.454170755642787,0.28045085444188583
ml_racewise,overall,calibrated_proba,threshold_0.50,0.5,0.5,0.6782077393075356,0.08071748878923767
ml_racewise,overall,calibrated_proba,threshold_0.10,0.1,0.1,0.2688386830141893,0.4730335716882802
ml_racewise,overall,calibrated_proba,threshold_0.05,0.05,0.05,0.1620683671698768,0.6791904011634954
ml_racewise,overall,calibrated_proba,constrained_median,0.79,0.7916666666666666,0.8064516129032258,0.02120955035753242
