threshold,actionable,scored,excluded,tp,fp,precision,scored_rate,tp_per_actionable,meets_precision_floor,precision_delta_vs_floor,scored_vs_sde_ratio,no_match_count,no_match_rate,no_match_one_lap_beyond,no_match_two_to_three_laps_beyond,no_match_four_plus_laps_beyond,no_match_pit_in_window_but_consumed,excluded_incident,excluded_missing_post_gap,excluded_weather
0.05,30351,3675,26676,3081,594,0.8383673469387755,0.12108332509637244,0.10151230601957102,1,0.12344858770686995,5.428360413589365,25983,0.9740215924426451,2495,3787,7953,4665,178,388,122
0.075,18873,3075,15798,2632,443,0.8559349593495935,0.1629311715148625,0.13945848566735547,1,0.141016200117688,4.542097488921714,15327,0.9701860995062667,1696,2382,4321,3337,125,267,78
0.1,13510,2624,10886,2278,346,0.868140243902439,0.19422649888971133,0.16861584011843078,1,0.15322148467053354,3.875923190546529,10531,0.9673893073672607,1245,1709,2875,2622,103,199,53
0.125,10889,2373,8516,2078,295,0.8756847871892119,0.2179263476903297,0.19083478740012857,1,0.16076602795730643,3.505169867060561,8232,0.9666510098637858,1042,1380,2094,2252,83,155,46
0.15,8696,2148,6548,1892,256,0.8808193668528864,0.24701011959521618,0.21757129714811407,1,0.1659006076209809,3.172821270310192,6315,0.9644166157605376,855,1117,1520,1879,71,123,39
0.175,6794,1894,4900,1683,211,0.8885955649419218,0.27877539005004415,0.2477185752134236,1,0.1736768057100163,2.797636632200886,4711,0.9614285714285714,683,838,1079,1528,62,95,32
0.2,5555,1711,3844,1522,189,0.8895382817066043,0.30801080108010803,0.273987398739874,1,0.1746195224746988,2.5273264401772524,3678,0.9568158168574402,571,650,767,1293,55,79,32
0.22499999999999998,4474,1514,2960,1353,161,0.8936591809775429,0.3383996423781851,0.3024139472507823,1,0.17874042174563742,2.236336779911374,2823,0.9537162162162162,460,496,555,1078,45,65,27
0.25,3873,1407,2466,1264,143,0.898365316275764,0.3632842757552285,0.3263619932868577,1,0.18344655704385848,2.0782865583456425,2341,0.9493106244931062,405,405,433,940,42,57,26
0.27499999999999997,3378,1282,2096,1158,124,0.9032761310452418,0.37951450562462996,0.3428063943161634,1,0.18835737181333634,1.893648449039882,1990,0.9494274809160306,349,340,367,805,38,46,22
