threshold,actionable,scored,excluded,tp,fp,precision,scored_rate,tp_per_actionable,meets_precision_floor,precision_delta_vs_floor,scored_vs_sde_ratio,no_match_count,no_match_rate,no_match_one_lap_beyond,no_match_two_to_three_laps_beyond,no_match_four_plus_laps_beyond,no_match_pit_in_window_but_consumed,excluded_incident,excluded_missing_post_gap,excluded_weather
0.05,34578,3908,30670,3236,672,0.8280450358239508,0.11301983920411822,0.09358551680259124,1,0.11312627659204533,5.772525849335302,29873,0.9740136941636779,2741,4225,9315,4939,229,437,125
0.075,20222,3201,17021,2710,491,0.8466104342393003,0.15829294827415685,0.13401246167540304,1,0.13169167500739476,4.72821270310192,16489,0.9687444920979966,1804,2534,4779,3441,155,295,81
0.1,14518,2726,11792,2340,386,0.8584005869405723,0.1877669100427056,0.16117922578867613,1,0.1434818277086668,4.026587887740029,11390,0.9659090909090909,1328,1827,3252,2702,130,219,53
0.125,11581,2448,9133,2121,327,0.866421568627451,0.2113807097832657,0.18314480614800105,1,0.1515028093955455,3.6159527326440175,8815,0.965181210993102,1101,1459,2359,2300,105,167,46
0.15,8965,2199,6766,1921,278,0.8735788994997726,0.245287228109314,0.21427774679308423,1,0.15866014026786712,3.2481536189069424,6512,0.9624593556015371,876,1147,1606,1901,83,132,39
0.175,6943,1930,5013,1703,227,0.8823834196891192,0.2779778193864324,0.24528301886792453,1,0.16746466045721364,2.8508124076809453,4812,0.959904248952723,696,853,1125,1539,68,101,32
0.2,5690,1741,3949,1539,202,0.8839747271682941,0.30597539543057994,0.27047451669595785,1,0.16905596793638855,2.571639586410635,3772,0.9551785262091669,583,665,811,1304,61,84,32
0.22499999999999998,4574,1534,3040,1362,172,0.8878748370273793,0.3353738522081329,0.2977700043725404,1,0.17295607779547384,2.2658788774002954,2892,0.9513157894736842,469,506,591,1086,51,70,27
0.25,3958,1426,2532,1273,153,0.8927068723702665,0.3602829711975745,0.3216270843860536,1,0.17778811313836096,2.106351550960118,2398,0.9470774091627172,413,412,465,948,46,62,26
0.27499999999999997,3407,1290,2117,1161,129,0.9,0.37863222776636335,0.340769004989727,1,0.1850812407680945,1.9054652880354506,2009,0.9489844119036372,353,343,377,806,39,47,22
0.3,2944,1166,1778,1061,105,0.9099485420240138,0.3960597826086957,0.36039402173913043,1,0.19502978279210825,1.7223042836041358,1685,0.9476940382452194,294,294,305,702,31,40,22
0.32499999999999996,2453,1026,1427,937,89,0.9132553606237817,0.418263350998777,0.3819812474520995,1,0.19833660139187614,1.515509601181684,1342,0.9404344779257183,240,242,230,585,29,35,21
0.35,2035,898,1137,820,78,0.9131403118040089,0.4412776412776413,0.40294840294840295,1,0.1982215525721034,1.326440177252585,1056,0.9287598944591029,188,188,152,495,28,32,21
0.37499999999999994,1736,826,910,758,68,0.9176755447941889,0.47580645161290325,0.43663594470046085,1,0.20275678556228338,1.2200886262924668,844,0.9274725274725275,153,152,101,408,25,26,15
0.39999999999999997,1544,759,785,700,59,0.922266139657444,0.49158031088082904,0.4533678756476684,1,0.20734738042553846,1.121122599704579,727,0.9261146496815287,130,125,81,364,22,22,14
0.42499999999999993,1395,706,689,653,53,0.9249291784702549,0.5060931899641578,0.46810035842293907,1,0.2100104192383494,1.0428360413589366,637,0.9245283018867925,108,110,74,329,19,20,13
0.44999999999999996,1244,635,609,587,48,0.9244094488188976,0.5104501607717041,0.47186495176848875,1,0.20949068958699213,0.9379615952732644,566,0.9293924466338259,100,101,60,289,16,17,10
0.475,1087,563,524,523,40,0.9289520426287744,0.5179392824287029,0.48114075436982523,1,0.2140332833968689,0.8316100443131462,486,0.9274809160305344,91,91,43,251,13,15,10
