threshold,year,actionable,scored,tp,fp,precision,scored_rate,tp_per_actionable
0.05,2023,5215,543,441,102,0.8121546961325967,0.10412272291466923,0.08456375838926175
0.05,2024,10166,1255,1061,194,0.8454183266932271,0.1234507180798741,0.10436749950816447
0.05,2025,14970,1877,1579,298,0.8412360149174214,0.12538410153640614,0.10547762191048764
0.075,2023,2301,338,282,56,0.834319526627219,0.14689265536723164,0.12255541069100391
0.075,2024,6753,1095,946,149,0.8639269406392694,0.16215015548645045,0.140085887753591
0.075,2025,9819,1642,1404,238,0.8550548112058465,0.16722680517364294,0.14298808432630614
0.1,2023,909,169,142,27,0.8402366863905325,0.1859185918591859,0.1562156215621562
0.1,2024,5102,996,871,125,0.8744979919678715,0.19521756174049393,0.1707173657389259
0.1,2025,7499,1459,1265,194,0.8670322138450994,0.19455927456994265,0.16868915855447392
0.125,2023,689,140,119,21,0.85,0.20319303338171263,0.17271407837445574
0.125,2024,4062,904,788,116,0.8716814159292036,0.2225504677498769,0.19399310684391924
0.125,2025,6138,1329,1171,158,0.8811136192626035,0.21652003910068426,0.19077875529488433
0.15,2023,554,116,97,19,0.8362068965517241,0.20938628158844766,0.17509025270758122
0.15,2024,3240,815,718,97,0.8809815950920246,0.2515432098765432,0.22160493827160493
0.15,2025,4902,1217,1077,140,0.8849630238290879,0.248266013871889,0.2197062423500612
0.175,2023,476,101,84,17,0.8316831683168316,0.21218487394957983,0.17647058823529413
0.175,2024,2483,711,636,75,0.8945147679324894,0.28634716069271043,0.25614176399516714
0.175,2025,3835,1082,963,119,0.890018484288355,0.2821382007822686,0.25110821382007825
0.2,2023,275,78,63,15,0.8076923076923077,0.28363636363636363,0.2290909090909091
0.2,2024,2113,649,579,70,0.8921417565485362,0.3071462375769049,0.27401798390913396
0.2,2025,3167,984,880,104,0.8943089430894309,0.31070413640669403,0.2778654878433849
0.22499999999999998,2023,255,72,58,14,0.8055555555555556,0.2823529411764706,0.22745098039215686
0.22499999999999998,2024,1675,578,519,59,0.8979238754325259,0.34507462686567164,0.3098507462686567
0.22499999999999998,2025,2544,864,776,88,0.8981481481481481,0.33962264150943394,0.3050314465408805
0.25,2023,229,65,51,14,0.7846153846153846,0.2838427947598253,0.22270742358078602
0.25,2024,1445,547,495,52,0.9049360146252285,0.3785467128027682,0.34256055363321797
0.25,2025,2199,795,718,77,0.9031446540880503,0.3615279672578445,0.32651205093224195
0.27499999999999997,2023,220,63,51,12,0.8095238095238095,0.2863636363636364,0.2318181818181818
0.27499999999999997,2024,1384,536,490,46,0.914179104477612,0.3872832369942196,0.3540462427745665
0.27499999999999997,2025,1774,683,617,66,0.9033674963396779,0.3850056369785795,0.34780157835400227
0.3,2023,119,41,35,6,0.8536585365853658,0.3445378151260504,0.29411764705882354
0.3,2024,1258,492,454,38,0.9227642276422764,0.39109697933227344,0.36089030206677264
0.3,2025,1538,625,569,56,0.9104,0.406371911573472,0.36996098829648894
0.32499999999999996,2023,105,41,35,6,0.8536585365853658,0.3904761904761905,0.3333333333333333
0.32499999999999996,2024,982,398,368,30,0.9246231155778895,0.40529531568228105,0.37474541751527496
0.32499999999999996,2025,1337,579,531,48,0.917098445595855,0.4330590875093493,0.39715781600598354
0.35,2023,98,39,33,6,0.8461538461538461,0.3979591836734694,0.336734693877551
0.35,2024,800,355,331,24,0.9323943661971831,0.44375,0.41375
0.35,2025,1120,500,454,46,0.908,0.44642857142857145,0.40535714285714286
0.37499999999999994,2023,98,39,33,6,0.8461538461538461,0.3979591836734694,0.336734693877551
0.37499999999999994,2024,629,312,294,18,0.9423076923076923,0.4960254372019078,0.46740858505564387
0.37499999999999994,2025,992,471,429,42,0.910828025477707,0.4747983870967742,0.4324596774193548
0.39999999999999997,2023,94,37,32,5,0.8648648648648649,0.39361702127659576,0.3404255319148936
0.39999999999999997,2024,545,281,265,16,0.9430604982206405,0.5155963302752293,0.48623853211009177
0.39999999999999997,2025,889,437,401,36,0.9176201372997712,0.4915635545556805,0.45106861642294716
0.42499999999999993,2023,65,30,26,4,0.8666666666666667,0.46153846153846156,0.4
0.42499999999999993,2024,525,273,258,15,0.945054945054945,0.52,0.49142857142857144
0.42499999999999993,2025,789,399,367,32,0.9197994987468672,0.5057034220532319,0.46514575411913817
0.44999999999999996,2023,58,26,24,2,0.9230769230769231,0.4482758620689655,0.41379310344827586
0.44999999999999996,2024,484,248,234,14,0.9435483870967742,0.512396694214876,0.4834710743801653
0.44999999999999996,2025,686,357,327,30,0.9159663865546218,0.5204081632653061,0.47667638483965014
0.475,2023,58,26,24,2,0.9230769230769231,0.4482758620689655,0.41379310344827586
0.475,2024,439,230,219,11,0.9521739130434783,0.5239179954441914,0.4988610478359909
0.475,2025,577,303,278,25,0.9174917491749175,0.5251299826689775,0.48180242634315423
0.49999999999999994,2023,58,26,24,2,0.9230769230769231,0.4482758620689655,0.41379310344827586
0.49999999999999994,2024,377,211,202,9,0.957345971563981,0.5596816976127321,0.5358090185676393
0.49999999999999994,2025,534,288,265,23,0.9201388888888888,0.5393258426966292,0.49625468164794007
0.525,2023,57,26,24,2,0.9230769230769231,0.45614035087719296,0.42105263157894735
0.525,2024,346,195,187,8,0.958974358974359,0.5635838150289018,0.5404624277456648
0.525,2025,448,235,214,21,0.9106382978723404,0.5245535714285714,0.47767857142857145
0.5499999999999999,2023,57,26,24,2,0.9230769230769231,0.45614035087719296,0.42105263157894735
0.5499999999999999,2024,314,180,173,7,0.9611111111111111,0.5732484076433121,0.5509554140127388
0.5499999999999999,2025,383,209,195,14,0.9330143540669856,0.5456919060052219,0.5091383812010444
0.575,2023,57,26,24,2,0.9230769230769231,0.45614035087719296,0.42105263157894735
0.575,2024,298,170,163,7,0.9588235294117647,0.5704697986577181,0.5469798657718121
0.575,2025,295,166,157,9,0.9457831325301205,0.5627118644067797,0.5322033898305085
0.6,2023,56,25,24,1,0.96,0.44642857142857145,0.42857142857142855
0.6,2024,292,166,159,7,0.9578313253012049,0.5684931506849316,0.5445205479452054
0.6,2025,259,153,144,9,0.9411764705882353,0.5907335907335908,0.555984555984556
0.625,2023,56,25,24,1,0.96,0.44642857142857145,0.42857142857142855
0.625,2024,238,135,130,5,0.9629629629629629,0.5672268907563025,0.5462184873949579
0.625,2025,214,134,125,9,0.9328358208955224,0.6261682242990654,0.5841121495327103
0.65,2023,48,24,23,1,0.9583333333333334,0.5,0.4791666666666667
0.65,2024,189,114,110,4,0.9649122807017544,0.6031746031746031,0.582010582010582
