fold,rows,positive_rows,prevalence,mean_constrained_threshold,min_constrained_threshold,max_constrained_threshold,constrained_positive_rate,constrained_precision,constrained_recall,constrained_f1,fallback_rows,calibrated_score_q90
1,1214,129,0.10626029654036244,0.9900000000000001,0.99,0.99,0.0016474464579901153,1.0,0.015503875968992248,0.030534351145038167,0,0.036697247706422
2,957,60,0.06269592476489028,0.12000000000000004,0.12,0.12,0.0041797283176593526,1.0,0.06666666666666667,0.125,0,0.0337494220989366
3,1206,27,0.022388059701492536,0.08999999999999997,0.09,0.09,0.006633499170812604,0.75,0.2222222222222222,0.34285714285714286,1206,0.0172413793103448
4,1110,57,0.051351351351351354,0.75,0.75,0.75,0.0018018018018018018,1.0,0.03508771929824561,0.06779661016949151,0,0.0446194225721784
5,1316,61,0.04635258358662614,0.9900000000000001,0.99,0.99,0.001519756838905775,1.0,0.03278688524590164,0.06349206349206349,0,0.0508771929824561
6,1717,56,0.032615026208503206,0.8,0.8,0.8,0.0017472335468841002,1.0,0.05357142857142857,0.10169491525423728,0,0.0244233378561736
7,1554,105,0.06756756756756757,0.7999999999999999,0.8,0.8,0.0,,0.0,,0,0.0352941176470588
8,1487,69,0.04640215198386012,0.9900000000000001,0.99,0.99,0.0020174848688634837,0.6666666666666666,0.028985507246376812,0.05555555555555555,0,0.0723327305605786
9,1583,111,0.07012002526847758,0.99,0.99,0.99,0.006317119393556538,1.0,0.09009009009009009,0.1652892561983471,0,0.050340651021953
10,1146,60,0.05235602094240838,0.7999999999999999,0.8,0.8,0.006108202443280977,0.8571428571428571,0.1,0.17910447761194032,0,0.0898876404494382
11,1553,101,0.06503541532517708,0.7999999999999999,0.8,0.8,0.000643915003219575,1.0,0.009900990099009901,0.0196078431372549,0,0.030932594644506
12,938,83,0.08848614072494669,0.99,0.99,0.99,0.0031982942430703624,0.6666666666666666,0.024096385542168676,0.046511627906976744,0,0.0905797101449275
13,1596,110,0.06892230576441102,0.75,0.75,0.75,0.0037593984962406013,0.8333333333333334,0.045454545454545456,0.08620689655172414,0,0.0762886597938144
14,1168,72,0.06164383561643835,0.9900000000000001,0.99,0.99,0.0,,0.0,,0,0.0496794871794871
