scope,score_type,bin_index,bin_lower,bin_upper,count,weight,mean_pred,observed_rate,abs_gap
overall,raw,0,0.0,0.1,32306,0.31360481483279135,0.037714597242634734,0.026032315978456014,0.01168228126417872
overall,raw,1,0.1,0.2,15010,0.1457069358831238,0.1474615187554817,0.036175882744836775,0.11128563601064492
overall,raw,2,0.2,0.30000000000000004,12346,0.11984662427801776,0.24913928187416803,0.03491009233759922,0.2142291895365688
overall,raw,3,0.30000000000000004,0.4,10588,0.10278114837645003,0.3484698341090498,0.04202871174914998,0.30644112235989984
overall,raw,4,0.4,0.5,8869,0.08609425811774984,0.4491433716872752,0.04791972037433758,0.40122365131293763
overall,raw,5,0.5,0.6000000000000001,7689,0.07463961558996263,0.5485300184583025,0.07114059045389517,0.4773894280044073
overall,raw,6,0.6000000000000001,0.7000000000000001,6515,0.06324321700723196,0.6487105508630128,0.11588641596316193,0.5328241348998508
overall,raw,7,0.7000000000000001,0.8,4937,0.04792505945736058,0.7476169620300078,0.23617581527243264,0.5114411467575752
overall,raw,8,0.8,0.9,3738,0.036285977770227636,0.8475571305213477,0.46468699839486355,0.3828701321264842
overall,raw,9,0.9,1.0,1017,0.009872348687084405,0.9250480621730801,0.8210422812192724,0.10400578095380775
overall,calibrated,0,0.0,0.1,92753,0.9003834393049556,0.029599508564049217,0.04294200726661132,0.013342498702562103
overall,calibrated,1,0.1,0.2,4772,0.04632335096830559,0.1420501217234893,0.2112321877619447,0.06918206603845539
overall,calibrated,2,0.2,0.30000000000000004,2138,0.02075425908848226,0.2415998274407881,0.31805425631431244,0.07645442887352435
overall,calibrated,3,0.30000000000000004,0.4,1175,0.011406105906906761,0.34957435342583143,0.4621276595744681,0.11255330614863668
overall,calibrated,4,0.4,0.5,703,0.006824248895791875,0.44664836942921643,0.5846372688477952,0.13798889941857878
overall,calibrated,5,0.5,0.6000000000000001,606,0.005882638450711061,0.5380283994015804,0.641914191419142,0.10388579201756154
overall,calibrated,6,0.6000000000000001,0.7000000000000001,343,0.003329612192399165,0.6556366504235581,0.7725947521865889,0.11695810176303079
overall,calibrated,7,0.7000000000000001,0.8,241,0.0023394651264378973,0.7524126899099215,0.8340248962655602,0.0816122063556387
overall,calibrated,8,0.8,0.9,139,0.0013493180604766295,0.8513700017985697,0.7985611510791367,0.052808850719432976
overall,calibrated,9,0.9,1.0,145,0.0014075620055331748,0.9741363127171161,0.9241379310344827,0.049998381682633375
