scope,score_type,bin_index,bin_lower,bin_upper,count,weight,mean_pred,observed_rate,abs_gap
overall,raw,0,0.0,0.1,49888,0.40516856305175875,0.028191930182282464,0.024053880692751765,0.0041380494895306985
overall,raw,1,0.1,0.2,16112,0.1308546321337784,0.14728019167525766,0.03742552135054618,0.10985467032471148
overall,raw,2,0.2,0.30000000000000004,12913,0.10487375029440668,0.2489899660508324,0.035855339580267945,0.21313462647056447
overall,raw,3,0.30000000000000004,0.4,10969,0.08908543072712359,0.34834912527725814,0.04266569422919136,0.3056834310480668
overall,raw,4,0.4,0.5,9087,0.07380064810077236,0.4490475044092277,0.04952129415648729,0.3995262102527404
overall,raw,5,0.5,0.6000000000000001,7815,0.06347001924810565,0.5484483876368669,0.07140115163147792,0.47704723600538895
overall,raw,6,0.6000000000000001,0.7000000000000001,6581,0.05344800981084878,0.6486600397966713,0.11624373195562984,0.5324163078410414
overall,raw,7,0.7000000000000001,0.8,4988,0.04051035905432514,0.7475992051381155,0.23476343223736967,0.5128357729007458
overall,raw,8,0.8,0.9,3757,0.03051271430775853,0.8475457895839662,0.46260314080383286,0.38494264878013335
overall,raw,9,0.9,1.0,1019,0.008275873271122157,0.9250165595507598,0.8194308145240432,0.10558574502671658
overall,calibrated,0,0.0,0.1,112017,0.9097531856833078,0.028656845832178868,0.03953864145620754,0.010881795624028676
overall,calibrated,1,0.1,0.2,5495,0.04462799178097768,0.13896803895813234,0.19490445859872613,0.05593641964059379
overall,calibrated,2,0.2,0.30000000000000004,2227,0.01808672205573017,0.24117812344612904,0.3089357880556803,0.06775766460955124
overall,calibrated,3,0.30000000000000004,0.4,1176,0.009550958750578662,0.3495352178829598,0.461734693877551,0.11219947599459118
overall,calibrated,4,0.4,0.5,727,0.005904376710604326,0.44524320340214885,0.5749656121045392,0.12972240870239038
overall,calibrated,5,0.5,0.6000000000000001,606,0.004921667519430841,0.5380283994015804,0.641914191419142,0.10388579201756154
overall,calibrated,6,0.6000000000000001,0.7000000000000001,345,0.002801939429378944,0.6556204068844541,0.7681159420289855,0.11249553514453137
overall,calibrated,7,0.7000000000000001,0.8,242,0.0019654183823469696,0.752276077681138,0.8305785123966942,0.0783024347155562
overall,calibrated,8,0.8,0.9,140,0.001137018898878412,0.8512369677488246,0.7928571428571428,0.05837982489168181
overall,calibrated,9,0.9,1.0,154,0.0012507207887662534,0.9752189038570844,0.8831168831168831,0.09210202074020135
