feature,class,n,mean,median,std,p10,p90
tire_life_ratio,TP,287,0.6544037940379404,0.5666666666666667,0.38759464888728845,0.29200000000000004,1.0666666666666667
tire_life_ratio,FP,15,0.5520740740740742,0.5,0.19106755173981363,0.43333333333333335,0.8777777777777778
pace_drop_ratio,TP,287,1.0123179972658913,1.0088169868554095,0.012363854316197296,1.0016357181062532,1.0248913479484179
pace_drop_ratio,FP,15,1.013752009902633,1.011881290858151,0.010194926958763057,1.0046372003169681,1.0198773751854566
lapTime,TP,287,90.8295156794425,94.383,14.501721197817574,71.256,112.0874
lapTime,FP,15,96.63873333333332,98.236,12.269700542211922,80.8032,114.11
trackTemp,TP,287,30.158536585365855,30.6,7.5593163291162835,22.86,41.5
trackTemp,FP,15,26.740000000000002,24.1,7.774299539722748,17.9,34.62
airTemp,TP,287,21.37212543554007,20.7,4.680874052319031,16.86,30.040000000000003
airTemp,FP,15,19.533333333333335,18.2,3.464614777367832,16.82,24.7
humidity,TP,287,55.174216027874564,53.0,12.480966582136661,39.0,71.0
humidity,FP,15,54.6,50.0,14.25856467764784,43.2,75.4
speedTrap,TP,287,295.02090592334497,298.0,18.000568570623372,278.6,310.0
speedTrap,FP,15,293.1333333333333,300.0,21.181333501196022,280.4,308.8
gapAhead,TP,287,142.76898606271777,4.656,314.1948958378498,0.422,999.0
gapAhead,FP,15,9.644066666666667,2.342,23.334989700638157,0.1904,10.462
gapBehind,TP,287,55.551742160278756,3.927,161.08080489917126,0.327,145.53820000000005
gapBehind,FP,15,11.272799999999998,3.528,24.421409902515183,0.8016000000000001,13.715399999999999
position,TP,287,7.344947735191638,6.0,5.2580948624605695,1.0,15.400000000000034
position,FP,15,7.4,6.0,3.9293765408777004,3.0,11.6
pitLoss,TP,287,22.17595818815331,22.0,0.9170550340813792,21.0,23.5
pitLoss,FP,15,22.633333333333333,22.0,1.007747763855398,21.5,24.0
