model,case_origin,subtype_auto,race,driver,suggestion_lap,outcome_class,exclusion_reason,nearest_future_pit_distance,failure_type_manual,context_source,notes
MOA,excluded_no_match,near_miss_3_5,2022 :: Bahrain Grand Prix,OCO,27,EXCLUDED,NO_MATCH_WITHIN_HORIZON,3.0,,,
MOA,excluded_no_match,far_miss_6_plus,2023 :: Abu Dhabi Grand Prix,HAM,9,EXCLUDED,NO_MATCH_WITHIN_HORIZON,6.0,,,
MOA,excluded_no_match,no_future,2023 :: Canadian Grand Prix,GAS,39,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
MOA,excluded_no_match,far_miss_6_plus,2023 :: Hungarian Grand Prix,STR,23,EXCLUDED,NO_MATCH_WITHIN_HORIZON,11.0,,,
MOA,excluded_no_match,far_miss_6_plus,2023 :: Hungarian Grand Prix,STR,27,EXCLUDED,NO_MATCH_WITHIN_HORIZON,7.0,,,
MOA,excluded_no_match,far_miss_6_plus,2024 :: Canadian Grand Prix,LEC,7,EXCLUDED,NO_MATCH_WITHIN_HORIZON,18.0,,,
MOA,excluded_no_match,far_miss_6_plus,2024 :: Hungarian Grand Prix,OCO,9,EXCLUDED,NO_MATCH_WITHIN_HORIZON,14.0,,,
MOA,excluded_no_match,far_miss_6_plus,2024 :: São Paulo Grand Prix,MSC,10,EXCLUDED,NO_MATCH_WITHIN_HORIZON,14.0,,,
MOA,excluded_no_match,far_miss_6_plus,2025 :: Austrian Grand Prix,BOR,37,EXCLUDED,NO_MATCH_WITHIN_HORIZON,12.0,,,
MOA,excluded_no_match,far_miss_6_plus,2025 :: Belgian Grand Prix,PIA,24,EXCLUDED,NO_MATCH_WITHIN_HORIZON,6.0,,,
MOA,excluded_no_match,far_miss_6_plus,2025 :: Chinese Grand Prix,ALO,32,EXCLUDED,NO_MATCH_WITHIN_HORIZON,11.0,,,
SDE,excluded_no_match,near_miss_3_5,2022 :: Abu Dhabi Grand Prix,RIC,16,EXCLUDED,NO_MATCH_WITHIN_HORIZON,3.0,,,
SDE,excluded_no_match,far_miss_6_plus,2022 :: Abu Dhabi Grand Prix,VET,12,EXCLUDED,NO_MATCH_WITHIN_HORIZON,13.0,,,
SDE,excluded_no_match,no_future,2022 :: Australian Grand Prix,RUS,45,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
SDE,excluded_no_match,near_miss_3_5,2022 :: Belgian Grand Prix,PER,9,EXCLUDED,NO_MATCH_WITHIN_HORIZON,5.0,,,
SDE,excluded_no_match,near_miss_3_5,2022 :: São Paulo Grand Prix,STR,44,EXCLUDED,NO_MATCH_WITHIN_HORIZON,4.0,,,
SDE,excluded_no_match,far_miss_6_plus,2023 :: Australian Grand Prix,MAG,27,EXCLUDED,NO_MATCH_WITHIN_HORIZON,12.0,,,
SDE,excluded_no_match,far_miss_6_plus,2023 :: Canadian Grand Prix,BOT,41,EXCLUDED,NO_MATCH_WITHIN_HORIZON,8.0,,,
SDE,excluded_no_match,near_miss_3_5,2023 :: Canadian Grand Prix,LEC,34,EXCLUDED,NO_MATCH_WITHIN_HORIZON,5.0,,,
SDE,excluded_no_match,no_future,2023 :: Emilia Romagna Grand Prix,RIC,38,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
SDE,excluded_no_match,no_future,2023 :: Emilia Romagna Grand Prix,VET,23,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
SDE,excluded_no_match,far_miss_6_plus,2023 :: Mexico City Grand Prix,ALB,17,EXCLUDED,NO_MATCH_WITHIN_HORIZON,16.0,,,
SDE,excluded_no_match,far_miss_6_plus,2024 :: Hungarian Grand Prix,MAG,43,EXCLUDED,NO_MATCH_WITHIN_HORIZON,24.0,,,
SDE,excluded_no_match,unexpected_within_horizon,2025 :: Australian Grand Prix,MAG,33,EXCLUDED,NO_MATCH_WITHIN_HORIZON,0.0,,,
SDE,excluded_no_match,far_miss_6_plus,2025 :: Azerbaijan Grand Prix,LAW,14,EXCLUDED,NO_MATCH_WITHIN_HORIZON,6.0,,,
SDE,excluded_no_match,far_miss_6_plus,2025 :: Azerbaijan Grand Prix,VER,34,EXCLUDED,NO_MATCH_WITHIN_HORIZON,6.0,,,
SDE,scored_fp,fp_scored,2025 :: Bahrain Grand Prix,RUS,13,0,nan,0.0,,,
SDE,excluded_no_match,no_future,2025 :: Emilia Romagna Grand Prix,VET,42,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
SDE,excluded_no_match,far_miss_6_plus,2025 :: Hungarian Grand Prix,OCO,44,EXCLUDED,NO_MATCH_WITHIN_HORIZON,20.0,,,
SDE,excluded_no_match,no_future,2025 :: Japanese Grand Prix,NOR,49,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
