race,driver,suggestion_lap,suggestion_label,totalScore,matched_pit_lap,match_distance,nearest_future_pit_lap,nearest_future_pit_distance,pit_in_window_before_consumption,outcome_class,exclusion_reason
2023 :: Abu Dhabi Grand Prix,PER,13,PIT_NOW,0.75,15.0,2.0,15.0,2.0,True,1,
2023 :: Australian Grand Prix,ALB,55,PIT_NOW,0.091743119266055,57.0,2.0,57.0,2.0,True,1,
2023 :: Australian Grand Prix,ALB,56,PIT_NOW,0.091743119266055,,,57.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,LEC,17,PIT_NOW,0.091743119266055,,,22.0,5.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,LEC,19,PIT_NOW,0.091743119266055,,,22.0,3.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,LEC,20,PIT_NOW,0.091743119266055,22.0,2.0,22.0,2.0,True,1,
2023 :: Australian Grand Prix,LEC,21,PIT_NOW,0.091743119266055,,,22.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,RIC,19,PIT_NOW,0.091743119266055,21.0,2.0,21.0,2.0,True,1,
2023 :: Australian Grand Prix,RIC,20,PIT_NOW,0.091743119266055,,,21.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Austrian Grand Prix,LAT,10,PIT_NOW,1.0,12.0,2.0,12.0,2.0,True,1,
2023 :: Austrian Grand Prix,LAT,11,PIT_NOW,1.0,,,12.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Austrian Grand Prix,MSC,14,PIT_NOW,1.0,16.0,2.0,16.0,2.0,True,1,
2023 :: Austrian Grand Prix,MSC,15,PIT_NOW,1.0,,,16.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Austrian Grand Prix,MSC,41,PIT_NOW,1.0,43.0,2.0,43.0,2.0,True,1,
2023 :: Austrian Grand Prix,MSC,42,PIT_NOW,1.0,,,43.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Austrian Grand Prix,RIC,10,PIT_NOW,1.0,12.0,2.0,12.0,2.0,True,1,
2023 :: Austrian Grand Prix,RIC,11,PIT_NOW,1.0,,,12.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Austrian Grand Prix,RIC,42,PIT_NOW,1.0,44.0,2.0,44.0,2.0,True,1,
2023 :: Austrian Grand Prix,RIC,43,PIT_NOW,1.0,,,44.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Azerbaijan Grand Prix,MSC,21,PIT_NOW,1.0,23.0,2.0,23.0,2.0,True,1,
2023 :: Azerbaijan Grand Prix,MSC,22,PIT_NOW,1.0,,,23.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Bahrain Grand Prix,RIC,32,PIT_NOW,1.0,33.0,1.0,33.0,1.0,True,1,
2023 :: Bahrain Grand Prix,RIC,43,PIT_NOW,1.0,44.0,1.0,44.0,1.0,True,1,
2023 :: Belgian Grand Prix,LAT,13,PIT_NOW,1.0,15.0,2.0,15.0,2.0,True,1,
2023 :: Belgian Grand Prix,LAT,14,PIT_NOW,1.0,,,15.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Belgian Grand Prix,VET,12,PIT_NOW,1.0,14.0,2.0,14.0,2.0,True,0,
2023 :: British Grand Prix,MSC,17,PIT_NOW,0.9055065312335226,19.0,2.0,19.0,2.0,True,1,
2023 :: British Grand Prix,NOR,32,PIT_NOW,0.8,33.0,1.0,33.0,1.0,True,1,
2023 :: British Grand Prix,RUS,25,PIT_NOW,0.863340529462678,,,28.0,3.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: British Grand Prix,RUS,26,PIT_NOW,1.0,28.0,2.0,28.0,2.0,True,1,
2023 :: British Grand Prix,RUS,27,PIT_NOW,0.8965866470348299,,,28.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: British Grand Prix,SAI,37,PIT_NOW,0.8,39.0,2.0,39.0,2.0,True,1,
2023 :: British Grand Prix,SAI,38,PIT_NOW,0.8,,,39.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Canadian Grand Prix,MSC,17,PIT_NOW,1.0,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Canadian Grand Prix,VET,3,PIT_NOW,1.0,5.0,2.0,5.0,2.0,True,1,
2023 :: Canadian Grand Prix,VET,4,PIT_NOW,1.0,,,5.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Dutch Grand Prix,ALB,20,PIT_NOW,0.75,21.0,1.0,21.0,1.0,True,1,
2023 :: Dutch Grand Prix,LAT,12,PIT_NOW,1.0,13.0,1.0,13.0,1.0,True,1,
2023 :: Dutch Grand Prix,LAT,25,PIT_NOW,1.0,26.0,1.0,26.0,1.0,True,1,
2023 :: Dutch Grand Prix,OCO,17,PIT_NOW,1.0,18.0,1.0,18.0,1.0,True,0,
2023 :: Dutch Grand Prix,VET,33,PIT_NOW,1.0,35.0,2.0,35.0,2.0,True,1,
2023 :: Dutch Grand Prix,VET,34,PIT_NOW,1.0,,,35.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Emilia Romagna Grand Prix,GAS,16,PIT_NOW,0.8888888888888888,17.0,1.0,17.0,1.0,True,1,
2023 :: Emilia Romagna Grand Prix,HAM,16,PIT_NOW,0.8888888888888888,18.0,2.0,18.0,2.0,True,0,
2023 :: Emilia Romagna Grand Prix,MAG,16,PIT_NOW,0.8888888888888888,18.0,2.0,18.0,2.0,True,1,
2023 :: Emilia Romagna Grand Prix,MAG,17,PIT_NOW,0.8888888888888888,,,18.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Emilia Romagna Grand Prix,OCO,16,PIT_NOW,0.8888888888888888,18.0,2.0,18.0,2.0,True,1,
2023 :: Emilia Romagna Grand Prix,OCO,17,PIT_NOW,0.8888888888888888,,,18.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Emilia Romagna Grand Prix,PER,16,PIT_NOW,0.8888888888888888,18.0,2.0,18.0,2.0,True,1,
2023 :: Emilia Romagna Grand Prix,PER,17,PIT_NOW,0.8888888888888888,,,18.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Emilia Romagna Grand Prix,RUS,16,PIT_NOW,0.8888888888888888,18.0,2.0,18.0,2.0,True,1,
2023 :: Emilia Romagna Grand Prix,RUS,17,PIT_NOW,0.8888888888888888,,,18.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Emilia Romagna Grand Prix,STR,16,PIT_NOW,0.8888888888888888,18.0,2.0,18.0,2.0,True,1,
2023 :: Emilia Romagna Grand Prix,STR,17,PIT_NOW,0.8888888888888888,,,18.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Emilia Romagna Grand Prix,TSU,16,PIT_NOW,0.8888888888888888,18.0,2.0,18.0,2.0,True,1,
2023 :: Emilia Romagna Grand Prix,TSU,17,PIT_NOW,0.8888888888888888,,,18.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Emilia Romagna Grand Prix,VET,16,PIT_NOW,0.8888888888888888,17.0,1.0,17.0,1.0,True,1,
2023 :: Hungarian Grand Prix,LAT,55,PIT_NOW,1.0,56.0,1.0,56.0,1.0,True,1,
2023 :: Japanese Grand Prix,RUS,16,PIT_NOW,0.7692307692307693,,,24.0,8.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Japanese Grand Prix,RUS,17,PIT_NOW,0.7692307692307693,,,24.0,7.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Japanese Grand Prix,SAI,17,PIT_NOW,0.7692307692307693,18.0,1.0,18.0,1.0,True,1,
2023 :: Miami Grand Prix,RIC,28,PIT_NOW,1.0,30.0,2.0,30.0,2.0,True,1,
2023 :: Miami Grand Prix,VET,53,PIT_NOW,1.0,54.0,1.0,54.0,1.0,True,1,
2023 :: Monaco Grand Prix,RIC,17,PIT_NOW,0.9229149610076,19.0,2.0,19.0,2.0,True,1,
2023 :: Monaco Grand Prix,VET,21,PIT_NOW,1.0,23.0,2.0,23.0,2.0,True,1,
2023 :: Monaco Grand Prix,VET,22,PIT_NOW,0.8,,,23.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Saudi Arabian Grand Prix,RIC,6,PIT_NOW,0.125,8.0,2.0,8.0,2.0,True,1,
2023 :: Saudi Arabian Grand Prix,RIC,7,PIT_NOW,0.125,,,8.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Saudi Arabian Grand Prix,RIC,34,PIT_NOW,0.125,36.0,2.0,36.0,2.0,True,1,
2023 :: Saudi Arabian Grand Prix,RIC,35,PIT_NOW,0.125,,,36.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Singapore Grand Prix,LAT,6,PIT_NOW,0.8,7.0,1.0,7.0,1.0,True,1,
2023 :: United States Grand Prix,MSC,16,PIT_NOW,0.75,18.0,2.0,18.0,2.0,True,1,
2023 :: United States Grand Prix,PER,36,PIT_NOW,0.75,37.0,1.0,37.0,1.0,True,1,
2023 :: United States Grand Prix,TSU,31,PIT_NOW,0.75,33.0,2.0,33.0,2.0,True,1,
2023 :: United States Grand Prix,VET,15,PIT_NOW,0.75,,,18.0,3.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: United States Grand Prix,VET,16,PIT_NOW,1.0,18.0,2.0,18.0,2.0,True,1,
2023 :: United States Grand Prix,VET,17,PIT_NOW,1.0,,,18.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: United States Grand Prix,VET,40,PIT_NOW,0.75,41.0,1.0,41.0,1.0,True,1,
2024 :: Austrian Grand Prix,ALB,12,PIT_NOW,1.0,12.0,0.0,12.0,0.0,True,1,
2024 :: Austrian Grand Prix,ALB,13,PIT_NOW,1.0,14.0,1.0,14.0,1.0,True,1,
2024 :: Austrian Grand Prix,ALB,40,PIT_NOW,1.0,41.0,1.0,41.0,1.0,True,1,
2024 :: Austrian Grand Prix,ALO,42,PIT_NOW,1.0,44.0,2.0,44.0,2.0,True,1,
2024 :: Austrian Grand Prix,ALO,43,PIT_NOW,1.0,,,44.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2024 :: Austrian Grand Prix,BOT,39,PIT_NOW,0.9130434782608696,39.0,0.0,39.0,0.0,True,1,
2024 :: Austrian Grand Prix,GAS,11,PIT_NOW,0.9130434782608696,12.0,1.0,12.0,1.0,True,1,
2024 :: Austrian Grand Prix,GAS,12,PIT_NOW,0.9130434782608696,14.0,2.0,12.0,0.0,True,1,
2024 :: Austrian Grand Prix,GAS,40,PIT_NOW,0.9130434782608696,40.0,0.0,40.0,0.0,True,1,
2024 :: Austrian Grand Prix,HAM,13,PIT_NOW,0.9130434782608696,14.0,1.0,14.0,1.0,True,1,
2024 :: Austrian Grand Prix,HAM,40,PIT_NOW,0.9130434782608696,42.0,2.0,42.0,2.0,True,1,
2024 :: Austrian Grand Prix,HAM,41,PIT_NOW,0.9130434782608696,,,42.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2024 :: Austrian Grand Prix,LEC,13,PIT_NOW,0.9130434782608696,15.0,2.0,15.0,2.0,True,1,
