learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.183841199,-4.755984965918793E-14,1000.0,85.39999999999999,23.22254943205725,-210.6382978723402,-224.44444444444417,1000.0,-1.0,42.0,19.0,1996.4285714285716,2473.7795428212344,-5.261904761904762,3.9140741908140018,1.3571428571428574,1.1223109558108666,1.1666666666666665,0.5808600295972687,1.1666666666666665,0.5808600295972687,0.19047619047619047,0.5516315153139572,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.298588327,-7.724501373660234E-14,2000.0,88.94999999999999,20.33251262603497,-202.73972602739758,-211.26760563380316,2000.0,-1.0,42.0,47.0,6465.071428571428,11244.334205566856,-10.66666666666667,11.356027016236618,2.904761904761905,3.244579147496176,1.9523809523809526,1.622289573748088,1.9523809523809526,1.622289573748088,0.8333333333333333,1.2477622245867563,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.365720561,-9.4612170683427E-14,3000.0,89.60000000000001,17.736921620688154,-250.5617977528095,-258.62068965517204,3000.0,-1.0,42.0,66.0,10469.690476190475,27195.800101224464,-13.761904761904761,22.176464698578396,3.785714285714286,6.338175910117659,2.3809523809523814,3.1773004414499577,2.3809523809523814,3.1773004414499577,1.0952380952380956,1.9731060546518024,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.487044641,-1.2599879694688651E-13,4000.0,91.45,20.56713209604637,-187.39495798319282,-192.3076923076924,4000.0,-1.0,42.0,95.0,17803.238095238095,35989.70337966905,-20.76190476190477,29.625145485952963,5.785714285714286,8.466679927193837,3.380952380952381,4.242366924209684,3.380952380952381,4.242366924209684,1.714285714285714,2.4223120812181347,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.591125918,-1.5292469774269396E-13,5000.0,92.28,19.27617919517096,-166.20689655172407,-171.8309859154933,5000.0,-1.0,42.0,118.0,27185.571428571424,48553.95778002582,-29.595238095238088,39.638032687152645,8.309523809523814,11.327686985904883,4.642857142857143,5.673306897200766,4.642857142857143,5.673306897200766,2.1666666666666665,2.7132616198749027,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.704817788,-1.823368658208185E-13,6000.0,92.51666666666667,20.259856965008442,-142.70270270270225,-146.7032967032967,6000.0,-1.0,42.0,140.0,38597.666666666664,74173.42626169007,-39.095238095238095,57.697195063838336,11.023809523809524,16.48722801360465,6.0,8.252124634032725,6.0,8.252124634032725,2.5952380952380953,3.1317378002069494,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.769924672,-1.9918006327417163E-13,7000.0,93.35714285714286,20.369388182474804,-138.4615384615388,-142.18749999999952,7000.0,-1.0,42.0,163.0,49646.85714285714,118572.9597436504,-44.42857142857143,70.95142373213326,12.547619047619047,20.273979936990223,6.761904761904761,10.144828128007198,6.761904761904761,10.144828128007198,2.7619047619047614,3.2143695949824282,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.842580114,-2.179760780806343E-13,8000.0,93.1125,18.842481689387238,-142.7312775330394,-147.0852017937222,8000.0,-1.0,42.0,187.0,60920.66666666667,174611.46412488903,-50.761904761904766,91.24847062502113,14.357142857142858,26.072901013262538,7.666666666666666,13.04339224668234,7.666666666666666,13.04339224668234,2.880952380952381,3.2097593630066457,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.942456862,-2.438142642171847E-13,9000.0,93.45555555555556,18.26047938124059,-130.98039215686273,-136.54618473895616,9000.0,-1.0,42.0,211.0,79401.76190476191,232589.4124537926,-61.5952380952381,116.7484390711571,17.452380952380953,33.35851255746361,9.214285714285714,16.68581362435228,9.214285714285714,16.68581362435228,3.2619047619047614,3.291226502862953,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.020284407,-2.639483057686852E-13,10000.0,93.66,17.55848276400133,-125.62277580071168,-130.54545454545485,10000.0,-1.0,42.0,235.0,96282.33333333334,261474.8021124404,-68.33333333333333,127.86648270119105,19.380952380952383,36.533280771768865,10.190476190476192,18.266640385884433,10.190476190476192,18.266640385884433,3.4285714285714284,3.5140335877377615,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,1.115013205,-2.884547135585712E-13,11000.0,93.76363636363637,18.115133204519537,-119.16932907348298,-123.45276872964202,11000.0,-1.0,42.0,262.0,116524.54761904763,280414.2271493477,-77.26190476190474,134.8057427168966,21.92857142857143,38.517903887161715,11.452380952380953,19.266047958751077,11.452380952380953,19.266047958751077,3.5952380952380953,3.7680267450860914,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,1.189707041,-3.077780623506341E-13,12000.0,94.0,18.220423408078553,-113.64985163204754,-117.52265861027243,12000.0,-1.0,42.0,288.0,137256.00000000003,344746.85965247586,-82.92857142857144,143.46740818925932,23.54761904761905,40.992683690434546,12.261904761904765,20.503491105246045,12.261904761904765,20.503491105246045,3.619047619047619,3.8059797684271937,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,1.325430076,-3.4288970857030816E-13,13000.0,94.03846153846153,17.935189081397027,-112.32876712328745,-115.87743732590548,13000.0,-1.0,42.0,312.0,165633.4761904762,366865.00939288404,-97.9285714285714,150.33205406976995,27.833333333333336,42.95426760743403,14.404761904761905,21.485173019969505,14.404761904761905,21.485173019969505,4.380952380952381,3.7086081864499993,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,1.447460083,-3.7445895865352615E-13,14000.0,94.07142857142857,17.436055575055747,-106.98254364089736,-110.12658227848074,14000.0,-1.0,42.0,342.0,197628.54761904766,405199.5871606739,-111.83333333333333,159.52015189871344,31.80952380952381,45.57718625677528,16.404761904761905,22.78859312838764,16.404761904761905,22.78859312838764,4.785714285714286,3.803308664100915,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.549479238,-4.008513870131638E-13,15000.0,94.00666666666667,16.668149769674272,-102.9345372460497,-108.10185185185132,15000.0,-1.0,42.0,370.0,228118.880952381,469295.18963463174,-124.26190476190477,178.32295442351824,35.35714285714286,50.95182872257105,18.166666666666668,25.48449233540853,18.166666666666668,25.48449233540853,4.9523809523809526,4.084189509424927,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,1.632454721,-4.2231720380692016E-13,16000.0,94.0625,16.864614571773565,-99.5798319327726,-104.30107526881712,16000.0,-1.0,42.0,395.0,252607.6666666667,540321.6268793474,-133.42857142857142,193.86192507305648,37.976190476190474,55.39150595059706,19.476190476190474,27.704220067054933,19.476190476190474,27.704220067054933,5.095238095238095,4.258761550254721,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,1.709562505,-4.4226504267296854E-13,17000.0,94.2235294117647,16.551187653454697,-100.0,-105.01043841336151,17000.0,-1.0,42.0,420.0,282681.5952380952,629284.2536081558,-142.09523809523807,220.0848849015694,40.45238095238094,62.883633289244784,20.71428571428572,31.449755293387216,20.71428571428572,31.449755293387216,5.19047619047619,4.28973872214816,0.0,0.0,0.0,0.0,1.0,0.0
