race,driver,suggestion_lap,suggestion_label,totalScore,matched_pit_lap,match_distance,nearest_future_pit_lap,nearest_future_pit_distance,pit_in_window_before_consumption,outcome_class,exclusion_reason
2022 :: Abu Dhabi Grand Prix,ALB,12,PIT_NOW,1.0,12.0,0.0,12.0,0.0,True,1,
2022 :: Abu Dhabi Grand Prix,BOT,10,PIT_NOW,1.0,,,30.0,20.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,BOT,11,PIT_NOW,1.0,,,30.0,19.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,GAS,8,PIT_NOW,1.0,,,14.0,6.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,GAS,9,PIT_NOW,1.0,,,14.0,5.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,MAG,14,PIT_NOW,1.0,,,28.0,14.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,MSC,11,PIT_NOW,1.0,,,14.0,3.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,MSC,23,PIT_NOW,1.0,,,34.0,11.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,MSC,24,PIT_NOW,1.0,,,34.0,10.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,MSC,46,PIT_NOW,1.0,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,NOR,10,PIT_NOW,1.0,,,15.0,5.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,PER,13,PIT_NOW,1.0,15.0,2.0,15.0,2.0,True,1,
2022 :: Abu Dhabi Grand Prix,RIC,29,PIT_NOW,1.0,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,RUS,10,PIT_NOW,1.0,,,15.0,5.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,RUS,11,PIT_NOW,1.0,,,15.0,4.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,RUS,12,PIT_NOW,1.0,,,15.0,3.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,RUS,13,PIT_NOW,1.0,15.0,2.0,15.0,2.0,True,1,
2022 :: Abu Dhabi Grand Prix,RUS,14,PIT_NOW,1.0,,,15.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,SAI,11,PIT_NOW,1.0,,,17.0,6.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,SAI,12,PIT_NOW,1.0,,,17.0,5.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,SAI,13,PIT_NOW,1.0,,,17.0,4.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,SAI,14,PIT_NOW,1.0,,,17.0,3.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,SAI,15,PIT_NOW,1.0,17.0,2.0,17.0,2.0,True,1,
2022 :: Abu Dhabi Grand Prix,STR,21,PIT_NOW,1.0,,,40.0,19.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,TSU,9,PIT_NOW,1.0,,,14.0,5.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,TSU,11,PIT_NOW,1.0,,,14.0,3.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,TSU,13,PIT_NOW,1.0,14.0,1.0,14.0,1.0,True,0,
2022 :: Abu Dhabi Grand Prix,TSU,46,PIT_NOW,1.0,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,VET,14,PIT_NOW,1.0,,,25.0,11.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,VET,15,PIT_NOW,1.0,,,25.0,10.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,VET,16,PIT_NOW,1.0,,,25.0,9.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,VET,17,PIT_NOW,1.0,,,25.0,8.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,VET,32,PIT_NOW,1.0,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,ZHO,11,PIT_NOW,1.0,,,15.0,4.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,ZHO,13,PIT_NOW,1.0,15.0,2.0,15.0,2.0,True,1,
2022 :: Abu Dhabi Grand Prix,ZHO,14,PIT_NOW,1.0,,,15.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
