feature,importance_drop_f1,importance_std
lapTime,0.03170429276790202,0.003665472365651624
gapBehind,0.029808292670829833,0.00597869122477568
gapAhead,0.02081432897644043,0.0021939622275985227
speedTrap,0.017333798995588505,0.004209835899081962
position,0.016298466003834406,0.004782118839799127
tire_life_ratio,0.013033458601974501,0.0038041229328026976
humidity,0.012757836487843793,0.003389572867086138
gap_to_physical_car,0.012692459775517317,0.00369986321273327
trackTemp,0.010735121359542122,0.0027996888928264797
gapAhead_trend,0.007435666737346874,0.0010862917109288035
tyreLife,0.005616059674397716,0.0048417016035945185
positions_lost,0.005009677883517316,0.003231337009094586
airTemp,0.004853234238034359,0.001275348784543175
pace_drop_ratio,0.0030042838722850462,0.002268099502423013
pitLoss,0.0024458204493154447,0.0007906293182348285
pace_trend,0.0017529255262488496,0.0016992105436567822
has_drop_zone_data,-0.000399806427237831,0.0023568500201764167
