protocol,year,score_type,pr_auc_ap,pr_auc_trapz,prevalence,n_rows,n_positive
ml_pretrain,overall,raw_proba,0.4099198094696038,0.4098716305419447,0.07498907926030189,103015,7725
ml_pretrain,overall,calibrated_proba,0.4012778852512682,0.40204167439645655,0.07498907926030189,103015,7725
ml_pretrain,2023,raw_proba,0.23226600722758253,0.23212216538031305,0.05349918079379409,29907,1600
ml_pretrain,2023,calibrated_proba,0.21214754056391,0.21445479555608557,0.05349918079379409,29907,1600
ml_pretrain,2024,raw_proba,0.4270341461008295,0.4269271665715636,0.07861247329943741,33239,2613
ml_pretrain,2024,calibrated_proba,0.4075852499977972,0.4095551773499183,0.07861247329943741,33239,2613
ml_pretrain,2025,raw_proba,0.48202992442148207,0.48191136053564876,0.08808848980410845,39869,3512
ml_pretrain,2025,calibrated_proba,0.4710639471747108,0.47221035815114687,0.08808848980410845,39869,3512
ml_racewise,overall,raw_proba,0.3889482559265201,0.3889013119579822,0.06701102096175555,123129,8251
ml_racewise,overall,calibrated_proba,0.3767496048301244,0.37773583268460287,0.06701102096175555,123129,8251
ml_racewise,2022,raw_proba,0.0592344083124154,0.058766682806980594,0.026150939644029033,20114,526
ml_racewise,2022,calibrated_proba,0.06535181325881621,0.06730907338870029,0.026150939644029033,20114,526
ml_racewise,2023,raw_proba,0.23226600722758253,0.23212216538031305,0.05349918079379409,29907,1600
ml_racewise,2023,calibrated_proba,0.21214754056391,0.21445479555608557,0.05349918079379409,29907,1600
ml_racewise,2024,raw_proba,0.4270341461008295,0.4269271665715636,0.07861247329943741,33239,2613
ml_racewise,2024,calibrated_proba,0.4075852499977972,0.4095551773499183,0.07861247329943741,33239,2613
ml_racewise,2025,raw_proba,0.48202992442148207,0.48191136053564876,0.08808848980410845,39869,3512
ml_racewise,2025,calibrated_proba,0.4710639471747108,0.47221035815114687,0.08808848980410845,39869,3512
