feature,mean_abs_shap,mean_shap,std_shap,mean_feature_value
tire_life_ratio,0.3590448,-0.09409632,0.41408658,0.46841722222222226
humidity,0.31307,-0.13668215,0.48781195,53.9804
trackTemp,0.28119072,-0.19737418,0.4505252,35.25468000000001
airTemp,0.24332322,-0.12114157,0.31559327,24.01612
lapTime,0.21326916,-0.1307748,0.25592107,92.129208
speedTrap,0.16649082,-0.08205165,0.22166182,299.44184184184184
position,0.14619343,-0.072215214,0.18025213,10.4174
tyreLife,0.14566664,-0.116753556,0.20288011,14.9222
gapBehind,0.12611966,-0.0878219,0.1389146,124.8002632
gap_to_physical_car,0.12290102,-0.05201183,0.13836569,628.3779562
gapAhead,0.11679163,-0.073532365,0.13652304,105.18133800000001
pace_drop_ratio,0.10960951,-0.053496998,0.1442607,1.0107851006479505
gapAhead_trend,0.10940563,-0.05657084,0.11633425,1.6023842
positions_lost,0.095011696,-0.046327528,0.14954808,2.0724
pitLoss,0.09093595,-0.047940366,0.11502183,22.5492
pace_trend,0.084664494,-0.058752228,0.15010919,0.0011783398445838274
has_drop_zone_data,0.0040986924,-0.00064865197,0.005838239,0.3878
