threshold,actionable,scored,excluded,tp,fp,precision,scored_rate,tp_per_actionable,meets_precision_floor,precision_delta_vs_floor,scored_vs_sde_ratio,no_match_count,no_match_rate,no_match_one_lap_beyond,no_match_two_to_three_laps_beyond,no_match_four_plus_laps_beyond,no_match_pit_in_window_but_consumed,excluded_incident,excluded_missing_post_gap,excluded_weather
0.05,23108,3362,19746,2872,490,0.8542534205829864,0.14549073913796087,0.12428596157175004,1,0.13933466135108086,4.96602658788774,19208,0.9727539754887066,1935,2782,5544,3872,161,282,91
0.075,13980,2816,11164,2460,356,0.8735795454545454,0.20143061516452074,0.1759656652360515,1,0.1586607862226399,4.159527326440177,10800,0.9673951988534576,1295,1724,2919,2808,109,190,63
0.1,10262,2478,7784,2196,282,0.8861985472154964,0.24147339699863574,0.2139933736113818,1,0.1712797879835909,3.6602658788774005,7522,0.9663412127440905,982,1226,1851,2304,77,142,42
0.125,8462,2289,6173,2046,243,0.8938401048492791,0.27050342708579533,0.24178681162845664,1,0.1789213456173736,3.38109305760709,5950,0.9638749392515794,794,961,1334,2006,70,115,38
0.15,7150,2135,5015,1924,211,0.9011709601873537,0.2986013986013986,0.2690909090909091,1,0.18625220095544814,3.153618906942393,4832,0.9635094715852442,675,790,1085,1794,59,96,28
0.175,6473,2025,4448,1830,195,0.9037037037037037,0.3128379422215356,0.282712807044647,1,0.18878494447179817,2.9911373707533233,4287,0.9638039568345323,609,692,922,1653,51,82,28
0.2,5490,1862,3628,1693,169,0.9092373791621912,0.33916211293260473,0.30837887067395264,1,0.19431861993028565,2.7503692762186116,3497,0.9638919514884233,505,568,676,1435,42,65,24
0.22499999999999998,4790,1716,3074,1571,145,0.9155011655011654,0.3582463465553236,0.3279749478079332,1,0.20058240626925994,2.534711964549483,2958,0.9622641509433962,449,480,548,1270,39,56,21
0.25,4149,1595,2554,1468,127,0.9203761755485893,0.3844299831284647,0.35382019763798506,1,0.2054574163166838,2.3559822747415065,2456,0.961628817541112,379,367,424,1122,30,47,21
0.27499999999999997,3773,1521,2252,1404,117,0.9230769230769231,0.4031274847601378,0.3721176782401272,1,0.20815816384501762,2.2466765140324965,2163,0.9604795737122558,343,323,341,1027,28,41,20
0.3,3357,1421,1936,1319,102,0.928219563687544,0.42329460828120347,0.3929103366100685,1,0.21330080445563848,2.098966026587888,1856,0.9586776859504132,288,275,273,917,23,39,18
0.32499999999999996,3040,1324,1716,1230,94,0.9290030211480362,0.4355263157894737,0.40460526315789475,1,0.21408426191613072,1.9556868537666174,1642,0.9568764568764568,256,236,223,840,18,38,18
0.35,2786,1249,1537,1165,84,0.932746196957566,0.4483129935391242,0.41816223977028,1,0.2178274377256605,1.844903988183161,1464,0.9525048796356539,238,214,187,770,17,38,18
0.37499999999999994,2437,1158,1279,1086,72,0.9378238341968912,0.47517439474764056,0.44562987279441935,1,0.22290507496498568,1.7104874446085672,1221,0.9546520719311963,206,180,142,664,15,32,11
0.39999999999999997,2177,1081,1096,1018,63,0.9417206290471786,0.49655489205328435,0.4676159853008728,1,0.22680186981527306,1.5967503692762186,1047,0.9552919708029197,178,154,125,572,12,28,9
0.42499999999999993,1994,1004,990,946,58,0.9422310756972112,0.5035105315947843,0.4744232698094283,1,0.2273123164653057,1.48301329394387,943,0.9525252525252526,164,135,105,521,12,26,9
0.44999999999999996,1770,913,857,862,51,0.9441401971522454,0.515819209039548,0.48700564971751414,1,0.2292214379203399,1.3485967503692762,814,0.9498249708284714,144,111,77,467,9,25,9
0.475,1655,873,782,826,47,0.9461626575028637,0.5274924471299094,0.4990936555891239,1,0.23124389827095815,1.2895125553914328,742,0.948849104859335,133,95,67,436,8,23,9
0.49999999999999994,1474,784,690,743,41,0.9477040816326531,0.5318860244233379,0.5040705563093623,1,0.23278532240074756,1.1580502215657311,660,0.9565217391304348,116,79,57,399,6,20,4
0.525,1208,669,539,635,34,0.9491778774289985,0.5538079470198676,0.5256622516556292,1,0.234259118197093,0.9881831610044313,517,0.9591836734693877,88,68,40,313,4,14,4
0.5499999999999999,1100,624,476,591,33,0.9471153846153846,0.5672727272727273,0.5372727272727272,1,0.23219662538347907,0.9217134416543574,454,0.9537815126050421,75,60,31,281,4,14,4
0.575,961,579,382,549,30,0.9481865284974094,0.6024973985431842,0.5712799167533819,1,0.23326776926550385,0.8552437223042836,363,0.9502617801047121,60,41,15,242,4,11,4
0.6,872,534,338,507,27,0.949438202247191,0.6123853211009175,0.5814220183486238,1,0.2345194430152855,0.7887740029542097,319,0.9437869822485208,53,31,9,221,4,11,4
0.625,774,488,286,466,22,0.9549180327868853,0.6304909560723514,0.6020671834625323,1,0.23999927355497974,0.7208271787296898,272,0.951048951048951,45,28,9,189,3,9,2
0.65,733,467,266,446,21,0.9550321199143469,0.6371077762619373,0.6084583901773534,1,0.24011336068244138,0.689807976366322,252,0.9473684210526315,42,24,8,177,3,9,2
0.675,664,425,239,404,21,0.9505882352941176,0.6400602409638554,0.608433734939759,1,0.2356694760622121,0.6277695716395865,225,0.9414225941422594,35,22,7,160,3,9,2
0.7,539,359,180,342,17,0.9526462395543176,0.6660482374768089,0.634508348794063,1,0.2377274803224121,0.5302806499261448,168,0.9333333333333333,26,13,5,123,3,7,2
0.725,474,318,156,302,16,0.949685534591195,0.6708860759493671,0.6371308016877637,1,0.23476677535928947,0.46971935007385524,144,0.9230769230769231,19,11,5,108,3,7,2
0.75,447,301,146,286,15,0.9501661129568106,0.6733780760626398,0.639821029082774,1,0.23524735372490513,0.4446085672082718,134,0.9178082191780822,16,10,5,102,3,7,2
0.775,335,225,110,216,9,0.96,0.6716417910447762,0.6447761194029851,1,0.24508124076809445,0.33234859675036926,102,0.9272727272727272,10,6,3,82,1,5,2
0.7999999999999999,284,192,92,184,8,0.9583333333333334,0.676056338028169,0.647887323943662,1,0.24341457410142786,0.28360413589364847,86,0.9347826086956522,9,4,3,69,1,3,2
0.825,257,178,79,171,7,0.9606741573033708,0.6926070038910506,0.6653696498054474,1,0.2457553980714653,0.26292466765140327,74,0.9367088607594937,8,3,3,59,1,2,2
0.85,225,162,63,156,6,0.9629629629629629,0.72,0.6933333333333334,1,0.2480442037310574,0.23929098966026588,60,0.9523809523809523,6,1,0,52,0,1,2
0.875,172,125,47,119,6,0.952,0.7267441860465116,0.6918604651162791,1,0.23708124076809445,0.18463810930576072,44,0.9361702127659575,2,1,0,40,0,1,2
0.9,145,107,38,102,5,0.9532710280373832,0.7379310344827587,0.7034482758620689,1,0.23835226880547766,0.15805022156573117,35,0.9210526315789473,2,1,0,31,0,1,2
0.9249999999999999,111,82,29,78,4,0.9512195121951219,0.7387387387387387,0.7027027027027027,1,0.2363007529632164,0.12112259970457903,26,0.896551724137931,0,0,0,25,0,1,2
0.95,102,74,28,70,4,0.9459459459459459,0.7254901960784313,0.6862745098039216,1,0.23102718671404043,0.10930576070901034,25,0.8928571428571429,0,0,0,24,0,1,2
