threshold,actionable,scored,excluded,tp,fp,precision,scored_rate,tp_per_actionable,meets_precision_floor,precision_delta_vs_floor,scored_vs_sde_ratio,no_match_count,no_match_rate,no_match_one_lap_beyond,no_match_two_to_three_laps_beyond,no_match_four_plus_laps_beyond,no_match_pit_in_window_but_consumed,excluded_incident,excluded_missing_post_gap,excluded_weather
0.05,26810,3548,23262,2986,562,0.8416009019165727,0.13233867959716525,0.11137635210742261,1,0.12668214268466715,5.240768094534712,22640,0.9732611125440633,2130,3123,6586,4094,196,327,95
0.075,15427,2927,12500,2531,396,0.864707892039631,0.1897322875478058,0.16406300641732027,1,0.14978913280772554,4.323485967503693,12088,0.96704,1389,1868,3327,2906,129,214,67
0.1,11112,2571,8541,2254,317,0.8767016725009724,0.23137149028077753,0.20284377249820015,1,0.1617829132690669,3.797636632200886,8251,0.9660461304296921,1040,1319,2112,2363,88,156,45
0.125,8738,2343,6395,2077,266,0.8864703371745625,0.26813916227969786,0.2376974135957885,1,0.17155157794265696,3.4608567208271785,6158,0.9629397967161846,819,1005,1395,2033,74,122,41
0.15,7387,2182,5205,1951,231,0.8941338221814848,0.2953837823202924,0.26411263029646675,1,0.17921506294957934,3.2230428360413588,5010,0.962536023054755,700,830,1137,1813,61,103,31
0.175,6661,2067,4594,1854,213,0.8969521044992743,0.31031376670169647,0.27833658609818346,1,0.1820333452673688,3.0531757754800593,4423,0.9627775359164127,630,727,959,1665,53,87,31
0.2,5617,1887,3730,1706,181,0.9040805511393747,0.3359444543350543,0.30372084742745237,1,0.18916179190746918,2.787296898079764,3592,0.9630026809651474,520,591,704,1444,44,70,24
0.22499999999999998,4856,1733,3123,1580,153,0.9117137911136757,0.3568780889621087,0.32537067545304776,1,0.19679503188177017,2.5598227474150663,3003,0.9615754082612872,459,493,558,1273,40,59,21
0.25,4215,1612,2603,1477,135,0.9162531017369727,0.38244365361803084,0.35041518386714116,1,0.2013343425050672,2.38109305760709,2501,0.9608144448713023,389,380,434,1125,31,50,21
0.27499999999999997,3814,1535,2279,1412,123,0.9198697068403909,0.402464604090194,0.3702149973780808,1,0.20495094760848542,2.2673559822747413,2187,0.9596314172882844,349,329,344,1029,28,44,20
0.3,3395,1435,1960,1327,108,0.9247386759581881,0.422680412371134,0.39086892488954345,1,0.20981991672628264,2.119645494830133,1877,0.9576530612244898,293,281,275,919,23,42,18
0.32499999999999996,3077,1338,1739,1238,100,0.9252615844544095,0.43483912902177446,0.40233994150146246,1,0.21034282522250403,1.9763663220088625,1663,0.9562967222541691,261,242,225,842,18,40,18
0.35,2823,1263,1560,1173,90,0.9287410926365796,0.44739638682252925,0.4155154091392136,1,0.21382233340467405,1.8655834564254061,1485,0.9519230769230769,243,220,189,772,17,40,18
0.37499999999999994,2474,1172,1302,1094,78,0.9334470989761092,0.4737267582861762,0.4421988682295877,1,0.21852833974420371,1.7311669128508125,1242,0.9539170506912442,211,186,144,666,15,34,11
