threshold,year,actionable,scored,tp,fp,precision,scored_rate,tp_per_actionable
0.05,2022,3702,186,114,72,0.6129032258064516,0.050243111831442464,0.03079416531604538
0.05,2023,4319,480,393,87,0.81875,0.11113683723084047,0.09099328548275064
0.05,2024,7525,1122,959,163,0.8547237076648841,0.14910299003322258,0.12744186046511627
0.05,2025,11264,1760,1520,240,0.8636363636363636,0.15625,0.13494318181818182
0.075,2022,1447,111,71,40,0.6396396396396397,0.07671043538355218,0.04906703524533518
0.075,2023,1417,251,213,38,0.848605577689243,0.1771347918136909,0.15031757233592097
0.075,2024,4773,966,844,122,0.8737060041407867,0.2023884349465745,0.17682799078147915
0.075,2025,7790,1599,1403,196,0.8774233896185115,0.20526315789473684,0.18010269576379975
0.1,2022,850,93,58,35,0.6236559139784946,0.10941176470588235,0.06823529411764706
0.1,2023,920,196,170,26,0.8673469387755102,0.21304347826086956,0.18478260869565216
0.1,2024,3411,837,748,89,0.8936678614097969,0.24538258575197888,0.21929053063617707
0.1,2025,5931,1445,1278,167,0.8844290657439446,0.2436351374135896,0.21547799696509864
0.125,2022,276,54,31,23,0.5740740740740741,0.1956521739130435,0.11231884057971014
0.125,2023,601,157,141,16,0.8980891719745223,0.2612312811980033,0.23460898502495842
0.125,2024,2775,774,694,80,0.896640826873385,0.2789189189189189,0.2500900900900901
0.125,2025,5086,1358,1211,147,0.8917525773195877,0.2670074714903657,0.23810460086511995
0.15,2022,237,47,27,20,0.574468085106383,0.19831223628691982,0.11392405063291139
0.15,2023,357,132,122,10,0.9242424242424242,0.3697478991596639,0.34173669467787116
0.15,2024,2350,734,664,70,0.9046321525885559,0.3123404255319149,0.2825531914893617
0.15,2025,4443,1269,1138,131,0.8967691095350669,0.28561782579338285,0.25613324330407383
0.175,2022,188,42,24,18,0.5714285714285714,0.22340425531914893,0.1276595744680851
0.175,2023,344,130,120,10,0.9230769230769231,0.37790697674418605,0.3488372093023256
0.175,2024,2194,698,633,65,0.9068767908309455,0.31814038286235186,0.288514129443938
0.175,2025,3935,1197,1077,120,0.899749373433584,0.30419313850063534,0.27369758576874204
0.2,2022,127,25,13,12,0.52,0.1968503937007874,0.10236220472440945
0.2,2023,308,127,117,10,0.9212598425196851,0.41233766233766234,0.37987012987012986
0.2,2024,1927,652,597,55,0.9156441717791411,0.33834976647638815,0.30980799169693823
0.2,2025,3255,1083,979,104,0.9039704524469068,0.3327188940092166,0.30076804915514593
0.22499999999999998,2022,66,17,9,8,0.5294117647058824,0.25757575757575757,0.13636363636363635
0.22499999999999998,2023,234,108,101,7,0.9351851851851852,0.46153846153846156,0.43162393162393164
0.22499999999999998,2024,1613,587,542,45,0.9233390119250426,0.36391816491010537,0.3360198388096714
0.22499999999999998,2025,2943,1021,928,93,0.9089128305582762,0.34692490655793407,0.3153244988107373
0.25,2022,66,17,9,8,0.5294117647058824,0.25757575757575757,0.13636363636363635
0.25,2023,212,102,95,7,0.9313725490196079,0.4811320754716981,0.4481132075471698
0.25,2024,1392,551,513,38,0.9310344827586207,0.3958333333333333,0.36853448275862066
0.25,2025,2545,942,860,82,0.9129511677282378,0.3701375245579568,0.3379174852652259
0.27499999999999997,2022,41,14,8,6,0.5714285714285714,0.34146341463414637,0.1951219512195122
0.27499999999999997,2023,183,93,87,6,0.9354838709677419,0.5081967213114754,0.47540983606557374
0.27499999999999997,2024,1324,534,499,35,0.9344569288389513,0.4033232628398791,0.3768882175226586
0.27499999999999997,2025,2266,894,818,76,0.9149888143176734,0.39452780229479256,0.3609885260370697
0.3,2022,38,14,8,6,0.5714285714285714,0.3684210526315789,0.21052631578947367
0.3,2023,178,90,85,5,0.9444444444444444,0.5056179775280899,0.47752808988764045
0.3,2024,1138,499,468,31,0.9378757515030061,0.4384885764499121,0.4112478031634446
0.3,2025,2041,832,766,66,0.9206730769230769,0.40764331210191085,0.3753062224399804
0.32499999999999996,2022,37,14,8,6,0.5714285714285714,0.3783783783783784,0.21621621621621623
0.32499999999999996,2023,163,85,80,5,0.9411764705882353,0.5214723926380368,0.49079754601226994
0.32499999999999996,2024,1029,459,428,31,0.9324618736383442,0.446064139941691,0.4159378036929057
0.32499999999999996,2025,1848,780,722,58,0.9256410256410257,0.42207792207792205,0.3906926406926407
0.35,2022,37,14,8,6,0.5714285714285714,0.3783783783783784,0.21621621621621623
0.35,2023,149,77,73,4,0.948051948051948,0.5167785234899329,0.4899328859060403
0.35,2024,945,431,403,28,0.9350348027842227,0.4560846560846561,0.4264550264550265
0.35,2025,1692,741,689,52,0.9298245614035088,0.4379432624113475,0.40721040189125296
0.37499999999999994,2022,37,14,8,6,0.5714285714285714,0.3783783783783784,0.21621621621621623
0.37499999999999994,2023,143,75,72,3,0.96,0.5244755244755245,0.5034965034965035
0.37499999999999994,2024,792,388,363,25,0.9355670103092784,0.4898989898989899,0.4583333333333333
0.37499999999999994,2025,1502,695,651,44,0.9366906474820144,0.4627163781624501,0.43342210386151797
0.39999999999999997,2022,37,14,8,6,0.5714285714285714,0.3783783783783784,0.21621621621621623
0.39999999999999997,2023,133,74,71,3,0.9594594594594594,0.556390977443609,0.5338345864661654
0.39999999999999997,2024,711,359,338,21,0.9415041782729805,0.5049226441631505,0.47538677918424754
0.39999999999999997,2025,1333,648,609,39,0.9398148148148148,0.48612153038259565,0.4568642160540135
0.42499999999999993,2022,14,4,3,1,0.75,0.2857142857142857,0.21428571428571427
0.42499999999999993,2023,128,73,70,3,0.958904109589041,0.5703125,0.546875
0.42499999999999993,2024,633,323,303,20,0.9380804953560371,0.5102685624012638,0.4786729857819905
0.42499999999999993,2025,1233,608,573,35,0.9424342105263158,0.4931062449310625,0.46472019464720193
0.44999999999999996,2022,14,4,3,1,0.75,0.2857142857142857,0.21428571428571427
0.44999999999999996,2023,114,64,61,3,0.953125,0.5614035087719298,0.5350877192982456
0.44999999999999996,2024,518,285,269,16,0.9438596491228071,0.5501930501930502,0.5193050193050193
0.44999999999999996,2025,1138,564,532,32,0.9432624113475178,0.4956063268892794,0.46748681898066785
0.475,2022,14,4,3,1,0.75,0.2857142857142857,0.21428571428571427
0.475,2023,113,63,60,3,0.9523809523809523,0.5575221238938053,0.5309734513274337
0.475,2024,497,274,259,15,0.9452554744525548,0.5513078470824949,0.5211267605633803
0.475,2025,1045,536,507,29,0.9458955223880597,0.5129186602870813,0.4851674641148325
0.49999999999999994,2022,13,3,2,1,0.6666666666666666,0.23076923076923078,0.15384615384615385
0.49999999999999994,2023,112,63,60,3,0.9523809523809523,0.5625,0.5357142857142857
0.49999999999999994,2024,479,261,247,14,0.946360153256705,0.5448851774530271,0.5156576200417536
0.49999999999999994,2025,883,460,436,24,0.9478260869565217,0.5209513023782559,0.49377123442808607
0.525,2022,13,3,2,1,0.6666666666666666,0.23076923076923078,0.15384615384615385
0.525,2023,105,58,55,3,0.9482758620689655,0.5523809523809524,0.5238095238095238
0.525,2024,435,237,225,12,0.9493670886075949,0.5448275862068965,0.5172413793103449
0.525,2025,668,374,355,19,0.9491978609625669,0.5598802395209581,0.531437125748503
0.5499999999999999,2022,13,3,2,1,0.6666666666666666,0.23076923076923078,0.15384615384615385
0.5499999999999999,2023,98,54,51,3,0.9444444444444444,0.5510204081632653,0.5204081632653061
0.5499999999999999,2024,383,217,205,12,0.9447004608294931,0.566579634464752,0.5352480417754569
0.5499999999999999,2025,619,353,335,18,0.9490084985835694,0.5702746365105008,0.5411954765751211
0.575,2022,13,3,2,1,0.6666666666666666,0.23076923076923078,0.15384615384615385
0.575,2023,79,49,46,3,0.9387755102040817,0.620253164556962,0.5822784810126582
0.575,2024,330,200,190,10,0.95,0.6060606060606061,0.5757575757575758
0.575,2025,552,330,313,17,0.9484848484848485,0.5978260869565217,0.5670289855072463
0.6,2022,13,3,2,1,0.6666666666666666,0.23076923076923078,0.15384615384615385
0.6,2023,78,48,45,3,0.9375,0.6153846153846154,0.5769230769230769
0.6,2024,304,182,173,9,0.9505494505494505,0.5986842105263158,0.569078947368421
0.6,2025,490,304,289,15,0.9506578947368421,0.6204081632653061,0.5897959183673469
0.625,2022,13,3,2,1,0.6666666666666666,0.23076923076923078,0.15384615384615385
0.625,2023,76,48,45,3,0.9375,0.631578947368421,0.5921052631578947
0.625,2024,283,172,163,9,0.9476744186046512,0.607773851590106,0.5759717314487632
0.625,2025,415,268,258,10,0.9626865671641791,0.6457831325301204,0.6216867469879518
0.65,2022,12,3,2,1,0.6666666666666666,0.25,0.16666666666666666
0.65,2023,74,47,44,3,0.9361702127659575,0.6351351351351351,0.5945945945945946
0.65,2024,254,158,150,8,0.9493670886075949,0.6220472440944882,0.5905511811023622
0.65,2025,405,262,252,10,0.9618320610687023,0.6469135802469136,0.6222222222222222
0.675,2022,11,3,2,1,0.6666666666666666,0.2727272727272727,0.18181818181818182
0.675,2023,73,47,44,3,0.9361702127659575,0.6438356164383562,0.6027397260273972
0.675,2024,216,136,128,8,0.9411764705882353,0.6296296296296297,0.5925925925925926
0.675,2025,375,242,232,10,0.9586776859504132,0.6453333333333333,0.6186666666666667
0.7,2022,11,3,2,1,0.6666666666666666,0.2727272727272727,0.18181818181818182
0.7,2023,70,45,42,3,0.9333333333333333,0.6428571428571429,0.6
0.7,2024,167,112,106,6,0.9464285714285714,0.6706586826347305,0.6347305389221557
0.7,2025,302,202,194,8,0.9603960396039604,0.6688741721854304,0.6423841059602649
0.725,2022,10,3,2,1,0.6666666666666666,0.3,0.2
0.725,2023,70,45,42,3,0.9333333333333333,0.6428571428571429,0.6
0.725,2024,128,87,82,5,0.9425287356321839,0.6796875,0.640625
0.725,2025,276,186,178,8,0.956989247311828,0.6739130434782609,0.644927536231884
0.75,2022,10,3,2,1,0.6666666666666666,0.3,0.2
0.75,2023,69,45,42,3,0.9333333333333333,0.6521739130434783,0.6086956521739131
0.75,2024,127,86,82,4,0.9534883720930233,0.6771653543307087,0.6456692913385826
0.75,2025,251,170,162,8,0.9529411764705882,0.6772908366533864,0.6454183266932271
0.775,2022,10,3,2,1,0.6666666666666666,0.3,0.2
0.775,2023,59,38,35,3,0.9210526315789473,0.6440677966101694,0.5932203389830508
0.775,2024,119,79,76,3,0.9620253164556962,0.6638655462184874,0.6386554621848739
0.775,2025,157,108,105,3,0.9722222222222222,0.6878980891719745,0.6687898089171974
