bin_index,count,mean_pred,observed_rate,bin_lower,bin_upper
0,2469,0.02463868458695522,0.002430133657351154,0.0,0.0397519525737435
1,2469,0.05459946247541972,0.004860267314702308,0.0397519525737435,0.06983484073414341
2,2469,0.08857590089105848,0.005265289590927501,0.06983484073414341,0.10930383809203764
3,2468,0.13453579911290206,0.015802269043760128,0.10930383809203764,0.16224759572461764
4,2469,0.19737081130257897,0.016200891049007696,0.16224759572461764,0.2358327101612525
5,2469,0.2745729044894452,0.029971648440664238,0.2358327101612525,0.3132908348162551
6,2468,0.3555943993158248,0.029173419773095625,0.3132908348162551,0.3996182292043065
7,2469,0.4456345541774587,0.0530579181855002,0.3996182292043065,0.49358730331120343
8,2469,0.5484613868823872,0.08181449979748887,0.49358730331120343,0.6134028503989712
9,2469,0.7016233720604815,0.202106115836371,0.6134028503989712,1.0
