scope,score_type,bin_index,bin_lower,bin_upper,count,weight,mean_pred,observed_rate,abs_gap
overall,raw,0,0.0,0.1,43731,0.4245109935446294,0.033214198026167104,0.0190711394662825,0.014143058559884604
overall,raw,1,0.1,0.2,13909,0.1350191719652478,0.14575654136490895,0.03537278021424976,0.11038376115065919
overall,raw,2,0.2,0.30000000000000004,9239,0.08968596806290347,0.24810072090644084,0.04188765017859076,0.20621307072785008
overall,raw,3,0.30000000000000004,0.4,7529,0.07308644372178809,0.3486987311877424,0.05179970779652012,0.2968990233912223
overall,raw,4,0.4,0.5,6650,0.06455370577100422,0.44930495646663177,0.05233082706766917,0.3969741293989626
overall,raw,5,0.5,0.6000000000000001,5911,0.057379993204873074,0.5493377461447124,0.0828962950431399,0.46644145110157254
overall,raw,6,0.6000000000000001,0.7000000000000001,5219,0.050662524875018204,0.6494200553878511,0.1276106533818739,0.5218094020059771
overall,raw,7,0.7000000000000001,0.8,4701,0.04563413095180314,0.7498326519782734,0.22144224633056797,0.5283904056477055
overall,raw,8,0.8,0.9,4339,0.042120079600058244,0.849265980017188,0.4201428900668357,0.4291230899503523
overall,raw,9,0.9,1.0,1787,0.01734698830267437,0.9271560528789343,0.7017347509792949,0.22542130189963938
overall,calibrated,0,0.0,0.1,90896,0.8823569383099549,0.026573129695750576,0.037735433902481956,0.01116230420673138
overall,calibrated,1,0.1,0.2,5900,0.057273212638936075,0.14047889256809717,0.21966101694915255,0.07918212438105537
overall,calibrated,2,0.2,0.30000000000000004,2338,0.022695723923700433,0.24689717570076153,0.3408896492728828,0.09399247357212126
overall,calibrated,3,0.30000000000000004,0.4,1432,0.013900888220162113,0.3529667636491237,0.45879888268156427,0.10583211903244055
overall,calibrated,4,0.4,0.5,995,0.009658787555210406,0.43858983332782736,0.48743718592964824,0.04884735260182088
overall,calibrated,5,0.5,0.6000000000000001,799,0.007756152016696598,0.5462891623014785,0.6745932415519399,0.1283040792504614
overall,calibrated,6,0.6000000000000001,0.7000000000000001,355,0.0034461000825122554,0.6565942861449486,0.7549295774647887,0.09833529131984009
overall,calibrated,7,0.7000000000000001,0.8,140,0.0013590253846527205,0.742371837233632,0.7714285714285715,0.029056734194939482
overall,calibrated,8,0.8,0.9,63,0.0006115614230937242,0.8378956327212461,0.9206349206349206,0.08273928791367446
overall,calibrated,9,0.9,1.0,97,0.0009416104450808135,0.9969125484856489,0.8969072164948454,0.10000533199080353
