scope,score_type,bin_index,bin_lower,bin_upper,count,weight,mean_pred,observed_rate,abs_gap
overall,raw,0,0.0,0.1,61645,0.500653785866855,0.026193273150974677,0.018882310000811097,0.00731096315016358
overall,raw,1,0.1,0.2,14692,0.11932201187372593,0.14568414684793798,0.03689082493874217,0.10879332190919581
overall,raw,2,0.2,0.30000000000000004,9682,0.07863297842100561,0.24801806802808488,0.04430902706052468,0.2037090409675602
overall,raw,3,0.30000000000000004,0.4,7812,0.0634456545574154,0.3486625685166287,0.053123399897593446,0.29553916861903523
overall,raw,4,0.4,0.5,6867,0.055770776989986115,0.4492788882656217,0.05475462356196301,0.39452426470365864
overall,raw,5,0.5,0.6000000000000001,6079,0.04937098490201334,0.5493217846989965,0.08389537752919889,0.4654264071697976
overall,raw,6,0.6000000000000001,0.7000000000000001,5361,0.043539702263479765,0.6494155654131621,0.12609587763476962,0.5233196877783926
overall,raw,7,0.7000000000000001,0.8,4799,0.038975383540839285,0.7497025674818754,0.21900395915815796,0.5306986083237174
overall,raw,8,0.8,0.9,4388,0.0356374209162748,0.8492275039065178,0.41727438468550593,0.43195311922101187
overall,raw,9,0.9,1.0,1804,0.014651300668404681,0.9271098775438089,0.6967849223946785,0.23032495514913043
overall,calibrated,0,0.0,0.1,109727,0.8911548051230823,0.02597201804992621,0.03478633335459823,0.00881431530467202
overall,calibrated,1,0.1,0.2,6933,0.056306800185171646,0.13872479203071889,0.2010673590076446,0.06234256697692572
overall,calibrated,2,0.2,0.30000000000000004,2564,0.020823688976601775,0.24517282677710267,0.32410296411856476,0.07893013734146209
overall,calibrated,3,0.30000000000000004,0.4,1436,0.011662565277067142,0.35296518734414245,0.4575208913649025,0.10455570402076003
overall,calibrated,4,0.4,0.5,1010,0.0082027791990514,0.4380997393544818,0.4871287128712871,0.049028973516805296
overall,calibrated,5,0.5,0.6000000000000001,804,0.006529737104987452,0.546001294376718,0.6703980099502488,0.12439671557353082
overall,calibrated,6,0.6000000000000001,0.7000000000000001,355,0.0028831550650131165,0.6565942861449486,0.7549295774647887,0.09833529131984009
overall,calibrated,7,0.7000000000000001,0.8,140,0.001137018898878412,0.742371837233632,0.7714285714285715,0.029056734194939482
overall,calibrated,8,0.8,0.9,63,0.0005116585044952854,0.8378956327212461,0.9206349206349206,0.08273928791367446
overall,calibrated,9,0.9,1.0,97,0.0007877916656514713,0.9969125484856489,0.8969072164948454,0.10000533199080353
