feature,class,n,mean,median,std,p10,p90
tire_life_ratio,TP,149,0.7076771066368382,0.65,0.34107394525618306,0.3977777777777778,1.0333333333333334
tire_life_ratio,FP,6,0.5944444444444444,0.5041666666666667,0.19386819373793598,0.43333333333333335,0.8458333333333333
pace_drop_ratio,TP,149,1.015114789435405,1.0101978352207908,0.03161380615027917,1.0030742613903592,1.0241891725385186
pace_drop_ratio,FP,6,1.0130128113036427,1.012411459183003,0.0061403482771961795,1.0064048859247727,1.0202220888031528
race_progress_pct,TP,149,0.392844095029849,0.323943661971831,0.19961078104915536,0.16666666666666666,0.6388888888888888
race_progress_pct,FP,6,0.3969099445155783,0.36422535211267604,0.15739286589749688,0.22791293213828423,0.5985915492957746
lapTime_vs_driver_prev_mean_pct,TP,149,0.9900418839564596,0.9979573648345685,0.055740003378475435,0.9292839310028128,1.0092752524566433
lapTime_vs_driver_prev_mean_pct,FP,6,0.9725427032720443,0.978257689279771,0.03622121433142729,0.9320208498839325,1.0073495706524294
lapTime,TP,149,90.80937583892616,91.817,14.142647398653398,71.365,106.16400000000014
lapTime,FP,6,84.95966666666666,78.3175,16.22212633685513,71.374,105.1875
trackTemp,TP,149,32.46912751677852,31.5,8.239729416037354,23.48,46.5
trackTemp,FP,6,34.900000000000006,32.85,5.538952969650491,31.0,40.849999999999994
airTemp,TP,149,22.710738255033558,22.3,4.8230172535596285,17.3,30.1
airTemp,FP,6,23.599999999999998,22.75,1.7126976771553502,22.1,25.95
humidity,TP,149,49.24832214765101,50.0,14.57952321527736,32.8,69.0
humidity,FP,6,45.833333333333336,51.5,11.894209608974538,31.0,55.0
speedTrap,TP,149,294.76510067114094,297.0,20.18817158560257,280.8,312.20000000000005
speedTrap,FP,6,302.5,303.0,9.827681991870378,291.5,313.0
gapAhead,TP,149,154.61195973154364,4.893,335.8632778651863,0.6496000000000002,999.0
gapAhead,FP,6,31.25283333333333,6.017,55.361362785540436,2.0135,85.728
gapBehind,TP,149,44.99930201342282,4.168,145.8540533103432,0.3410000000000001,102.97960000000002
gapBehind,FP,6,32.3325,7.468999999999999,56.27057134876691,3.3125,86.21600000000001
position,TP,149,7.154362416107382,6.0,5.143217116903347,1.0,15.0
position,FP,6,6.833333333333333,5.0,4.524623986832743,2.5,13.0
pitLoss,TP,149,22.110738255033556,22.0,0.9586162384204631,21.0,23.5
pitLoss,FP,6,22.083333333333332,21.5,1.2388390622765422,21.0,23.75
