model,case_origin,subtype_auto,race,driver,suggestion_lap,outcome_class,exclusion_reason,nearest_future_pit_distance,failure_type_manual,context_source,notes
Batch,excluded_no_match,unexpected_within_horizon,2025 :: Belgian Grand Prix,MAG,24,EXCLUDED,NO_MATCH_WITHIN_HORIZON,1.0,,,
MOA,excluded_no_match,far_miss_6_plus,2022 :: Australian Grand Prix,RIC,14,EXCLUDED,NO_MATCH_WITHIN_HORIZON,7.0,,,
MOA,excluded_no_match,near_miss_3_5,2022 :: Bahrain Grand Prix,RIC,41,EXCLUDED,NO_MATCH_WITHIN_HORIZON,3.0,,,
MOA,excluded_no_match,near_miss_3_5,2022 :: Hungarian Grand Prix,ZHO,23,EXCLUDED,NO_MATCH_WITHIN_HORIZON,4.0,,,
MOA,excluded_no_match,near_miss_3_5,2023 :: Austrian Grand Prix,LAT,9,EXCLUDED,NO_MATCH_WITHIN_HORIZON,3.0,,,
MOA,excluded_no_match,near_miss_3_5,2023 :: Spanish Grand Prix,TSU,27,EXCLUDED,NO_MATCH_WITHIN_HORIZON,5.0,,,
MOA,excluded_no_match,near_miss_3_5,2024 :: British Grand Prix,VER,30,EXCLUDED,NO_MATCH_WITHIN_HORIZON,3.0,,,
MOA,excluded_no_match,no_future,2024 :: Italian Grand Prix,COL,37,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
MOA,excluded_no_match,no_future,2024 :: Saudi Arabian Grand Prix,PIA,13,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
MOA,excluded_no_match,near_miss_3_5,2025 :: Australian Grand Prix,NOR,31,EXCLUDED,NO_MATCH_WITHIN_HORIZON,3.0,,,
MOA,excluded_no_match,far_miss_6_plus,2025 :: British Grand Prix,DEV,18,EXCLUDED,NO_MATCH_WITHIN_HORIZON,9.0,,,
MOA,excluded_no_match,near_miss_3_5,2025 :: British Grand Prix,STR,27,EXCLUDED,NO_MATCH_WITHIN_HORIZON,4.0,,,
MOA,excluded_no_match,near_miss_3_5,2025 :: Canadian Grand Prix,ZHO,46,EXCLUDED,NO_MATCH_WITHIN_HORIZON,3.0,,,
MOA,excluded_no_match,far_miss_6_plus,2025 :: Chinese Grand Prix,STR,28,EXCLUDED,NO_MATCH_WITHIN_HORIZON,7.0,,,
MOA,excluded_no_match,unexpected_within_horizon,2025 :: Hungarian Grand Prix,SAI,46,EXCLUDED,NO_MATCH_WITHIN_HORIZON,1.0,,,
SDE,excluded_no_match,no_future,2022 :: Australian Grand Prix,LAT,45,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
SDE,excluded_no_match,no_future,2022 :: Canadian Grand Prix,MAG,55,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
SDE,excluded_no_match,far_miss_6_plus,2022 :: São Paulo Grand Prix,HAM,23,EXCLUDED,NO_MATCH_WITHIN_HORIZON,6.0,,,
SDE,excluded_no_match,no_future,2022 :: United States Grand Prix,TSU,53,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
SDE,excluded_no_match,near_miss_3_5,2023 :: Belgian Grand Prix,MAG,22,EXCLUDED,NO_MATCH_WITHIN_HORIZON,3.0,,,
SDE,excluded_no_match,far_miss_6_plus,2023 :: Canadian Grand Prix,BOT,41,EXCLUDED,NO_MATCH_WITHIN_HORIZON,8.0,,,
SDE,excluded_no_match,far_miss_6_plus,2023 :: Canadian Grand Prix,SAI,14,EXCLUDED,NO_MATCH_WITHIN_HORIZON,6.0,,,
SDE,excluded_no_match,near_miss_3_5,2023 :: Las Vegas Grand Prix,RUS,10,EXCLUDED,NO_MATCH_WITHIN_HORIZON,5.0,,,
SDE,excluded_no_match,far_miss_6_plus,2023 :: São Paulo Grand Prix,VET,14,EXCLUDED,NO_MATCH_WITHIN_HORIZON,12.0,,,
SDE,excluded_no_match,far_miss_6_plus,2023 :: United States Grand Prix,MSC,10,EXCLUDED,NO_MATCH_WITHIN_HORIZON,8.0,,,
SDE,excluded_no_match,no_future,2025 :: Austrian Grand Prix,RUS,52,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
SDE,excluded_no_match,near_miss_3_5,2025 :: Emilia Romagna Grand Prix,TSU,14,EXCLUDED,NO_MATCH_WITHIN_HORIZON,4.0,,,
SDE,excluded_no_match,far_miss_6_plus,2025 :: Las Vegas Grand Prix,MAG,8,EXCLUDED,NO_MATCH_WITHIN_HORIZON,6.0,,,
SDE,excluded_no_match,near_miss_3_5,2025 :: Monaco Grand Prix,ALB,44,EXCLUDED,NO_MATCH_WITHIN_HORIZON,5.0,,,
SDE,excluded_no_match,no_future,2025 :: Singapore Grand Prix,BOT,50,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
