race,driver,suggestion_lap,suggestion_label,totalScore,matched_pit_lap,match_distance,nearest_future_pit_lap,nearest_future_pit_distance,pit_in_window_before_consumption,outcome_class,exclusion_reason
2023 :: Australian Grand Prix,ALB,55,PIT_NOW,0.1538461538461538,57.0,2.0,57,2,True,1,
2023 :: Australian Grand Prix,ALB,56,PIT_NOW,0.1538461538461538,,,57,1,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,LEC,20,PIT_NOW,0.1538461538461538,22.0,2.0,22,2,True,1,
2023 :: Austrian Grand Prix,LAT,10,PIT_NOW,0.8333333333333334,12.0,2.0,12,2,True,1,
2023 :: Austrian Grand Prix,LAT,11,PIT_NOW,0.8333333333333334,,,12,1,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Austrian Grand Prix,MSC,14,PIT_NOW,0.983095355960521,16.0,2.0,16,2,True,1,
2023 :: Austrian Grand Prix,MSC,15,PIT_NOW,0.8333333333333334,,,16,1,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Austrian Grand Prix,MSC,41,PIT_NOW,0.75,43.0,2.0,43,2,True,1,
2023 :: Austrian Grand Prix,MSC,42,PIT_NOW,0.8,,,43,1,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Austrian Grand Prix,RIC,10,PIT_NOW,1.0,12.0,2.0,12,2,True,1,
2023 :: Austrian Grand Prix,RIC,11,PIT_NOW,1.0,,,12,1,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Austrian Grand Prix,RIC,42,PIT_NOW,1.0,44.0,2.0,44,2,True,1,
2023 :: Austrian Grand Prix,RIC,43,PIT_NOW,1.0,,,44,1,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Bahrain Grand Prix,LAT,12,PIT_NOW,1.0,14.0,2.0,14,2,True,1,
2023 :: Bahrain Grand Prix,LAT,13,PIT_NOW,1.0,,,14,1,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Bahrain Grand Prix,LAT,30,PIT_NOW,1.0,32.0,2.0,32,2,True,1,
2023 :: Bahrain Grand Prix,LAT,31,PIT_NOW,1.0,,,32,1,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Bahrain Grand Prix,LAT,43,PIT_NOW,1.0,45.0,2.0,45,2,True,1,
2023 :: Bahrain Grand Prix,MSC,11,PIT_NOW,1.0,12.0,1.0,12,1,True,1,
2023 :: Bahrain Grand Prix,RIC,32,PIT_NOW,1.0,33.0,1.0,33,1,True,1,
2023 :: Bahrain Grand Prix,RIC,42,PIT_NOW,1.0,44.0,2.0,44,2,True,1,
2023 :: Bahrain Grand Prix,RIC,43,PIT_NOW,1.0,,,44,1,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Belgian Grand Prix,LAT,13,PIT_NOW,1.0,15.0,2.0,15,2,True,1,
2023 :: Belgian Grand Prix,LAT,14,PIT_NOW,1.0,,,15,1,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Belgian Grand Prix,VET,11,PIT_NOW,0.75,,,14,3,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Belgian Grand Prix,VET,12,PIT_NOW,1.0,14.0,2.0,14,2,True,0,
2023 :: Dutch Grand Prix,LAT,12,PIT_NOW,1.0,13.0,1.0,13,1,True,1,
2023 :: Dutch Grand Prix,VET,34,PIT_NOW,0.8,35.0,1.0,35,1,True,1,
2023 :: Emilia Romagna Grand Prix,PER,16,PIT_NOW,1.0,18.0,2.0,18,2,True,1,
2023 :: Emilia Romagna Grand Prix,TSU,16,PIT_NOW,1.0,18.0,2.0,18,2,True,1,
2023 :: Emilia Romagna Grand Prix,TSU,17,PIT_NOW,1.0,,,18,1,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Hungarian Grand Prix,LAT,54,PIT_NOW,0.75,56.0,2.0,56,2,True,1,
2023 :: Hungarian Grand Prix,LAT,55,PIT_NOW,0.75,,,56,1,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Italian Grand Prix,MSC,31,PIT_NOW,0.7692307692307693,33.0,2.0,33,2,True,1,
2023 :: Italian Grand Prix,MSC,32,PIT_NOW,0.7692307692307693,,,33,1,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Japanese Grand Prix,SAI,17,PIT_NOW,1.0,18.0,1.0,18,1,True,1,
2023 :: Monaco Grand Prix,RIC,17,PIT_NOW,1.0,19.0,2.0,19,2,True,1,
2023 :: Monaco Grand Prix,VET,21,PIT_NOW,0.7777777777777778,23.0,2.0,23,2,True,1,
2023 :: Monaco Grand Prix,VET,22,PIT_NOW,0.7777777777777778,,,23,1,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Saudi Arabian Grand Prix,ALO,16,PIT_NOW,0.125,16.0,0.0,16,0,True,0,
2023 :: Saudi Arabian Grand Prix,HUL,34,PIT_NOW,0.125,,,37,3,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Saudi Arabian Grand Prix,RIC,6,PIT_NOW,0.125,8.0,2.0,8,2,True,1,
2023 :: Saudi Arabian Grand Prix,RIC,7,PIT_NOW,0.125,,,8,1,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Saudi Arabian Grand Prix,RIC,34,PIT_NOW,0.125,36.0,2.0,36,2,True,1,
2023 :: Saudi Arabian Grand Prix,RIC,35,PIT_NOW,0.125,,,36,1,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: United States Grand Prix,VET,16,PIT_NOW,1.0,18.0,2.0,18,2,True,1,
2024 :: Austrian Grand Prix,ALB,12,PIT_NOW,1.0,12.0,0.0,12,0,True,1,
2024 :: Austrian Grand Prix,ALB,13,PIT_NOW,1.0,14.0,1.0,14,1,True,1,
2024 :: Austrian Grand Prix,ALB,40,PIT_NOW,1.0,41.0,1.0,41,1,True,1,
