race,driver,suggestion_lap,suggestion_label,totalScore,matched_pit_lap,match_distance,nearest_future_pit_lap,nearest_future_pit_distance,pit_in_window_before_consumption,outcome_class,exclusion_reason
2022 :: Abu Dhabi Grand Prix,HAM,16,PIT_NOW,0.1428571428571428,18.0,2.0,18.0,2.0,True,1,
2022 :: Abu Dhabi Grand Prix,HAM,17,PIT_NOW,0.1428571428571428,,,18.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,LEC,17,PIT_NOW,0.1428571428571428,,,21.0,4.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,LEC,19,PIT_NOW,0.1428571428571428,21.0,2.0,21.0,2.0,True,EXCLUDED,UNRESOLVED_INCIDENT_FILTER
2022 :: Abu Dhabi Grand Prix,LEC,20,PIT_NOW,0.1428571428571428,,,21.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,RIC,15,PIT_NOW,0.1428571428571428,,,19.0,4.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,RIC,16,PIT_NOW,0.1428571428571428,,,19.0,3.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,RIC,17,PIT_NOW,0.1428571428571428,19.0,2.0,19.0,2.0,True,0,
2022 :: Abu Dhabi Grand Prix,SAI,16,PIT_NOW,0.1428571428571428,17.0,1.0,17.0,1.0,True,1,
2022 :: Abu Dhabi Grand Prix,VER,16,PIT_NOW,0.1428571428571428,,,20.0,4.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,VER,17,PIT_NOW,0.1428571428571428,,,20.0,3.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,VER,18,PIT_NOW,0.1428571428571428,20.0,2.0,20.0,2.0,True,0,
2022 :: Abu Dhabi Grand Prix,VER,19,PIT_NOW,0.1428571428571428,,,20.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Abu Dhabi Grand Prix,VET,16,PIT_NOW,0.1428571428571428,,,25.0,9.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Australian Grand Prix,BOT,15,PIT_NOW,0.1666666666666666,,,22.0,7.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Australian Grand Prix,LAT,11,PIT_NOW,0.1666666666666666,13.0,2.0,13.0,2.0,True,EXCLUDED,UNRESOLVED_MISSING_POST_GAP
2022 :: Australian Grand Prix,MAG,18,PIT_NOW,0.1666666666666666,,,39.0,21.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Australian Grand Prix,MSC,13,PIT_NOW,0.1666666666666666,14.0,1.0,14.0,1.0,True,EXCLUDED,UNRESOLVED_MISSING_POST_GAP
2022 :: Australian Grand Prix,TSU,14,PIT_NOW,0.1666666666666666,,,18.0,4.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Australian Grand Prix,TSU,15,PIT_NOW,0.1666666666666666,,,18.0,3.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Australian Grand Prix,TSU,41,PIT_NOW,0.1666666666666666,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Australian Grand Prix,TSU,56,PIT_NOW,0.1666666666666666,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Australian Grand Prix,TSU,57,PIT_NOW,0.1666666666666666,,,,,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Australian Grand Prix,VER,17,PIT_NOW,0.1666666666666666,18.0,1.0,18.0,1.0,True,1,
2022 :: Australian Grand Prix,ZHO,15,PIT_NOW,0.1666666666666666,,,21.0,6.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Australian Grand Prix,ZHO,18,PIT_NOW,0.1666666666666666,,,21.0,3.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Austrian Grand Prix,ALB,3,PIT_NOW,0.1320754716981132,,,11.0,8.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Austrian Grand Prix,ALB,35,PIT_NOW,0.1320754716981132,,,41.0,6.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Austrian Grand Prix,ALB,37,PIT_NOW,0.1320754716981132,,,41.0,4.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Austrian Grand Prix,ALB,38,PIT_NOW,0.1320754716981132,,,41.0,3.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Austrian Grand Prix,ALB,39,PIT_NOW,0.1320754716981132,41.0,2.0,41.0,2.0,True,1,
2022 :: Austrian Grand Prix,ALO,22,PIT_NOW,0.1320754716981132,,,27.0,5.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Austrian Grand Prix,ALO,23,PIT_NOW,0.1320754716981132,,,27.0,4.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Austrian Grand Prix,BOT,34,PIT_NOW,0.1320754716981132,,,39.0,5.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Austrian Grand Prix,GAS,36,PIT_NOW,0.1320754716981132,,,40.0,4.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Austrian Grand Prix,HAM,16,PIT_NOW,0.1320754716981132,,,28.0,12.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Austrian Grand Prix,HAM,17,PIT_NOW,0.1320754716981132,,,28.0,11.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Austrian Grand Prix,HAM,18,PIT_NOW,0.1320754716981132,,,28.0,10.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Austrian Grand Prix,HAM,19,PIT_NOW,0.1320754716981132,,,28.0,9.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Austrian Grand Prix,HAM,20,PIT_NOW,0.1320754716981132,,,28.0,8.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Austrian Grand Prix,HAM,23,PIT_NOW,0.1320754716981132,,,28.0,5.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Austrian Grand Prix,HAM,24,PIT_NOW,0.1320754716981132,,,28.0,4.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Austrian Grand Prix,HAM,25,PIT_NOW,0.1320754716981132,,,28.0,3.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Austrian Grand Prix,HAM,26,PIT_NOW,0.1320754716981132,28.0,2.0,28.0,2.0,True,EXCLUDED,UNRESOLVED_INCIDENT_FILTER
2022 :: Austrian Grand Prix,HAM,27,PIT_NOW,0.1320754716981132,,,28.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Austrian Grand Prix,HAM,44,PIT_NOW,0.1320754716981132,,,51.0,7.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Austrian Grand Prix,HAM,45,PIT_NOW,0.1320754716981132,,,51.0,6.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Austrian Grand Prix,HAM,46,PIT_NOW,0.1320754716981132,,,51.0,5.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Austrian Grand Prix,HAM,47,PIT_NOW,0.1320754716981132,,,51.0,4.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Austrian Grand Prix,HAM,49,PIT_NOW,0.1320754716981132,51.0,2.0,51.0,2.0,True,EXCLUDED,UNRESOLVED_INCIDENT_FILTER
2022 :: Austrian Grand Prix,HAM,50,PIT_NOW,0.1320754716981132,,,51.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Austrian Grand Prix,LEC,18,PIT_NOW,0.1320754716981132,,,26.0,8.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Austrian Grand Prix,LEC,19,PIT_NOW,0.1320754716981132,,,26.0,7.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Austrian Grand Prix,LEC,20,PIT_NOW,0.1320754716981132,,,26.0,6.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Austrian Grand Prix,LEC,21,PIT_NOW,0.1320754716981132,,,26.0,5.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Austrian Grand Prix,LEC,22,PIT_NOW,0.1320754716981132,,,26.0,4.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Austrian Grand Prix,LEC,23,PIT_NOW,0.1320754716981132,,,26.0,3.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Austrian Grand Prix,LEC,24,PIT_NOW,0.1320754716981132,26.0,2.0,26.0,2.0,True,1,
2022 :: Austrian Grand Prix,LEC,25,PIT_NOW,0.1320754716981132,,,26.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Austrian Grand Prix,MSC,15,PIT_NOW,0.1320754716981132,16.0,1.0,16.0,1.0,True,1,
2022 :: Austrian Grand Prix,MSC,39,PIT_NOW,0.1320754716981132,,,43.0,4.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Austrian Grand Prix,MSC,40,PIT_NOW,0.1320754716981132,,,43.0,3.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Austrian Grand Prix,NOR,30,PIT_NOW,0.1320754716981132,,,43.0,13.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Austrian Grand Prix,NOR,31,PIT_NOW,0.1320754716981132,,,43.0,12.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Austrian Grand Prix,NOR,38,PIT_NOW,0.1320754716981132,,,43.0,5.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Austrian Grand Prix,NOR,39,PIT_NOW,0.1320754716981132,,,43.0,4.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Austrian Grand Prix,NOR,40,PIT_NOW,0.1320754716981132,,,43.0,3.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Austrian Grand Prix,OCO,15,PIT_NOW,0.1320754716981132,16.0,1.0,16.0,1.0,True,EXCLUDED,UNRESOLVED_INCIDENT_FILTER
2022 :: Austrian Grand Prix,OCO,33,PIT_NOW,0.1320754716981132,,,44.0,11.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Austrian Grand Prix,OCO,34,PIT_NOW,0.1320754716981132,,,44.0,10.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2022 :: Austrian Grand Prix,OCO,38,PIT_NOW,0.1320754716981132,,,44.0,6.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
