learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.238961809,-6.181959088684784E-14,1000.0,87.0,22.26740014350636,-176.59574468085083,-188.88888888888863,1000.0,-1.0,42.0,22.0,2321.357142857143,3305.5782330333423,-5.666666666666667,5.083050105397716,1.4761904761904765,1.4523000301136335,1.2380952380952384,0.7261500150568168,1.2380952380952384,0.7261500150568168,0.2142857142857143,0.6452722732461151,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.342562001,-8.862103464909725E-14,2000.0,89.64999999999999,18.893344748344024,-183.56164383561674,-191.5492957746482,2000.0,-1.0,42.0,48.0,6334.214285714284,9598.966340529598,-9.000000000000002,10.404032989135722,2.4285714285714293,2.9725808540387777,1.7142857142857146,1.4862904270193888,1.7142857142857146,1.4862904270193888,0.5714285714285713,1.0852190324685869,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.463808744,-1.199876537753476E-13,3000.0,92.10000000000001,20.391525896267222,-166.29213483146097,-172.4137931034479,3000.0,-1.0,42.0,69.0,11934.380952380956,18145.96023032686,-13.761904761904761,15.973773511159798,3.7857142857142856,4.56677136463652,2.3809523809523805,2.2947700979739056,2.3809523809523805,2.2947700979739056,1.1190476190476188,1.7419134552215845,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.560525693,-1.4500839765080147E-13,4000.0,93.2,22.28127321561247,-128.571428571428,-132.4786324786323,4000.0,-1.0,42.0,96.0,21302.047619047622,45724.66739398287,-19.928571428571423,28.396489698159883,5.547619047619048,8.115634958409904,3.2619047619047623,4.066877053258216,3.2619047619047623,4.066877053258216,1.5238095238095237,2.297804840447755,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.686680354,-1.7764469867365226E-13,5000.0,93.88,21.489744918641794,-111.03448275862063,-115.49295774647914,5000.0,-1.0,42.0,126.0,32866.428571428565,76250.3314021244,-30.166666666666664,45.41940955393016,8.476190476190478,12.976974158265758,4.738095238095239,6.488487079132879,4.738095238095239,6.488487079132879,2.0714285714285716,2.6813980440030303,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.82124094,-2.1245561850567658E-13,6000.0,94.13333333333334,20.163483412375967,-90.27027027026992,-93.4065934065934,6000.0,-1.0,42.0,150.0,46008.7380952381,93786.52828503144,-42.095238095238095,59.95030849767429,11.88095238095238,17.13106204751258,6.428571428571429,8.574331680257432,6.428571428571429,8.574331680257432,2.6666666666666665,3.0256357257137627,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.902347578,-2.3343796376138924E-13,7000.0,94.72857142857143,20.194622544972855,-89.2307692307696,-92.18749999999972,7000.0,-1.0,42.0,172.0,58048.119047619046,121991.80172798147,-47.833333333333336,66.33687738213948,13.52380952380952,18.95339353775414,7.26190476190476,9.47669676887707,7.26190476190476,9.47669676887707,2.904761904761904,3.16851526212487,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,1.023515339,-2.64784150187754E-13,8000.0,94.925,18.966564227230915,-78.8546255506604,-82.06278026905827,8000.0,-1.0,42.0,201.0,76145.23809523808,145604.3833392404,-59.42857142857142,76.05330058331937,16.833333333333336,21.732202324803136,8.904761904761907,10.875816815547356,8.904761904761907,10.875816815547356,3.2857142857142843,3.4661127047789377,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.117340321,-2.89056740132057E-13,9000.0,95.1,18.876709153686996,-72.94117647058846,-77.10843373494023,9000.0,-1.0,42.0,229.0,95397.97619047621,195562.28250336577,-67.0952380952381,89.62300704286451,19.023809523809522,25.609152418082676,9.999999999999998,12.813864442517701,9.999999999999998,12.813864442517701,3.5238095238095233,3.6907140907173073,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.192102229,-3.08397699199203E-13,10000.0,95.16,19.30845343981049,-72.24199288256219,-76.00000000000018,10000.0,-1.0,42.0,253.0,111042.2619047619,249533.9854875884,-74.76190476190476,106.88535219269554,21.21428571428571,30.541084455553545,11.095238095238095,15.279205578584891,11.095238095238095,15.279205578584891,3.5952380952380953,3.7420453765907986,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,1.291719375,-3.341687261126936E-13,11000.0,94.93636363636364,17.76979111486969,-77.9552715654954,-81.43322475570032,11000.0,-1.0,42.0,274.0,125315.66666666667,299331.97675577586,-80.26190476190477,123.37926052619504,22.785714285714278,35.25346252794269,11.88095238095238,17.63478046355205,11.88095238095238,17.63478046355205,3.6428571428571423,3.779414256923358,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,1.381345572,-3.573550873746475E-13,12000.0,95.01666666666667,17.608288955170835,-77.44807121661694,-80.66465256797592,12000.0,-1.0,42.0,304.0,146143.21428571432,362011.8186686482,-86.42857142857143,137.25570632895605,24.54761904761905,39.21809088583207,12.76190476190476,19.616828917314756,12.76190476190476,19.616828917314756,3.880952380952381,3.9767763691663687,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,1.476089257,-3.8186534644208026E-13,13000.0,95.06153846153846,17.180591560398657,-75.89041095890381,-78.83008356545965,13000.0,-1.0,42.0,330.0,165362.90476190476,428373.6938535069,-93.09523809523812,155.1027683739365,26.45238095238095,44.31715099418711,13.714285714285714,22.165987694054184,13.714285714285714,22.165987694054184,4.071428571428571,4.313296838466458,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,1.574956626,-4.0744240550945207E-13,14000.0,94.94285714285714,16.30301147033783,-76.55860349127161,-79.24050632911381,14000.0,-1.0,42.0,355.0,190600.30952380956,533814.8405035025,-104.0952380952381,179.57861374160498,29.595238095238095,51.31018038282011,15.285714285714286,25.66223923682584,15.285714285714286,25.66223923682584,4.333333333333334,4.393269057106574,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.676629553,-4.337452644378775E-13,15000.0,94.69999999999999,15.332433620627961,-79.45823927765274,-84.02777777777763,15000.0,-1.0,42.0,379.0,215401.71428571426,631894.527813463,-113.09523809523809,206.18554390004303,32.166666666666664,58.91205378613797,16.57142857142857,29.46278583448822,16.57142857142857,29.46278583448822,4.547619047619048,4.670626327416917,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,1.757754172,-4.5473226139114966E-13,16000.0,94.5875,14.967520612214248,-81.9327731092433,-86.23655913978493,16000.0,-1.0,42.0,405.0,242296.61904761905,656898.1584551025,-121.09523809523809,214.76246771199757,34.452380952380956,61.36265742208461,17.71428571428571,30.68827194292969,17.71428571428571,30.68827194292969,4.73809523809524,4.711478064438387,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,1.829748157,-4.733571567986575E-13,17000.0,94.71764705882353,14.669272162317185,-82.8920570264766,-87.47390396659742,17000.0,-1.0,42.0,428.0,267457.738095238,712684.242814756,-127.09523809523814,225.32824939800867,36.166666666666664,64.38145342189354,18.571428571428573,32.19766909995789,18.571428571428573,32.19766909995789,4.785714285714286,4.693200656714049,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,1.991258989,-5.151401245449153E-13,18000.0,94.78888888888889,14.713187480962683,-80.73217726396888,-85.0098619329388,18000.0,-1.0,42.0,450.0,301256.6428571429,769379.1461116261,-135.83333333333334,235.40944265482835,38.666666666666664,67.25984075852237,19.833333333333332,33.629920379261186,19.833333333333332,33.629920379261186,4.9523809523809526,4.76241576816815,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,2.128095653,-5.505398673833245E-13,19000.0,94.97894736842105,14.977338078641758,-78.98686679174513,-83.10940499040342,19000.0,-1.0,42.0,476.0,343404.2619047619,880544.5901791177,-151.76190476190476,258.0238039239895,43.21428571428572,73.72312597235612,22.09523809523809,36.8687914319041,22.09523809523809,36.8687914319041,5.547619047619047,4.789227652750728,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,2.234596914,-5.780918197706342E-13,20000.0,95.075,14.856344717184076,-77.4774774774772,-81.39963167587479,20000.0,-1.0,42.0,503.0,384388.7857142857,1039405.2475643083,-163.09523809523805,281.10286369365076,46.45238095238094,80.31711611191143,23.714285714285708,40.16568473168554,23.714285714285708,40.16568473168554,5.761904761904762,4.932765136629506,0.0,0.0,0.0,0.0,1.0,0.0
21000.0,2.365478119,-6.11950881106572E-13,21000.0,95.14761904761905,14.697893055099367,-75.38726333907088,-79.08611599297035,21000.0,-1.0,42.0,524.0,414258.69047619053,1086794.5649895852,-173.4285714285714,291.23908063752765,49.40476190476189,83.2132316881799,25.190476190476186,41.61392713353342,25.190476190476186,41.61392713353342,6.000000000000001,5.118117031801785,0.0,0.0,0.0,0.0,1.0,0.0
22000.0,2.546670015,-6.588253541849554E-13,22000.0,94.8,14.376728378609835,-70.49180327868883,-72.54901960784333,22000.0,-1.0,42.0,552.0,462413.1904761905,1221259.674068626,-195.33333333333334,326.35269464310085,55.666666666666664,93.24362704088595,28.333333333333332,46.62181352044298,28.333333333333332,46.62181352044298,6.285714285714284,5.2092118887353935,0.0,0.0,0.0,0.0,1.0,0.0
23000.0,2.702676456,-6.991843320429325E-13,23000.0,94.66086956521738,16.116392099615748,-64.39089692101773,-65.05376344086035,23000.0,-1.0,42.0,579.0,507172.9047619048,1315599.0856286974,-213.92857142857142,361.3206395012839,60.97619047619048,103.23652409435716,30.976190476190474,51.62552218845953,30.976190476190474,51.62552218845953,6.452380952380952,5.180650589864412,0.0,0.0,0.0,0.0,1.0,0.0
24000.0,2.819923072,-7.295161154535081E-13,24000.0,94.72083333333333,16.33264936759987,-62.22791293213821,-63.0630630630629,24000.0,-1.0,42.0,605.0,549028.2857142858,1407278.8650899273,-225.7619047619048,385.99720771919465,64.35714285714285,110.28694755678808,32.66666666666667,55.150643658392234,32.66666666666667,55.150643658392234,6.5476190476190474,5.180650589864412,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,2.925552185,-7.568424425294829E-13,25000.0,94.736,15.99965327516456,-61.869618696187054,-63.073110285006386,25000.0,-1.0,42.0,632.0,588880.0476190475,1510623.9369502657,-238.42857142857142,408.674904661821,67.9761904761905,116.76628482973346,34.47619047619048,58.39029241704651,34.47619047619048,58.39029241704651,6.619047619047618,5.21700961420911,0.0,0.0,0.0,0.0,1.0,0.0
26000.0,3.040887332,-7.866797275427315E-13,26000.0,94.50769230769231,16.15564888104893,-64.32681242807854,-65.46929316338341,26000.0,-1.0,42.0,653.0,627958.5238095238,1639605.425461829,-250.1666666666667,431.1818085593597,71.33333333333333,123.19480244553134,36.166666666666664,61.59740122276567,36.166666666666664,61.59740122276567,6.738095238095239,5.328522074919423,0.0,0.0,0.0,0.0,1.0,0.0
27000.0,3.184732157,-8.23892486643874E-13,27000.0,94.4888888888889,16.115532813878485,-62.62295081967228,-63.696369636963915,27000.0,-1.0,42.0,677.0,671403.7380952381,1776052.7358516003,-267.595238095238,474.3775412939447,76.30952380952382,135.53840029993444,38.64285714285716,67.77610969431757,38.64285714285716,67.77610969431757,6.904761904761905,5.318213177876817,0.0,0.0,0.0,0.0,1.0,0.0
28000.0,3.302461043,-8.543490336483552E-13,28000.0,94.50714285714285,15.82667793538376,-62.75132275132304,-63.44314558979822,28000.0,-1.0,42.0,709.0,723144.880952381,1937595.8023643154,-281.2619047619049,511.0386391541039,80.21428571428575,146.01295226782162,40.5952380952381,73.01321615206905,40.5952380952381,73.01321615206905,7.023809523809523,5.321324313612053,0.0,0.0,0.0,0.0,1.0,0.0
29000.0,3.461746045,-8.95556177581764E-13,29000.0,94.40344827586206,15.728635140136646,-63.11557788944725,-63.77396569122112,29000.0,-1.0,42.0,738.0,773842.2857142859,2117148.464639647,-294.5952380952382,542.7819065016369,84.0238095238095,155.08243096782326,42.5,77.54786090993947,42.5,77.54786090993947,7.07142857142857,5.284089589272351,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,3.621297433,-9.368322357638842E-13,30000.0,94.27666666666667,16.035720174880456,-62.74881516587679,-63.05792972459637,30000.0,-1.0,42.0,761.0,829192.0476190473,2146576.1077704364,-314.7619047619048,561.8604031783143,89.78571428571429,160.53349102962997,45.38095238095238,80.27360298165402,45.38095238095238,80.27360298165402,7.190476190476189,5.4693741347843945,0.0,0.0,0.0,0.0,1.0,0.0
31000.0,3.734418504,-9.660967377324899E-13,31000.0,94.20322580645161,15.523052681788002,-63.51228389444916,-63.66120218579198,31000.0,-1.0,42.0,786.0,870092.8333333331,2228309.563985788,-328.59523809523813,581.0049770797194,93.73809523809521,166.00338808235202,47.357142857142854,83.00861589972965,47.357142857142854,83.00861589972965,7.285714285714285,5.553665958167892,0.0,0.0,0.0,0.0,1.0,0.0
32000.0,3.840724273,-9.935981161995894E-13,32000.0,94.11562500000001,15.221621818141198,-63.03030303030279,-62.607944732296815,32000.0,-1.0,42.0,809.0,911322.0000000002,2335442.8578903973,-340.42857142857144,603.3902245364952,97.11904761904765,172.39916846341143,49.04761904761905,86.20648846072658,49.04761904761905,86.20648846072658,7.309523809523808,5.5982928375122745,0.0,0.0,0.0,0.0,1.0,0.0
