rank,feature,mean_abs_shap,mean_signed_shap
1,race_progress_pct,0.09981867897426563,-0.04252483688654635
2,tire_life_ratio,0.03270616087972847,-0.014686782426994546
3,position,0.030492209588629884,-0.011241665257262168
4,lapTime_vs_driver_prev_mean_pct,0.028176155573760273,-0.015867938292002438
5,trackTemp,0.02803920329181616,-0.013618512835829336
6,tyreLife,0.026837958957316322,-0.011904940996722
7,speedTrap,0.023902149751143794,-0.013174714324331873
8,humidity,0.022375206136053337,-0.013284808252834034
9,gapBehind,0.016472852217608254,-0.01252453854483949
10,pace_drop_ratio,0.014336008092666348,-0.008432382992023138
11,airTemp,0.01407837492543419,-0.009755947083280075
12,lapTime,0.013857353921148834,-0.01217321760003049
13,gapAhead,0.010674982494130916,-0.008900292665085751
14,gap_to_physical_car,0.0096695088872498,-0.00604851966310845
15,pitLoss,0.009559157594436141,-0.00533462070608657
16,pace_trend,0.008819705145372208,-0.007888685273081735
17,gapAhead_trend,0.008091831304380612,-0.007803278910155442
18,positions_lost,0.004973578205979703,-0.0029593906762220047
19,has_drop_zone_data,0.0021697912774222205,-0.00030654064820785637
