feature,mean_abs_shap,mean_shap,std_shap,mean_feature_value
race_progress_pct,0.8284022,-0.5047843,1.2264801,0.5062656864626761
tire_life_ratio,0.41032764,-0.094525665,0.46397507,0.46841722222222226
humidity,0.2783499,-0.12507069,0.4309564,53.9804
trackTemp,0.22769755,-0.12623759,0.42554012,35.25468000000001
lapTime_vs_driver_prev_mean_pct,0.18370087,-0.09661168,0.19559647,0.9708064035375396
airTemp,0.18295187,-0.12856634,0.22984366,24.01612
speedTrap,0.17561117,-0.088527635,0.23831026,299.44184184184184
lapTime,0.14722908,-0.10083031,0.15692915,92.129208
position,0.13876672,-0.07586496,0.17972602,10.4174
gap_to_physical_car,0.102844566,-0.055370577,0.11682805,628.3779562
pace_drop_ratio,0.10037064,-0.059423387,0.12243896,1.0107851006479505
tyreLife,0.09969267,-0.053808525,0.11781136,14.9222
pitLoss,0.08985612,-0.049711257,0.11879997,22.5492
gapBehind,0.089819245,-0.06867597,0.093794696,124.8002632
gapAhead_trend,0.0884804,-0.05058352,0.09536673,1.6023842
gapAhead,0.08828113,-0.06374344,0.10522789,105.18133800000001
pace_trend,0.07685104,-0.036160007,0.15144604,0.0011783398445838274
positions_lost,0.04677861,-0.021234259,0.14221363,2.0724
has_drop_zone_data,0.001287421,-0.00035980114,0.0020299146,0.3878
